"plate_id","batch","temperature","day","isolate","biorep","media","time","log_average_wrangled_conc","death_phase","average_wrangled_conc"
"B2_6_0_S12-0116_2_BHI_-1_24_1","B2",6,0,"S12-0116",2,"BHI",24,4,"no",10000
"B2_6_0_S12-0141_2_BHI_-1_24_1","B2",6,0,"S12-0141",2,"BHI",24,3.69019608002851,"no",4900
"B2_6_1_S12-0116_2_BHI_-1_24_1","B2",6,1,"S12-0116",2,"BHI",24,4.10037054511756,"no",12600
"B2_6_1_S12-0132_2_BHI_-1_24_1","B2",6,1,"S12-0132",2,"BHI",24,4.59217675739587,"no",39100
"B2_6_1_S12-0141_2_BHI_-1_24_1","B2",6,1,"S12-0141",2,"BHI",24,4.95581375500884,"no",90326.20313
"B2_6_2_S12-0141_2_BHI_-1_24_1","B2",6,2,"S12-0141",2,"BHI",24,5.10743387147837,"no",128066.0078
"B2_6_2_S12-0132_2_BHI_-1_24_1","B2",6,2,"S12-0132",2,"BHI",24,4.9420645852028,"no",87511.39063
"B2_6_2_S12-0116_2_BHI_-1_24_1","B2",6,2,"S12-0116",2,"BHI",24,5.20611180552149,"no",160735.5
"B2_6_3_S12-0116_2_BHI_-3_24_1","B2",6,3,"S12-0116",2,"BHI",24,3.93449845124357,"no",8600
"B2_6_3_S12-0132_2_BHI_-3_24_1","B2",6,3,"S12-0132",2,"BHI",24,6.01900822287323,"no",1044740
"B2_6_3_S12-0141_2_BHI_-1_24_1","B2",6,3,"S12-0141",2,"BHI",24,5.76371384120471,"no",580381.875
"B2_6_4_S12-0132_2_BHI_-3_24_1","B2",6,4,"S12-0132",2,"BHI",24,7.54526977914581,"no",35096982.5
"B2_6_4_S12-0116_2_BHI_-3_24_1","B2",6,4,"S12-0116",2,"BHI",24,7.71827322144075,"no",52272494
"B2_6_4_S12-0141_2_BHI_-3_24_1","B2",6,4,"S12-0141",2,"BHI",24,6.15295762061272,"no",1422190
"B2_6_6_S12-0116_2_BHI_-2_24_1","B2",6,6,"S12-0116",2,"BHI",24,6.08198091853456,"no",1207760.768921
"B2_6_6_S12-0132_2_BHI_-4_24_1","B2",6,6,"S12-0132",2,"BHI",24,7.78660668908754,"no",61179607.875
"B2_6_6_S12-0141_2_BHI_-4_24_1","B2",6,6,"S12-0141",2,"BHI",24,7.52110904255988,"no",33197780
"B2_6_9_S12-0116_2_BHI_-4_24_1","B2",6,9,"S12-0116",2,"BHI",24,8.89668576283579,"no",788289538.16797
"B2_6_9_S12-0132_2_BHI_-4_24_1","B2",6,9,"S12-0132",2,"BHI",24,7.99816990641263,"no",99579492
"B2_6_9_S12-0141_2_BHI_-2_24_1","B2",6,9,"S12-0141",2,"BHI",24,6.73588549111476,"no",5443591.04685
"B2_6_12_S12-0116_2_BHI_-5_24_1","B2",6,12,"S12-0116",2,"BHI",24,9.09625308273233,"no",1248110632
"B2_6_12_S12-0132_2_BHI_-5_24_1","B2",6,12,"S12-0132",2,"BHI",24,8.29690039572392,"no",198107262
"B2_6_12_S12-0141_2_BHI_-5_24_1","B2",6,12,"S12-0141",2,"BHI",24,8.38532353272394,"no",242841850
"B2_6_15_S12-0116_2_BHI_-6_24_1","B2",6,15,"S12-0116",2,"BHI",24,9.1430701083524,"no",1390177030
"B2_6_15_S12-0132_2_BHI_-6_24_1","B2",6,15,"S12-0132",2,"BHI",24,9.71856750598323,"no",5230792664
"B2_6_15_S12-0141_2_BHI_-6_24_1","B2",6,15,"S12-0141",2,"BHI",24,9.31731982146217,"no",2076442080
"B2_6_18_S12-0116_2_BHI_-6_24_1","B2",6,18,"S12-0116",2,"BHI",24,9.90672184067936,"no",8067181734.5
"B2_6_18_S12-0132_2_BHI_-6_24_1","B2",6,18,"S12-0132",2,"BHI",24,9.14070735103483,"no",1382634378
"B2_6_18_S12-0141_2_BHI_-6_24_1","B2",6,18,"S12-0141",2,"BHI",24,9.3026416147671,"no",2007435568
"B2_6_21_S12-0116_2_BHI_-6_24_1","B2",6,21,"S12-0116",2,"BHI",24,9.91610392242173,"no",8243353468
"B2_6_21_S12-0132_2_BHI_-6_24_1","B2",6,21,"S12-0132",2,"BHI",24,9.73357833585819,"no",5414749076
