Results Group Name,Plate Id,Method,Colony Class,Counted Colonies,Counted Volume,Concentration,Comments,Timestamp,Operator,Dilution Factor,Inoculated Volume,Inoculation mode,Excluded Area,Device SN,UTC Created Time,Count From Automatic Process,"Input Values: (Tr. to Back, Plate Diam, min Diam)"
CIDA_Growth_Curves,B8_10_0_S12-0116_1_BHIrif_-1_24_1,TEMPLATE_Sharp,Class 1,1,0.050000001,220,<<Interactive changes have been made.>><<Calibration is needed.>>,11/10/21 18:35,Administrator,11,0.05,E Mode 50ul,0,10007000/0064,11/10/21 23:35,13,25 ;85.0 ;0.3
CIDA_Growth_Curves,B8_10_0_S12-0116_1_BHIrif_-1_24_2,TEMPLATE_Sharp,Class 1,0,0.048446938,0,<<Interactive changes have been made.>><<Calibration is needed.>>,11/10/21 18:35,Administrator,11,0.05,E Mode 50ul,14.32036209,10007000/0064,11/10/21 23:35,12,25 ;85.0 ;0.3
CIDA_Growth_Curves,B8_10_0_S12-0132_1_BHIrif_-1_24_2,TEMPLATE_Sharp,Class 1,0,0.048762668,0,<<Interactive changes have been made.>><<Calibration is needed.>>,11/10/21 18:37,Administrator,10,0.05,E Mode 50ul,11.40909195,10007000/0064,11/10/21 23:37,10,25 ;85.0 ;0.3
CIDA_Growth_Curves,B8_10_0_S12-0132_1_BHIrif_-1_24_1,TEMPLATE_Sharp,Class 1,0,0.048235115,0,<<Interactive changes have been made.>><<Calibration is needed.>>,11/10/21 18:37,Administrator,10,0.05,E Mode 50ul,16.2735405,10007000/0064,11/10/21 23:37,10,25 ;85.0 ;0.3
CIDA_Growth_Curves,B8_10_0_S12-0116_1_BHI_-1_24_1,TEMPLATE_Sharp,Class 1,10,0.050000001,2200,<<Interactive changes have been made.>><<Calibration is needed.>>,11/10/21 18:36,Administrator,11,0.05,E Mode 50ul,0,10007000/0064,11/10/21 23:36,21,25 ;85.0 ;0.3
CIDA_Growth_Curves,B8_10_0_S12-0141_1_BHIrif_-1_24_1,TEMPLATE_Sharp,Class 1,5,0.050000001,1000,<<Interactive changes have been made.>><<Calibration is needed.>>,11/10/21 18:39,Administrator,10,0.05,E Mode 50ul,0,10007000/0064,11/10/21 23:39,14,25 ;85.0 ;0.3
CIDA_Growth_Curves,B8_10_0_S12-0132_1_BHI_-1_24_1,TEMPLATE_Sharp,Class 1,15,0.050000001,3000,<<Interactive changes have been made.>><<Calibration is needed.>>,11/10/21 18:38,Administrator,10,0.05,E Mode 50ul,0,10007000/0064,11/10/21 23:38,18,25 ;85.0 ;0.3
CIDA_Growth_Curves,B8_10_0_S12-0141_1_BHI_-1_24_1,TEMPLATE_Sharp,Class 1,26,0.050000001,5200,<<Interactive changes have been made.>><<Calibration is needed.>>,11/10/21 18:41,Administrator,10,0.05,E Mode 50ul,0,10007000/0064,11/10/21 23:41,133,25 ;85.0 ;0.3
CIDA_Growth_Curves,B8_10_0_S12-0141_1_BHIrif_-1_24_2,TEMPLATE_Sharp,Class 1,1,0.050000001,200,<<Interactive changes have been made.>><<Calibration is needed.>>,11/10/21 18:39,Administrator,10,0.05,E Mode 50ul,0,10007000/0064,11/10/21 23:39,12,25 ;85.0 ;0.3
CIDA_Growth_Curves,B8_10_0_Control_1_BHIrif_-1_24_1,TEMPLATE_Sharp,Class 1,0,0.050000001,0,<<Interactive changes have been made.>><<Calibration is needed.>>,11/10/21 18:42,Administrator,11,0.05,E Mode 50ul,0,10007000/0064,11/10/21 23:42,9,25 ;85.0 ;0.3
