"plate_id","batch","temperature","day","isolate","biorep","media","dilution","time","platingrep","counted_colonies","concentration_from_sphereflash","dilution_factor"
"B2_6_0_S12-0116_2_BHIrif_-1_24_1","B2","6",0,"S12-0116",2,"BHIrif",-1,"24",1,9,1800,10
"B2_6_0_S12-0116_2_BHIrif_-1_24_2","B2","6",0,"S12-0116",2,"BHIrif",-1,"24",2,1,200,10
"B2_6_0_S12-0132_2_BHIrif_-1_24_2","B2","6",0,"S12-0132",2,"BHIrif",-1,"24",2,22,4400,10
"B2_6_0_S12-0132_2_BHIrif_-1_24_1","B2","6",0,"S12-0132",2,"BHIrif",-1,"24",1,22,4400,10
"B2_6_0_S12-0116_2_BHI_-1_24_1","B2","6",0,"S12-0116",2,"BHI",-1,"24",1,55,11000,10
"B2_6_0_S12-0141_2_BHIrif_-1_24_2","B2","6",0,"S12-0141",2,"BHIrif",-1,"24",2,12,2400,10
"B2_6_0_S12-0141_2_BHIrif_-1_24_1","B2","6",0,"S12-0141",2,"BHIrif",-1,"24",1,11,2200,10
"B2_6_0_S12-0132_2_BHI_-1_24_1","B2","6",0,"S12-0132",2,"BHI",-1,"24",1,22,4400,10
"B2_6_0_S12-0141_2_BHI_-1_24_1","B2","6",0,"S12-0141",2,"BHI",-1,"24",1,36,7200,10
"B2_6_1_S12-0116_2_BHIrif_-1_24_1","B2","6",1,"S12-0116",2,"BHIrif",-1,"24",1,5,1000,10
"B2_6_1_S12-0116_2_BHIrif_-1_24_2","B2","6",1,"S12-0116",2,"BHIrif",-1,"24",2,5,1000,10
"B2_6_1_S12-0116_2_BHI_-1_24_1","B2","6",1,"S12-0116",2,"BHI",-1,"24",1,68,13600,10
"B2_6_1_S12-0132_2_BHIrif_-1_24_1","B2","6",1,"S12-0132",2,"BHIrif",-1,"24",1,48,9600,10
"B2_6_1_S12-0132_2_BHIrif_-1_24_2","B2","6",1,"S12-0132",2,"BHIrif",-1,"24",2,47,9400,10
"B2_6_1_S12-0132_2_BHI_-1_24_1","B2","6",1,"S12-0132",2,"BHI",-1,"24",1,243,48600,10
"B2_6_1_S12-0141_2_BHIrif_-1_24_1","B2","6",1,"S12-0141",2,"BHIrif",-1,"24",1,2,440,11
"B2_6_1_S12-0141_2_BHIrif_-1_24_2","B2","6",1,"S12-0141",2,"BHIrif",-1,"24",2,2,440,11
"B2_6_1_S12-0141_2_BHI_-1_24_1","B2","6",1,"S12-0141",2,"BHI",-1,"24",1,168,90766.20313,11
"B2_6_2_S12-0141_2_BHI_-1_24_1","B2","6",2,"S12-0141",2,"BHI",-1,"24",1,264,129666.0078,10
"B2_6_2_S12-0141_2_BHIrif_-1_24_2","B2","6",2,"S12-0141",2,"BHIrif",-1,"24",2,11,2200,10
"B2_6_2_S12-0141_2_BHIrif_-1_24_1","B2","6",2,"S12-0141",2,"BHIrif",-1,"24",1,5,1000,10
"B2_6_2_S12-0132_2_BHI_-1_24_1","B2","6",2,"S12-0132",2,"BHI",-1,"24",1,191,93811.39063,10
"B2_6_2_S12-0132_2_BHIrif_-1_24_2","B2","6",2,"S12-0132",2,"BHIrif",-1,"24",2,32,6400,10
"B2_6_2_S12-0132_2_BHIrif_-1_24_1","B2","6",2,"S12-0132",2,"BHIrif",-1,"24",1,31,6200,10
