"plate_id","batch","temperature","day","isolate","biorep","media","dilution","time","platingrep","counted_colonies","concentration_from_sphereflash","dilution_factor"
"B2_6_0_Control_2_BHIrif_-1_24_1","B2","6",0,"Control",2,"BHIrif",-1,"24",1,0,0,11
"B2_6_0_NC_2_BHIrif_2_24_1","B2","6",0,"NC",2,"BHIrif",2,"24",1,0,0,11
"B2_6_0_NC_2_BHI_2_24_1","B2","6",0,"NC",2,"BHI",2,"24",1,0,0,11
"B2_6_1_Control_2_BHIrif_-1_24_1","B2","6",1,"Control",2,"BHIrif",-1,"24",1,0,0,11
"B2_6_1_NC_0_BHIrif_-1_24_1","B2","6",1,"NC",0,"BHIrif",-1,"24",1,0,0,1
"B2_6_1_NC_0_BHI_-1_24_1","B2","6",1,"NC",0,"BHI",-1,"24",1,0,0,1
"B2_6_2_NC_2_BHIrif_-1_24_1","B2","6",2,"NC",2,"BHIrif",-1,"24",1,0,0,1
"B2_6_2_NC_2_BHI_-1_24_1","B2","6",2,"NC",2,"BHI",-1,"24",1,0,0,1
"B2_6_2_Control_2_BHIrif_-1_24_1","B2","6",2,"Control",2,"BHIrif",-1,"24",1,0,0,11
"B2_6_3_Control_2_BHIrif_-1_24_1","B2","6",3,"Control",2,"BHIrif",-1,"24",1,0,0,11
"B2_6_3_NC_2_BHI_0_24_1","B2","6",3,"NC",2,"BHI",0,"24",1,0,0,1
"B2_6_3_NC_2_BHIrif_0_24_1","B2","6",3,"NC",2,"BHIrif",0,"24",1,0,0,1
"B2_6_4_Control_2_BHIrif_-1_24_1","B2","6",4,"Control",2,"BHIrif",-1,"24",1,0,0,11
"B2_6_4_NC_2_BHIrif_0_24_1","B2","6",4,"NC",2,"BHIrif",0,"24",1,0,0,1
"B2_6_4_NC_2_BHI_0_24_1","B2","6",4,"NC",2,"BHI",0,"24",1,0,0,1
"B2_6_6_Control_2_BHIrif_-1_24_1","B2","6",6,"Control",2,"BHIrif",-1,"24",1,0,0,11
"B2_6_6_NC_2_BHI_0_24_1","B2","6",6,"NC",2,"BHI",0,"24",1,0,0,1
"B2_6_6_NC_2_BHIrif_0_24_2","B2","6",6,"NC",2,"BHIrif",0,"24",2,0,0,1
"B2_6_9_Control_2_BHIrif_-1_24_1","B2","6",9,"Control",2,"BHIrif",-1,"24",1,0,0,11
"B2_6_12_Control_2_BHIrif_-1_24_1","B2","6",12,"Control",2,"BHIrif",-1,"24",1,0,0,11
"B2_6_12_NC_2_BHIrif_0_24_1","B2","6",12,"NC",2,"BHIrif",0,"24",1,0,0,1
"B2_6_12_NC_2_BHI_0_24_1","B2","6",12,"NC",2,"BHI",0,"24",1,0,0,1
"B2_6_15_Control_2_BHIrif_-1_24_1","B2","6",15,"Control",2,"BHIrif",-1,"24",1,0,0,12
"B2_6_15_NC_2_BHIrif_0_24_1","B2","6",15,"NC",2,"BHIrif",0,"24",1,0,0,1
"B2_6_15_NC_2_BHI_0_24_1","B2","6",15,"NC",2,"BHI",0,"24",1,0,0,1
"B2_6_18_Control_2_BHIrif_-1_24_1","B2","6",18,"Control",2,"BHIrif",-1,"24",1,0,0,11
"B2_6_18_NC_2_BHIrif_0_24_1","B2","6",18,"NC",2,"BHIrif",0,"24",1,0,0,1
"B2_6_18_NC_2_BHI_0_24_1","B2","6",18,"NC",2,"BHI",0,"24",1,0,0,1
"B2_6_21_Control_2_BHIrif_-1_24_1","B2","6",21,"Control",2,"BHIrif",-1,"24",1,3,660,11
"B2_6_21_NC_2_BHIrif_0_24_1","B2","6",21,"NC",2,"BHIrif",0,"24",1,0,0,1
"B2_6_21_NC_2_BHI_0_24_1","B2","6",21,"NC",2,"BHI",0,"24",1,0,0,1
"B2_6_24_Control_2_BHIrif_-1_24_1","B2","6",24,"Control",2,"BHIrif",-1,"24",1,0,0,11
"B2_6_24_NC_2_BHIrif_0_24_1","B2","6",24,"NC",2,"BHIrif",0,"24",1,0,0,1
"B2_6_24_NC_2_BHI_0_24_1","B2","6",24,"NC",2,"BHI",0,"24",1,0,0,1
"B3_6_0_Control_3_BHIrif_-1_24_1","B3","6",0,"Control",3,"BHIrif",-1,"24",1,0,0,12
"B3_6_0_NC_3_BHIrif_0_24_1","B3","6",0,"NC",3,"BHIrif",0,"24",1,0,0,1
"B3_6_0_NC_3_BHI_0_24_1","B3","6",0,"NC",3,"BHI",0,"24",1,0,0,1
"B3_6_1_NC_3_BHIrif_-1_24_1","B3","6",1,"NC",3,"BHIrif",-1,"24",1,0,0,1
"B3_6_1_Control_3_BHIrif_-1_24_1","B3","6",1,"Control",3,"BHIrif",-1,"24",1,0,0,12
"B3_6_1_NC_3_BHI_-1_24_1","B3","6",1,"NC",3,"BHI",-1,"24",1,0,0,1
"B3_6_2_Control_3_BHIrif_-1_24_1","B3","6",2,"Control",3,"BHIrif",-1,"24",1,0,0,11
