"plate_id","batch","temperature","day","isolate","biorep","media","time","average_wrangled_conc","log_average_wrangled_conc"
"B2_6_21_S12-0116_2_BHI_-6_24_1","B2","6",21,"S12-0116","2","BHI","24",8247420928,9.9163181604468
"B2_6_18_S12-0116_2_BHIrif_-3_24_1","B2","6",18,"S12-0116","2","BHIrif","24",5992281.5,6.77759220706542
"B2_6_21_S12-0132_2_BHI_-6_24_1","B2","6",21,"S12-0132","2","BHI","24",5514246656,9.74148618849153
"B2_6_15_S12-0132_2_BHIrif_-5_24_1","B2","6",15,"S12-0132","2","BHIrif","24",115881000,8.06401223431053
"B2_6_15_S12-0141_2_BHI_-6_24_1","B2","6",15,"S12-0141","2","BHI","24",2136830720,9.32977011866297
"B2_6_21_S12-0141_2_BHIrif_-5_24_1","B2","6",21,"S12-0141","2","BHIrif","24",152340576,8.18281559332871
"B3_6_18_S12-0116_3_BHI_-6_24_1","B3","6",18,"S12-0116","3","BHI","24",8742336512,9.94162751943708
"B3_6_24_S12-0116_3_BHIrif_-2_24_1","B3","6",24,"S12-0116","3","BHIrif","24",751701.71875,5.87604554325233
"B3_6_18_S12-0132_3_BHI_-6_24_1","B3","6",18,"S12-0132","3","BHI","24",7233192960,9.85933005093224
"B3_6_18_S12-0132_3_BHIrif_-5_24_2","B3","6",18,"S12-0132","3","BHIrif","24",74808320,7.87394990173009
"B3_6_24_S12-0141_3_BHI_-6_24_1","B3","6",24,"S12-0141","3","BHI","24",7087676416,9.85050388185395
"B3_6_15_S12-0141_3_BHIrif_-5_24_1","B3","6",15,"S12-0141","3","BHIrif","24",53448480,7.7279353589929
"B4_6_27_S12-0166_1_BHI_-6_24_1","B4","6",27,"S12-0166","1","BHI","24",4207713280,9.62404613866558
"B4_6_27_S12-0166_1_BHI_-6_36_1","B4","6",27,"S12-0166","1","BHI","36",3780191232,9.57751377044612
"B4_6_27_S12-0166_1_BHIrif_-5_36_1","B4","6",27,"S12-0166","1","BHIrif","36",576105888,8.76050231388794
"B4_6_27_S12-0180_1_BHI_-6_24_1","B4","6",27,"S12-0180","1","BHI","24",7085131776,9.85034793207924
"B4_6_27_S12-0180_1_BHI_-6_36_1","B4","6",27,"S12-0180","1","BHI","36",6908884480,9.8394079311239
"B4_6_24_S12-0180_1_BHIrif_-3_36_2","B4","6",24,"S12-0180","1","BHIrif","36",1458120,6.16379326691288
"B4_6_30_S12-0184_1_BHI_-6_24_1","B4","6",30,"S12-0184","1","BHI","24",1731584128,9.23844359634093
"B4_6_27_S12-0184_1_BHI_-6_36_1","B4","6",27,"S12-0184","1","BHI","36",2481242624,9.39466923308014
"B4_6_27_S12-0184_1_BHIrif_-2_36_2","B4","6",27,"S12-0184","1","BHIrif","36",603100.25,5.78038950849682
"B5_6_24_S12-0166_2_BHI_-6_24_1","B5","6",24,"S12-0166","2","BHI","24",11329295360,10.0542028992032
"B5_6_24_S12-0166_2_BHI_-6_36_1","B5","6",24,"S12-0166","2","BHI","36",10520059904,10.0220182128123
"B5_6_24_S12-0166_2_BHIrif_-5_36_1","B5","6",24,"S12-0166","2","BHIrif","36",503015040,8.70158097052582
"B5_6_24_S12-0180_2_BHI_-6_24_1","B5","6",24,"S12-0180","2","BHI","24",9307166720,9.96881749353331
"B5_6_24_S12-0180_2_BHI_-6_36_1","B5","6",24,"S12-0180","2","BHI","36",8538073088,9.93135986815114
"B5_6_21_S12-0180_2_BHIrif_-1_36_2","B5","6",21,"S12-0180","2","BHIrif","36",25680,4.40959501939682
"B5_6_27_S12-0184_2_BHI_-6_24_1","B5","6",27,"S12-0184","2","BHI","24",7005418496,9.8454340846717
