"plate_id","batch","temperature","day","isolate","biorep","media","time","average_wrangled_conc","log_average_wrangled_conc","death_phase"
"B4_6_0_S12-0166_1_BHI_-1_24_1","B4",6,0,"S12-0166",1,"BHI",24,5720,3.75739602879302,"no"
"B4_6_0_S12-0184_1_BHI_-1_24_1","B4",6,0,"S12-0184",1,"BHI",24,400,2.60205999132796,"no"
"B4_6_0_S12-0180_1_BHI_-1_24_1","B4",6,0,"S12-0180",1,"BHI",24,5060,3.7041505168398,"no"
"B4_6_1_S12-0166_1_BHI_-1_24_1","B4",6,1,"S12-0166",1,"BHI",24,6300,3.79934054945358,"no"
"B4_6_1_S12-0180_1_BHI_-1_24_1","B4",6,1,"S12-0180",1,"BHI",24,1080,3.03342375548695,"no"
"B4_6_1_S12-0184_1_BHI_-1_24_1","B4",6,1,"S12-0184",1,"BHI",24,2420,3.38381536598043,"no"
"B4_6_2_S12-0166_1_BHI_-1_24_1","B4",6,2,"S12-0166",1,"BHI",24,47520,4.67687643197314,"no"
"B4_6_2_S12-0180_1_BHI_-1_24_1","B4",6,2,"S12-0180",1,"BHI",24,2200,3.34242268082221,"no"
"B4_6_2_S12-0184_1_BHI_-1_24_1","B4",6,2,"S12-0184",1,"BHI",24,13600,4.13353890837022,"no"
"B4_6_3_S12-0166_1_BHI_-3_24_1","B4",6,3,"S12-0166",1,"BHI",24,998280,5.99925237034515,"no"
"B4_6_3_S12-0184_1_BHI_-1_24_1","B4",6,3,"S12-0184",1,"BHI",24,7260,3.86093662070009,"no"
"B4_6_3_S12-0180_1_BHI_-1_24_1","B4",6,3,"S12-0180",1,"BHI",24,18480,4.26670196688409,"no"
"B4_6_4_S12-0166_1_BHI_-1_24_1","B4",6,4,"S12-0166",1,"BHI",24,63118.8125,4.80015881958114,"no"
"B4_6_4_S12-0180_1_BHI_-1_24_1","B4",6,4,"S12-0180",1,"BHI",24,1320,3.12057393120585,"no"
"B4_6_4_S12-0184_1_BHI_-3_24_1","B4",6,4,"S12-0184",1,"BHI",24,1530320,6.18478225415288,"no"
"B4_6_6_S12-0166_1_BHI_-3_24_1","B4",6,6,"S12-0166",1,"BHI",24,398400,5.60031932975166,"no"
"B4_6_6_S12-0184_1_BHI_-3_24_1","B4",6,6,"S12-0184",1,"BHI",24,447920,5.65120045448693,"no"
"B4_6_6_S12-0180_1_BHI_-3_24_1","B4",6,6,"S12-0180",1,"BHI",24,3606400,6.55707389436601,"no"
"B4_6_9_S12-0166_1_BHI_-2_24_1","B4",6,9,"S12-0166",1,"BHI",24,9556641,6.98030527182571,"no"
"B4_6_9_S12-0184_1_BHI_-2_24_1","B4",6,9,"S12-0184",1,"BHI",24,1188850.625,6.0751272904357,"no"
"B4_6_9_S12-0180_1_BHI_-2_24_1","B4",6,9,"S12-0180",1,"BHI",24,217280,5.33701975260041,"no"
"B4_6_12_S12-0166_1_BHI_-3_24_1","B4",6,12,"S12-0166",1,"BHI",24,9283595,6.96771618595216,"no"
"B4_6_12_S12-0180_1_BHI_-4_24_1","B4",6,12,"S12-0180",1,"BHI",24,5743440,6.7591720884825,"no"
"B4_6_12_S12-0184_1_BHI_-4_24_1","B4",6,12,"S12-0184",1,"BHI",24,21691320,7.33628598130294,"no"
"B4_6_15_S12-0166_1_BHI_-3_24_1","B4",6,15,"S12-0166",1,"BHI",24,81371096,7.91047016561521,"no"
"B4_6_15_S12-0180_1_BHI_-3_24_1","B4",6,15,"S12-0180",1,"BHI",24,19688990,7.29422343839931,"no"
"B4_6_15_S12-0184_1_BHI_-5_24_1","B4",6,15,"S12-0184",1,"BHI",24,28485080,7.45461744350517,"no"
"B4_6_18_S12-0166_1_BHI_-5_24_1","B4",6,18,"S12-0166",1,"BHI",24,22595000,7.35401234566722,"no"
"B4_6_18_S12-0184_1_BHI_-3_24_1","B4",6,18,"S12-0184",1,"BHI",24,49131520,7.69136020027162,"no"
"B4_6_18_S12-0180_1_BHI_-3_24_1","B4",6,18,"S12-0180",1,"BHI",24,15784272,7.19822455622039,"no"
"B4_6_21_S12-0166_1_BHI_-6_24_1","B4",6,21,"S12-0166",1,"BHI",24,1800032256,9.25528028759069,"no"
"B4_6_21_S12-0184_1_BHI_-6_24_1","B4",6,21,"S12-0184",1,"BHI",24,492120864,8.69207177781195,"no"
"B4_6_21_S12-0180_1_BHI_-4_24_1","B4",6,21,"S12-0180",1,"BHI",24,111496560,8.04726146831634,"no"
"B4_6_24_S12-0166_1_BHI_-6_24_1","B4",6,24,"S12-0166",1,"BHI",24,1200243968,9.07926953203683,"no"
