"plate_id","batch","temperature","day","isolate","biorep","media","time","log_average_wrangled_conc","death_phase","average_wrangled_conc"
"B2_6_0_S12-0116_2_BHI_-1_24_1","B2",6,0,"S12-0116",2,"BHI",24,4.04139268515823,"no",10000
"B2_6_0_S12-0132_2_BHI_-1_24_1","B2",6,0,"S12-0132",2,"BHI",24,3.64345267648619,"no",0
"B2_6_0_S12-0141_2_BHI_-1_24_1","B2",6,0,"S12-0141",2,"BHI",24,3.85733249643127,"no",4900
"B2_6_1_S12-0116_2_BHI_-1_24_1","B2",6,1,"S12-0116",2,"BHI",24,4.13353890837022,"no",12600
"B2_6_1_S12-0132_2_BHI_-1_24_1","B2",6,1,"S12-0132",2,"BHI",24,4.68663626926229,"no",39100
"B2_6_1_S12-0141_2_BHI_-1_24_1","B2",6,1,"S12-0141",2,"BHI",24,4.95792416871435,"no",90326.20313
"B2_6_2_S12-0141_2_BHI_-1_24_1","B2",6,2,"S12-0141",2,"BHI",24,5.11282613984858,"no",128066.0078
"B2_6_2_S12-0132_2_BHI_-1_24_1","B2",6,2,"S12-0132",2,"BHI",24,4.97225557385258,"no",87511.39063
"B2_6_2_S12-0116_2_BHI_-1_24_1","B2",6,2,"S12-0116",2,"BHI",24,5.20729902615725,"no",160735.5
"B2_6_3_S12-0116_2_BHI_-3_24_1","B2",6,3,"S12-0116",2,"BHI",24,3.96378782734556,"no",8600
"B2_6_3_S12-0132_2_BHI_-3_24_1","B2",6,3,"S12-0132",2,"BHI",24,6.03100428136354,"no",1044740
"B2_6_3_S12-0141_2_BHI_-1_24_1","B2",6,3,"S12-0141",2,"BHI",24,5.77283630112271,"no",580381.875
"B2_6_4_S12-0132_2_BHI_-3_24_1","B2",6,4,"S12-0132",2,"BHI",24,7.55397909457353,"no",35096982.5
"B2_6_4_S12-0116_2_BHI_-3_24_1","B2",6,4,"S12-0116",2,"BHI",24,7.71829789632941,"no",52272494
"B2_6_4_S12-0141_2_BHI_-3_24_1","B2",6,4,"S12-0141",2,"BHI",24,6.1596574112477,"no",1422190
"B2_6_6_S12-0116_2_BHI_-2_24_1","B2",6,6,"S12-0116",2,"BHI",24,6.08286293520347,"no",1207760.768921
"B2_6_6_S12-0132_2_BHI_-4_24_1","B2",6,6,"S12-0132",2,"BHI",24,7.78787501721395,"no",61179607.875
"B2_6_6_S12-0141_2_BHI_-4_24_1","B2",6,6,"S12-0141",2,"BHI",24,7.52131045916766,"no",33197780
"B2_6_9_S12-0116_2_BHI_-4_24_1","B2",6,9,"S12-0116",2,"BHI",24,8.89671823460435,"no",788289538.16797
"B2_6_9_S12-0132_2_BHI_-4_24_1","B2",6,9,"S12-0132",2,"BHI",24,8.04011638629616,"no",99579492
"B2_6_9_S12-0141_2_BHI_-2_24_1","B2",6,9,"S12-0141",2,"BHI",24,6.75741015072664,"no",5443591.04685
"B2_6_12_S12-0116_2_BHI_-5_24_1","B2",6,12,"S12-0116",2,"BHI",24,9.09629003467447,"no",1248110632
"B2_6_12_S12-0132_2_BHI_-5_24_1","B2",6,12,"S12-0132",2,"BHI",24,8.35395858554389,"no",198107262
"B2_6_12_S12-0141_2_BHI_-5_24_1","B2",6,12,"S12-0141",2,"BHI",24,8.41534734828591,"no",242841850
"B2_6_15_S12-0116_2_BHI_-6_24_1","B2",6,15,"S12-0116",2,"BHI",24,9.14424223619444,"no",1390177030
"B2_6_15_S12-0132_2_BHI_-6_24_1","B2",6,15,"S12-0132",2,"BHI",24,9.72808367760154,"no",5230792664
"B2_6_15_S12-0141_2_BHI_-6_24_1","B2",6,15,"S12-0141",2,"BHI",24,9.32977011866297,"no",2076442080
"B2_6_18_S12-0116_2_BHI_-6_24_1","B2",6,18,"S12-0116",2,"BHI",24,9.90704431373377,"no",8067181734.5
"B2_6_18_S12-0132_2_BHI_-6_24_1","B2",6,18,"S12-0132",2,"BHI",24,9.15838449579158,"no",1382634378
"B2_6_18_S12-0141_2_BHI_-6_24_1","B2",6,18,"S12-0141",2,"BHI",24,9.31978709202564,"no",2007435568
"B2_6_21_S12-0116_2_BHI_-6_24_1","B2",6,21,"S12-0116",2,"BHI",24,9.9163181604468,"no",8243353468
"B2_6_21_S12-0132_2_BHI_-6_24_1","B2",6,21,"S12-0132",2,"BHI",24,9.74148618849153,"no",5414749076
"B2_6_21_S12-0141_2_BHI_-6_24_1","B2",6,21,"S12-0141",2,"BHI",24,9.05570924776796,"no",984525344
"B2_6_24_S12-0116_2_BHI_-6_24_1","B2",6,24,"S12-0116",2,"BHI",24,9.82324979248704,"no",6656193134
"B2_6_24_S12-0132_2_BHI_-6_24_1","B2",6,24,"S12-0132",2,"BHI",24,9.3883423720303,"no",2432319552.5
"B2_6_24_S12-0141_2_BHI_-6_24_1","B2",6,24,"S12-0141",2,"BHI",24,9.25397762211418,"no",1757078752
"B3_6_0_S12-0116_3_BHI_-1_24_1","B3",6,0,"S12-0116",3,"BHI",24,5.06779918612894,"no",116295.875
"B3_6_0_S12-0132_3_BHI_-1_24_1","B3",6,0,"S12-0132",3,"BHI",24,5.0292801065255,"no",104334.4609
"B3_6_0_S12-0141_3_BHI_-1_24_1","B3",6,0,"S12-0141",3,"BHI",24,5.02808205277395,"no",105239.7656
"B3_6_1_S12-0132_3_BHI_-1_24_1","B3",6,1,"S12-0132",3,"BHI",24,5.3742991023523,"no",234114.9688
"B3_6_1_S12-0116_3_BHI_-1_24_1","B3",6,1,"S12-0116",3,"BHI",24,5.30886818666767,"no",203142.3906
"B3_6_1_S12-0141_3_BHI_-1_24_1","B3",6,1,"S12-0141",3,"BHI",24,5.47554484879076,"no",297813.0313
"B3_6_2_S12-0116_3_BHI_-3_24_1","B3",6,2,"S12-0116",3,"BHI",24,6.4848690327204,"no",3053800
"B3_6_2_S12-0132_3_BHI_-1_24_1","B3",6,2,"S12-0132",3,"BHI",24,5.84316695911551,"no",695334.375
"B3_6_2_S12-0141_3_BHI_-3_24_1","B3",6,2,"S12-0141",3,"BHI",24,6.92253885807764,"no",8365904.5
"B3_6_3_S12-0116_3_BHI_-3_24_1","B3",6,3,"S12-0116",3,"BHI",24,7.23381947302959,"no",17132350
"B3_6_3_S12-0132_3_BHI_-3_24_1","B3",6,3,"S12-0132",3,"BHI",24,6.96993237829478,"no",9325260
"B3_6_3_S12-0141_3_BHI_-3_24_1","B3",6,3,"S12-0141",3,"BHI",24,5.35140975192544,"no",222620
"B3_6_4_S12-0116_3_BHI_-3_24_1","B3",6,4,"S12-0116",3,"BHI",24,8.04662472318526,"no",111332658
"B3_6_4_S12-0132_3_BHI_-3_24_1","B3",6,4,"S12-0132",3,"BHI",24,7.95095785529767,"no",89212474.30466
"B3_6_4_S12-0141_3_BHI_-3_24_1","B3",6,4,"S12-0141",3,"BHI",24,7.91435145148296,"no",82098378
"B3_6_6_S12-0116_3_BHI_-4_24_1","B3",6,6,"S12-0116",3,"BHI",24,8.70698982995913,"no",509318504
"B3_6_6_S12-0141_3_BHI_-4_24_1","B3",6,6,"S12-0141",3,"BHI",24,9.000420526933,"no",1000959308
"B3_6_6_S12-0132_3_BHI_-2_24_1","B3",6,6,"S12-0132",3,"BHI",24,6.73642124440425,"no",5383850.103515
"B3_6_9_S12-0116_3_BHI_-4_24_1","B3",6,9,"S12-0116",3,"BHI",24,9.17851969311585,"no",1508397258
"B3_6_9_S12-0132_3_BHI_-4_24_1","B3",6,9,"S12-0132",3,"BHI",24,7.2373174841748,"no",16990867.54685
"B3_6_9_S12-0141_3_BHI_-4_24_1","B3",6,9,"S12-0141",3,"BHI",24,7.88854161080276,"no",77339070
"B3_6_12_S12-0132_3_BHI_-4_24_1","B3",6,12,"S12-0132",3,"BHI",24,8.74709172602814,"no",553979280
"B3_6_12_S12-0116_3_BHI_-4_24_1","B3",6,12,"S12-0116",3,"BHI",24,8.89865751411521,"no",791847128
"B3_6_12_S12-0141_3_BHI_-4_24_1","B3",6,12,"S12-0141",3,"BHI",24,8.96517047210664,"no",889043882
"B3_6_15_S12-0116_3_BHI_-5_24_1","B3",6,15,"S12-0116",3,"BHI",24,8.94047807407065,"no",871576080
"B3_6_15_S12-0132_3_BHI_-5_24_1","B3",6,15,"S12-0132",3,"BHI",24,9.03736692618335,"no",1072420694.5
"B3_6_15_S12-0141_3_BHI_-5_24_1","B3",6,15,"S12-0141",3,"BHI",24,9.66917202561833,"no",4614994144
"B3_6_18_S12-0116_3_BHI_-6_24_1","B3",6,18,"S12-0116",3,"BHI",24,9.94162751943708,"no",8742315332
"B3_6_18_S12-0132_3_BHI_-6_24_1","B3",6,18,"S12-0132",3,"BHI",24,9.85933005093224,"no",7158384640
"B3_6_18_S12-0141_3_BHI_-6_24_1","B3",6,18,"S12-0141",3,"BHI",24,9.3307399156012,"no",2126287395
"B3_6_21_S12-0116_3_BHI_-6_24_1","B3",6,21,"S12-0116",3,"BHI",24,9.87022374831945,"no",7416716344
"B3_6_21_S12-0141_3_BHI_-6_24_1","B3",6,21,"S12-0141",3,"BHI",24,9.48760744756395,"no",3048532832
"B3_6_24_S12-0132_3_BHI_-6_24_1","B3",6,24,"S12-0132",3,"BHI",24,9.84773699666244,"no",7033740293.75
"B3_6_24_S12-0116_3_BHI_-6_24_1","B3",6,24,"S12-0116",3,"BHI",24,9.62261979731433,"no",4193164970.28125
"B3_6_24_S12-0141_3_BHI_-6_24_1","B3",6,24,"S12-0141",3,"BHI",24,9.85050388185395,"no",7060471532
"B4_6_0_S12-0180_1_BHI_-1_36_1","B4",6,0,"S12-0180",1,"BHI",36,3.63548374681491,"no",3150
"B4_6_0_S12-0184_1_BHI_-1_36_1","B4",6,0,"S12-0184",1,"BHI",36,2.94448267215017,"no",220
"B4_6_0_S12-0166_1_BHI_-1_36_1","B4",6,0,"S12-0166",1,"BHI",36,3.71767050300226,"no",3330
"B4_6_1_S12-0166_1_BHI_-1_36_1","B4",6,1,"S12-0166",1,"BHI",36,3.79934054945358,"no",360
"B4_6_1_S12-0180_1_BHI_-1_36_1","B4",6,1,"S12-0180",1,"BHI",36,3.20951501454263,"no",1620
"B4_6_1_S12-0184_1_BHI_-1_36_1","B4",6,1,"S12-0184",1,"BHI",36,3.48855071650044,"no",2739.79489135
"B4_6_2_S12-0166_1_BHI_-1_36_1","B4",6,2,"S12-0166",1,"BHI",36,4.5232260419657,"no",-16440
"B4_6_2_S12-0180_1_BHI_-1_36_1","B4",6,2,"S12-0180",1,"BHI",36,3.68484536164441,"no",330
"B4_6_2_S12-0184_1_BHI_-1_36_1","B4",6,2,"S12-0184",1,"BHI",36,4.10037054511756,"no",12098.5977173
"B4_6_3_S12-0166_1_BHI_-3_36_1","B4",6,3,"S12-0166",1,"BHI",36,6.02612451674545,"no",995802.597655
"B4_6_3_S12-0180_1_BHI_-1_36_1","B4",6,3,"S12-0180",1,"BHI",36,4.35102285258412,"no",21670
"B4_6_3_S12-0184_1_BHI_-1_36_1","B4",6,3,"S12-0184",1,"BHI",36,3.9106244048892,"no",8140
"B4_6_4_S12-0166_1_BHI_-1_36_1","B4",6,4,"S12-0166",1,"BHI",36,4.76468649401277,"no",49068.31641
"B4_6_4_S12-0180_1_BHI_-1_36_1","B4",6,4,"S12-0180",1,"BHI",36,3.18752072083646,"no",1540
"B4_6_4_S12-0184_1_BHI_-3_36_1","B4",6,4,"S12-0184",1,"BHI",36,6.28403348297584,"no",1922740
"B4_6_6_S12-0166_1_BHI_-3_36_1","B4",6,6,"S12-0166",1,"BHI",36,5.58470686378172,"no",275786.11725
"B4_6_6_S12-0180_1_BHI_-3_36_1","B4",6,6,"S12-0180",1,"BHI",36,6.55164514265461,"no",3561600
"B4_6_6_S12-0184_1_BHI_-3_36_1","B4",6,6,"S12-0184",1,"BHI",36,5.62887915056919,"no",415780
"B4_6_9_S12-0166_1_BHI_-4_36_1","B4",6,9,"S12-0166",1,"BHI",36,6.49888922740207,"no",-2092397.25
"B4_6_9_S12-0180_1_BHI_-2_36_1","B4",6,9,"S12-0180",1,"BHI",36,5.34588321293171,"no",221760
"B4_6_9_S12-0184_1_BHI_-2_36_1","B4",6,9,"S12-0184",1,"BHI",36,6.07697145338524,"no",1189109.625
"B4_6_12_S12-0166_1_BHI_-3_36_1","B4",6,12,"S12-0166",1,"BHI",36,6.85904980753703,"no",6629787
"B4_6_12_S12-0180_1_BHI_-4_36_1","B4",6,12,"S12-0180",1,"BHI",36,6.91887293135001,"no",8290360
"B4_6_12_S12-0184_1_BHI_-4_36_1","B4",6,12,"S12-0184",1,"BHI",36,7.31354285416438,"no",20584390.6178894
"B4_6_15_S12-0166_1_BHI_-5_36_1","B4",6,15,"S12-0166",1,"BHI",36,7.79982283099332,"no",37052470
"B4_6_15_S12-0184_1_BHI_-5_36_1","B4",6,15,"S12-0184",1,"BHI",36,8.57112105386021,"no",372495190
"B4_6_15_S12-0180_1_BHI_-5_36_1","B4",6,15,"S12-0180",1,"BHI",36,8.20642953234535,"no",160811226
"B4_6_18_S12-0166_1_BHI_-5_36_1","B4",6,18,"S12-0166",1,"BHI",36,7.39540503082545,"no",-2259500
"B4_6_18_S12-0180_1_BHI_-5_36_1","B4",6,18,"S12-0180",1,"BHI",36,7.45082532112376,"no",28225680
"B4_6_18_S12-0184_1_BHI_-5_36_1","B4",6,18,"S12-0184",1,"BHI",36,7.14319722810462,"no",13896000
"B4_6_21_S12-0180_1_BHI_-4_36_1","B4",6,21,"S12-0180",1,"BHI",36,8.0969492575586,"no",125009096
"B4_6_21_S12-0166_1_BHI_-6_36_1","B4",6,21,"S12-0166",1,"BHI",36,9.23271449469224,"no",1603667492
"B4_6_21_S12-0184_1_BHI_-6_36_1","B4",6,21,"S12-0184",1,"BHI",36,8.74531727890369,"no",555909130.5
"B4_6_24_S12-0166_1_BHI_-6_36_1","B4",6,24,"S12-0166",1,"BHI",36,9.179640093328,"no",1274659936
"B4_6_24_S12-0180_1_BHI_-6_36_1","B4",6,24,"S12-0180",1,"BHI",36,9.25763281077652,"no",1808351160
"B4_6_24_S12-0184_1_BHI_-6_36_1","B4",6,24,"S12-0184",1,"BHI",36,9.02366391819779,"no",1055548214.28125
"B4_6_27_S12-0166_1_BHI_-6_36_1","B4",6,27,"S12-0166",1,"BHI",36,9.57751377044612,"no",3204085344
"B4_6_27_S12-0184_1_BHI_-6_36_1","B4",6,27,"S12-0184",1,"BHI",36,9.39466923308014,"no",2480639523.75
"B4_6_27_S12-0180_1_BHI_-6_36_1","B4",6,27,"S12-0180",1,"BHI",36,9.8394079311239,"no",6907688530
"B4_6_30_S12-0184_1_BHI_-6_36_1","B4",6,30,"S12-0184",1,"BHI",36,9.34993561103916,"no",2238388918
"B5_6_0_S12-0166_2_BHI_-3_36_1","B5",6,0,"S12-0166",2,"BHI",36,6.28254054756992,"no",1907950
"B5_6_0_S12-0180_2_BHI_-1_36_1","B5",6,0,"S12-0180",2,"BHI",36,4.48230176722344,"no",26180
"B5_6_0_S12-0184_2_BHI_-1_36_1","B5",6,0,"S12-0184",2,"BHI",36,4.28869626059026,"no",18900
"B5_6_1_S12-0166_2_BHI_-1_36_1","B5",6,1,"S12-0166",2,"BHI",36,4.93919547803943,"no",73735.16406
"B5_6_1_S12-0180_2_BHI_-1_36_1","B5",6,1,"S12-0180",2,"BHI",36,5.0510576911327,"no",107236.2355955
"B5_6_1_S12-0184_2_BHI_-3_36_1","B5",6,1,"S12-0184",2,"BHI",36,5.38194495452061,"no",239960
"B5_6_2_S12-0166_2_BHI_-1_36_1","B5",6,2,"S12-0166",2,"BHI",36,5.53353681278568,"no",334794.9063
"B5_6_2_S12-0180_2_BHI_-1_36_1","B5",6,2,"S12-0180",2,"BHI",36,4.98568842576682,"no",94458.34375
"B5_6_2_S12-0184_2_BHI_-1_36_1","B5",6,2,"S12-0184",2,"BHI",36,5.53941898236193,"no",346273.2813
"B5_6_3_S12-0166_2_BHI_-1_36_1","B5",6,3,"S12-0166",2,"BHI",36,5.24035912496372,"no",144993.8438
"B5_6_3_S12-0180_2_BHI_-3_36_1","B5",6,3,"S12-0180",2,"BHI",36,7.28811296722758,"no",19410608
"B5_6_3_S12-0184_2_BHI_-3_36_1","B5",6,3,"S12-0184",2,"BHI",36,7.27257538523162,"no",18731622
"B5_6_4_S12-0166_2_BHI_-3_36_1","B5",6,4,"S12-0166",2,"BHI",36,5.36236936250105,"no",161651.88086
