"plate_id","batch","temperature","day","isolate","biorep","media","time","average_wrangled_conc","log_average_wrangled_conc","death_phase"
"B2_6_24_S12-0116_2_BHIrif_-3_24_1","B2",6,24,"S12-0116",2,"BHIrif",24,365970,5.56344548602705,"yes"
"B2_6_24_S12-0132_2_BHIrif_-3_24_2","B2",6,24,"S12-0132",2,"BHIrif",24,13038015.5,7.11521149300732,"yes"
"B2_6_24_S12-0141_2_BHIrif_-5_24_1","B2",6,24,"S12-0141",2,"BHIrif",24,37562400,7.57475333315364,"yes"
"B3_6_18_S12-0141_3_BHIrif_-3_24_1","B3",6,18,"S12-0141",3,"BHIrif",24,15320285,7.18526684445951,"yes"
"B3_6_21_S12-0132_3_BHI_-6_24_1","B3",6,21,"S12-0132",3,"BHI",24,1990732032,9.29901280454976,"yes"
"B3_6_21_S12-0132_3_BHIrif_-5_24_2","B3",6,21,"S12-0132",3,"BHIrif",24,8497020,6.92926664048202,"yes"
"B3_6_24_S12-0132_3_BHIrif_-3_24_2","B3",6,24,"S12-0132",3,"BHIrif",24,8924154.25,6.95056706826183,"yes"
"B4_6_30_S12-0166_1_BHI_-6_24_1","B4",6,30,"S12-0166",1,"BHI",24,432629248,8.6361158766741,"yes"
"B4_6_30_S12-0180_1_BHI_-6_24_1","B4",6,30,"S12-0180",1,"BHI",24,730337664,8.86352369807481,"yes"
"B4_6_30_S12-0166_1_BHIrif_-5_36_1","B4",6,30,"S12-0166",1,"BHIrif",36,31878000,7.50349106629338,"yes"
"B4_6_30_S12-0180_1_BHI_-6_36_1","B4",6,30,"S12-0180",1,"BHI",36,880848960,8.94490144591249,"yes"
"B4_6_30_S12-0180_1_BHIrif_-1_36_2","B4",6,30,"S12-0180",1,"BHIrif",36,3740,3.57287160220048,"yes"
"B4_6_30_S12-0166_1_BHI_-6_36_1","B4",6,30,"S12-0166",1,"BHI",36,478169152,8.67958155515845,"yes"
"B4_6_30_S12-0184_1_BHIrif_-1_36_2","B4",6,30,"S12-0184",1,"BHIrif",36,330,2.51851393987789,"yes"
"B5_6_27_S12-0166_2_BHI_-6_24_1","B5",6,27,"S12-0166",2,"BHI",24,3308636416,9.51964904543108,"yes"
"B5_6_27_S12-0180_2_BHI_-6_24_1","B5",6,27,"S12-0180",2,"BHI",24,2849398272,9.45475315659053,"yes"
"B5_6_27_S12-0166_2_BHI_-6_36_1","B5",6,27,"S12-0166",2,"BHI",36,3023786752,9.48055115994581,"yes"
"B5_6_30_S12-0166_2_BHI_-6_24_1","B5",6,30,"S12-0166",2,"BHI",24,3483037440,9.54195814281827,"yes"
"B5_6_30_S12-0184_2_BHI_-6_24_1","B5",6,30,"S12-0184",2,"BHI",24,1854118400,9.26813746380245,"yes"
"B5_6_30_S12-0166_2_BHIrif_-3_36_1","B5",6,30,"S12-0166",2,"BHIrif",36,104532692,8.01925213479929,"yes"
"B5_6_30_S12-0184_2_BHIrif_-2_36_2","B5",6,30,"S12-0184",2,"BHIrif",36,44909.00586,4.65233344129529,"yes"
"B5_6_30_S12-0180_2_BHIrif_-1_36_2","B5",6,30,"S12-0180",2,"BHIrif",36,7090.895752,3.85070110056789,"yes"
"B6_6_24_S12-0116_4_BHIrif_-2_24_1","B6",6,24,"S12-0116",4,"BHIrif",24,817837.25,5.91266688746193,"yes"
"B6_6_24_S12-0132_4_BHIrif_-2_24_1","B6",6,24,"S12-0132",4,"BHIrif",24,270320,5.43187817876684,"yes"
"B7_6_24_S12-0184_3_BHIrif_-1_36_2","B7",6,24,"S12-0184",3,"BHIrif",36,0,1.74036268949424,"yes"
"B7_6_27_S12-0184_3_BHIrif_-1_36_2","B7",6,27,"S12-0184",3,"BHIrif",36,380046.57815,5.57983682660068,"yes"
"B7_6_30_S12-0184_3_BHI_-6_24_1","B7",6,30,"S12-0184",3,"BHI",24,2410551296,9.38211637760816,"yes"
"B7_6_30_S12-0166_3_BHIrif_-5_36_1","B7",6,30,"S12-0166",3,"BHIrif",36,233835064,8.36890963496917,"yes"
"B7_6_30_S12-0184_3_BHIrif_-1_36_1","B7",6,30,"S12-0184",3,"BHIrif",36,153978.38285,5.18745975416154,"yes"
"B7_6_30_S12-0184_3_BHI_-5_36_1","B7",6,30,"S12-0184",3,"BHI",36,260425872,8.41568412701096,"yes"
"B8_10_21_S12-0116_1_BHIrif_-5_24_1","B8",10,21,"S12-0116",1,"BHIrif",24,14552440,7.16293581735581,"yes"
"B8_10_21_S12-0132_1_BHIrif_-3_24_1","B8",10,21,"S12-0132",1,"BHIrif",24,40086954,7.60300305771599,"yes"
"B8_10_24_S12-0116_1_BHIrif_-5_24_1","B8",10,24,"S12-0116",1,"BHIrif",24,41715640,7.62029891090285,"yes"
"B9_10_18_S12-0180_1_BHIrif_-1_36_2","B9",10,18,"S12-0180",1,"BHIrif",36,12480,4.0962145853464,"yes"
"B9_10_21_S12-0184_1_BHI_-6_24_1","B9",10,21,"S12-0184",1,"BHI",24,1682914176,9.22606196871498,"yes"
"B9_10_21_S12-0180_1_BHIrif_-1_36_2","B9",10,21,"S12-0180",1,"BHIrif",36,49920,4.69827457667437,"yes"
"B9_10_21_S12-0184_1_BHI_-6_36_1","B9",10,21,"S12-0184",1,"BHI",36,1937901056,9.28733159937616,"yes"
"B9_10_21_S12-0184_1_BHIrif_-1_36_2","B9",10,21,"S12-0184",1,"BHIrif",36,510714.26565,5.70817798906084,"yes"
"B9_10_24_S12-0184_1_BHI_-6_24_1","B9",10,24,"S12-0184",1,"BHI",24,339881088,8.53132699981182,"yes"
"B9_10_24_S12-0180_1_BHIrif_-1_36_2","B9",10,24,"S12-0180",1,"BHIrif",36,11700,4.06818586174616,"yes"
"B9_10_24_S12-0166_1_BHIrif_-5_36_1","B9",10,24,"S12-0166",1,"BHIrif",36,30981000,7.49109543174058,"yes"
"B9_10_24_S12-0184_1_BHI_-6_36_1","B9",10,24,"S12-0184",1,"BHI",36,582653248,8.76541017177095,"yes"
"B9_10_24_S12-0184_1_BHIrif_-3_36_2","B9",10,24,"S12-0184",1,"BHIrif",36,169960,5.23034672241748,"yes"
"B9_10_27_S12-0166_1_BHI_-6_24_1","B9",10,27,"S12-0166",1,"BHI",24,226226160,8.35454282378457,"yes"
"B9_10_27_S12-0180_1_BHI_-6_24_1","B9",10,27,"S12-0180",1,"BHI",24,169940544,8.23029700414783,"yes"
