"isolate","model_type","n0","lag","mumax","nmax","temp","aic","bic","fit","method"
"S12-0116","gompertz",1.931356131224,3.26958946889073,1.33737453481172,8.65537803033731,"10",7.41369390610409,"8.39981679278518","yes","nls_lm"
"S12-0132","gompertz",2.04844043725128,5.59447067641388,4.10503280049376,7.81270807561386,"10",22.7245711534061,"24.714047517398","yes","nls_lm"
"S12-0141","gompertz",2.724588061775,0,1.10507201359388,8.14936742563611,"10",27.502171380787,"29.4916477447789","yes","nls_lm"
"S12-0166","gompertz",1.4326697263893,0.674366554088585,2.90982226999697,8.03441259894659,"10",3.92839388693789,"5.44131935190812","yes","nls_lm"
"S12-0180","gompertz",1.92657002477465,6.45128123626926,2.7188810503867,5.45672545421008,"10",19.5694795063024,"20.5556023929835","yes","nls_lm"
"S12-0184","buchanan",1.73208415247092,5.92740759254721,1.58149695,7.58011266713212,"10",-43.0167796989497,"-42.0306568122686","yes","nls_lm"
"S12-0116","baranyi",2.40543618815466,4.66900919981362,0.783333998144905,6.42207199130514,"6",63.4289717668176,"70.7576512808163","yes","nls_lm"
"S12-0132","buchanan",3.1057443589597,2.06192537838739,0.769789406445605,7.45948075724891,"6",103.692042226663,"110.861978249089","yes","nls_lm"
"S12-0141","baranyi",3.25504231592557,5.06765704820001,1.19895506172681,7.34848140763668,"6",61.8795865148082,"69.3621243221406","yes","nls_lm"
"S12-0166","gompertz",2.95793537530783,0,0.835237357999063,8.34790900066399,"6",105.83942710517,"114.157235335818","yes","nls_lm"
"S12-0180","baranyi",2.50740004509233,14.740921161177,0.503643426338071,6,"6",96.3723003055063,"104.289894997787","yes","nls_lm"
"S12-0184","buchanan",2.60315360909305,3.00000056918929,0.376964079703372,6.30800079936933,"6",115.679539570474,"123.734129133695","yes","nls_lm"
