"isolate","model_type","n0","lag","mumax","nmax","temp","aic","bic","fit","method"
"S12-0116","baranyi",2.40544254821003,4.66909764030842,0.783343052966445,6.42206429316969,"6",63.4289717326782,"70.7576512466768","yes","nls_lm"
"S12-0116","baranyi_no_lag",1.94383882269362,NA,0.563372596221146,6.49271104696365,"6",69.5859201581683,"75.4488637693672","yes","nls_lm"
"S12-0116","buchanan",2.47983667429812,4.26095336061094,0.693531303884217,6.43130306909399,"6",62.5941407255944,"69.922820239593","yes","nls_lm"
"S12-0116","buchanan_no_lag",1.94394347005289,NA,0.55848829496685,6.30981462695737,"6",67.9026616471822,"73.7656052583811","yes","nls_lm"
"S12-0116","gompertz",2.43051828220506,4.93472198067876,0.880315254279651,6.56536058505848,"6",64.3827021475012,"71.7113816614998","yes","nls_lm"
"S12-0132","baranyi",3.11523326301432,2.90034205744228,0.853814712577435,7.56152121340356,"6",104.063489607893,"111.233425630319","yes","nls_lm"
"S12-0132","baranyi_no_lag",2.71942743580542,NA,0.69133599870488,7.63494294290961,"6",103.200066353699,"108.93601517164","yes","nls_lm"
"S12-0132","buchanan",3.1057443673194,2.06192546249883,0.769789412329651,7.45948075724891,"6",103.692042226663,"110.861978249089","yes","nls_lm"
"S12-0132","buchanan_no_lag",2.7064674136439,NA,0.698812609714253,7.45948076114003,"6",102.993928812634,"108.729877630575","yes","nls_lm"
"S12-0132","gompertz",3.12586077523164,3.17904740483464,0.910053450900968,7.98460726158685,"6",104.319796669275,"111.489732691701","yes","nls_lm"
"S12-0141","baranyi",3.25503334898529,5.06756155300315,1.19893760229422,7.34848196954535,"6",61.8795865693875,"69.3621243767199","yes","nls_lm"
"S12-0141","baranyi_no_lag",2.6236404260709,NA,0.722446529574766,7.41721007590712,"6",70.3482361920879,"76.3342664379538","yes","nls_lm"
"S12-0141","buchanan",3.09265970955681,2.77276310951904,0.875395176973303,7.30812503567377,"6",64.3987984875554,"71.8813362948878","yes","nls_lm"
"S12-0141","buchanan_no_lag",2.65122102081853,NA,0.702866714549257,7.35099197308884,"6",69.6017802198446,"75.5878104657105","yes","nls_lm"
"S12-0141","gompertz",3.31046926403981,5.53159682752776,1.33957152433058,7.48477452871237,"6",64.8547314267402,"72.3372692340726","yes","nls_lm"
"S12-0166","baranyi",3.48391353390637,0,0.546288123554778,8.53985726562491,"6",107.340499791794,"115.658308022442","yes","nls_lm"
"S12-0166","baranyi_no_lag",3.47559448449107,NA,0.575078933475721,8.46634498359053,"6",105.010147586497,"111.664394171016","yes","nls_lm"
"S12-0166","buchanan",3.52871116931552,0,0.522405079883648,8.63814091402697,"6",108.255411057374,"116.573219288022","yes","nls_lm"
"S12-0166","buchanan_no_lag",3.57321372817699,NA,0.522875570979575,8.63849948564842,"6",106.158372581324,"112.812619165842","yes","nls_lm"
"S12-0166","gompertz",3.13874701294092,0,0.706164700949831,8.68798356732063,"6",106.343088420792,"114.660896651441","yes","nls_lm"
"S12-0180","baranyi",2.50739975903437,14.7409766624809,0.5036508502386,6,"6",96.3723003012774,"104.289894993558","yes","nls_lm"
"S12-0180","baranyi_no_lag",2.14286431860729,NA,0.201375024658958,6,"6",104.385272910092,"110.719348663917","yes","nls_lm"
"S12-0180","buchanan",NA,NA,NA,NA,"6",NA,NA,"no","nls_lm"
"S12-0180","buchanan_no_lag",NA,NA,NA,NA,"6",NA,NA,"no","nls_lm"
"S12-0180","gompertz",2.51124627077571,14.0892943271635,0.482160678388409,6,"6",97.1886847104865,"105.106279402767","yes","nls_lm"
"S12-0184","baranyi",2.49835549222532,3.05693490872194,0.391517183690754,6.9680979017464,"6",116.13286369856,"124.187453261781","yes","nls_lm"
"S12-0184","baranyi_no_lag",2.29723266624125,NA,0.350585825500437,7,"6",114.523529827424,"120.967201478001","yes","nls_lm"
"S12-0184","buchanan",2.60911066491019,3.00000027908972,0.373965980791184,6.30800079936933,"6",115.685562694865,"123.740152258086","yes","nls_lm"
"S12-0184","buchanan_no_lag",2.29852884572809,NA,0.349795396106191,6.30800079936933,"6",114.466703450928,"120.910375101504","yes","nls_lm"
"S12-0184","gompertz",2.47186618033442,3.57419957739299,0.426213896824122,7,"6",116.718588336609,"124.773177899831","yes","nls_lm"
"S12-0116","baranyi",1.94473525937078,2.60436957814569,1.12932582211339,8.10975391372191,"10",10.916464500096,"11.9025873867771","yes","nls_lm"
"S12-0116","baranyi_no_lag",1.45066617948914,NA,0.939129436263705,8.41974739234439,"10",16.8325325098291,"17.621430819174","yes","nls_lm"
"S12-0116","buchanan",2.00565603034987,2.21225886002006,1.02600528885704,8.29512963862329,"10",9.50879476489985,"10.4949176515809","yes","nls_lm"
"S12-0116","buchanan_no_lag",1.46224175909316,NA,0.929985691453261,8.29512963862329,"10",16.9410234995845,"17.7299218089294","yes","nls_lm"
"S12-0116","gompertz",1.9313584999,3.26960163819855,1.33737613585399,8.65537518296159,"10",7.41369390419409,"8.39981679087519","yes","nls_lm"
"S12-0132","baranyi",2.05158339975125,5.51698366870375,3.43841948103612,7.75964518392293,"10",23.1573772955377,"25.1468536595296","yes","nls_lm"
"S12-0132","baranyi_no_lag",1.10479487226792,NA,1.13076367015064,8.1613456781576,"10",32.7463575093473,"34.3379386005408","yes","nls_lm"
"S12-0132","buchanan",1.85921178507562,2.1164939803174,1.12453444718401,8.41037939916461,"10",34.0641718204658,"36.0536481844577","yes","nls_lm"
"S12-0132","buchanan_no_lag",1.24187894069662,NA,1.03105611683319,8.41037939878352,"10",33.2885830887359,"34.8801641799294","yes","nls_lm"
"S12-0132","gompertz",2.04844020838732,5.5944671784911,4.10501595499352,7.81270972412547,"10",22.7245711561543,"24.7140475201462","yes","nls_lm"
"S12-0141","baranyi",3.27990483938636,0,0.725733062879405,8.22810603840375,"10",30.1377588241018,"32.1272351880937","yes","nls_lm"
"S12-0141","baranyi_no_lag",3.09855741078221,NA,0.89274673151465,7.95525815240618,"10",27.7527350240074,"29.3443161152009","yes","nls_lm"
"S12-0141","buchanan",3.35083236184014,0,0.669631778249578,8.31899196469442,"10",30.8101329129465,"32.7996092769383","yes","nls_lm"
"S12-0141","buchanan_no_lag",3.3823963422445,NA,0.676401670268348,8.32018335614529,"10",28.7547443481374,"30.3463254393309","yes","nls_lm"
"S12-0141","gompertz",2.75709358783772,0,1.06465804989816,8.19487968133398,"10",27.5376466099302,"29.527122973922","yes","nls_lm"
"S12-0166","baranyi",1.62532429778306,0.497891281698678,2.28479711248176,7.98803173167385,"10",9.18970843653025,"10.7026339015005","yes","nls_lm"
"S12-0166","baranyi_no_lag",1.41280036621754,NA,2.12163081530423,7.99254211437395,"10",9.29058751470149,"10.5009278866777","yes","nls_lm"
"S12-0166","buchanan",1.74036265758981,0.617774752333672,2.26725012965627,7.99075672891083,"10",7.96635976839834,"9.47928523336857","yes","nls_lm"
"S12-0166","buchanan_no_lag",1.41899951619698,NA,2.10868599099769,7.99075672891083,"10",9.39637179127654,"10.6067121632527","yes","nls_lm"
"S12-0166","gompertz",1.43265176706466,0.674341659219063,2.9098137545923,8.03441362825284,"10",3.92839388922341,"5.44131935419364","yes","nls_lm"
"S12-0180","baranyi",NA,NA,NA,NA,"10",NA,NA,"no","nls_lm"
"S12-0180","baranyi_no_lag",1.2793692350307,NA,0.691687985704579,6.15,"10",25.1780620017972,"25.9669603111421","yes","nls_lm"
"S12-0180","buchanan",1.95743008440705,5.22243127614027,1.07902135165297,6.12338771043052,"10",21.9469196464827,"22.9330425331638","yes","nls_lm"
"S12-0180","buchanan_no_lag",NA,NA,NA,NA,"10",NA,NA,"no","nls_lm"
"S12-0180","gompertz",1.92657623128467,6.45130867684337,2.71862187515235,5.45679965986341,"10",19.5694795351596,"20.5556024218406","yes","nls_lm"
"S12-0184","baranyi",NA,NA,NA,NA,"10",NA,NA,"no","nls_lm"
"S12-0184","baranyi_no_lag",NA,NA,NA,NA,"10",NA,NA,"no","nls_lm"
"S12-0184","buchanan",1.73208415245151,5.92740759229713,1.58149694994189,7.58011266713212,"10",-43.0167796989497,"-42.0306568122686","yes","nls_lm"
"S12-0184","buchanan_no_lag",NA,NA,NA,NA,"10",NA,NA,"no","nls_lm"
"S12-0184","gompertz",1.71174264431206,6.56813367867882,1.9347722625594,7.76767655716804,"10",-13.3398664409541,"-12.353743554273","yes","nls_lm"
