"isolate","model_type","n0","lag","mumax","nmax","temp","aic","bic","fit","method"
"S12-0116-APC","buchanan_no_lag",4.0988717312317,NA,0.78722914717271,9.76987177713181,"10",28.5370105326421,"30.4766371317941","yes","nls_lm"
"S12-0132-APC","baranyi_no_lag",3.58538996616435,NA,1.2261258748178,9.24756404539454,"10",23.8184917348256,"25.7581183339776","yes","nls_lm"
"S12-0141-APC","baranyi_no_lag",4.1203521654642,NA,1.10407823505529,9.27017344300866,"10",25.0023333072298,"26.9419599063818","yes","nls_lm"
"S12-0166-APC","baranyi_no_lag",6.06048385103988,NA,0.876732348045567,9.65365981494013,"10",-1.0518943256162,"0.887732273535805","yes","nls_lm"
"S12-0180-APC","buchanan_no_lag",5.99975400053522,NA,0.802135473822893,9.51451370244365,"10",19.3882152716222,"21.3278418707742","yes","nls_lm"
"S12-0184-APC","buchanan_no_lag",5.81775066635698,NA,0.750620402768227,9.92603356733252,"10",28.4225758882173,"29.6329162601935","yes","nls_lm"
"S12-0116-APC","baranyi_no_lag",4.14145116336634,NA,0.951810611654102,9.4797391495768,"6",121.115874166405,"127.449949920229","yes","nls_lm"
"S12-0132-APC","baranyi_no_lag",4.52057583139276,NA,0.655582539654657,9.45508311725781,"6",119.361940907189,"125.583333153147","yes","nls_lm"
"S12-0141-APC","baranyi_no_lag",4.72248474419134,NA,0.679967384307503,9.33804854516977,"6",105.228046779704,"111.562122533528","yes","nls_lm"
"S12-0166-APC","baranyi_no_lag",4.88308797777559,NA,0.513684994468828,9.57747733251562,"6",105.854387008567,"112.609904825023","yes","nls_lm"
"S12-0180-APC","baranyi_no_lag",4.64772450502525,NA,0.501693944648507,9.68696912739895,"6",124.084089444246,"130.938377711064","yes","nls_lm"
"S12-0184-APC","baranyi_no_lag",4.48205506215063,NA,0.646510023944639,9.30541506559172,"6",109.748238356848,"116.503756173303","yes","nls_lm"
