"isolate","pop","model_type","n0","lag","mumax","nmax","temp","aic","bic","fit","method"
"S12-0116","apc","buchanan_no_lag",4.0988717337954,NA,0.7872291453104,9.76987177731242,"10","28.5370105326421","30.4766371317941","yes","nls_lm"
"S12-0132","apc","gompertz",3.23051456583692,0,1.45192071545152,9.46605456358687,"10","21.483047778995","23.907581027935","yes","nls_lm"
"S12-0141","apc","gompertz",3.70013647263943,0,1.43677904041869,9.14383164526632,"10","18.7086145496247","20.6980909136166","yes","nls_lm"
"S12-0166","apc","buchanan",6.28971375687279,0.733590053129676,0.850964858316321,9.65416791545777,"10","-0.230107042480997","2.194426206459","yes","nls_lm"
"S12-0180","apc","buchanan",6.10975392692364,1.53452614754985,1.04954662816528,9.40558418881972,"10","12.554998824661","14.5444751886528","yes","nls_lm"
"S12-0184","apc","baranyi_no_lag",5.82869851094691,NA,0.796326358061059,9.84725676134636,"10","12.5096048059243","12.8273709726436","yes","nls_lm"
"S12-0116","apc","baranyi_no_lag",4.14142445569716,NA,0.951832250960101,9.47971000310059,"6","121.115874135764","127.449949889588","yes","nls_lm"
"S12-0132","apc","baranyi_no_lag",4.52060279591416,NA,0.655564452251614,9.455166600847,"6","119.361940838452","125.58333308441","yes","nls_lm"
"S12-0141","apc","baranyi_no_lag",4.65240160062317,NA,0.66213157022636,9.38211760735472,"6","95.2797113049209","101.501103550879","yes","nls_lm"
"S12-0166","apc","baranyi_no_lag",4.78316498599027,NA,0.517622809406871,9.59977840953764,"6","94.0907656419277","100.745012226446","yes","nls_lm"
"S12-0180","apc","baranyi_no_lag",4.64772417212711,NA,0.501693730801617,9.6869743044924,"6","124.084089444089","130.938377710906","yes","nls_lm"
"S12-0184","apc","baranyi_no_lag",4.48203207711618,NA,0.646524455507741,9.30538125308694,"6","109.748238290621","116.503756107077","yes","nls_lm"
