"isolate","pop","model_type","n0","lag","mumax","nmax","temp","aic","bic","fit","method"
"S12-0116","strain","baranyi",1.94473783567944,2.60446899194698,1.12936425798213,8.10960874447743,"10","10.9164645218248","11.9025874085059","yes","nls_lm"
"S12-0132","strain","gompertz",1.95434904956588,4.60629250850749,1.61497467233115,8.491358705829,"10","11.402133085291","12.9150585502612","yes","nls_lm"
"S12-0141","strain","gompertz",2.75431331867462,0,1.07843158412714,8.18013178940973,"10","27.5110624179346","29.5005387819265","yes","nls_lm"
"S12-0166","strain","gompertz",1.43265518434515,0.674346475213425,2.90981558832583,8.03441337994594,"10","3.92839388764285","5.44131935261308","yes","nls_lm"
"S12-0180","strain","gompertz",1.92657875415273,6.4514675759692,2.71898361509141,5.45673927288315,"10","19.5694794998621","20.5556023865432","yes","nls_lm"
"S12-0184","strain","gompertz",1.71174257534931,6.56813278477614,1.9347718462167,7.76767676771897,"10","-13.3398664406","-12.3537435539189","yes","nls_lm"
"S12-0116","strain","buchanan",2.47983667392012,4.26095335937612,0.693531303548507,6.43130306909399,"6","62.5941407255944","69.922820239593","yes","nls_lm"
"S12-0132","strain","buchanan_no_lag",2.70646741517359,NA,0.698812608943425,7.4594807572171,"6","102.993928812634","108.729877630575","yes","nls_lm"
"S12-0141","strain","baranyi",3.25503711271625,5.06760161183787,1.19894492035169,7.34848173481586,"6","61.8795865454096","69.362124352742","yes","nls_lm"
"S12-0166","strain","baranyi_no_lag",3.4755475041204,NA,0.57510586811881,8.46620492039781,"6","105.01014759483","111.664394179349","yes","nls_lm"
"S12-0180","strain","baranyi_no_lag",2.1428649998034,NA,0.20137476657685,6,"6","104.385272910067","110.719348663891","yes","nls_lm"
"S12-0184","strain","buchanan_no_lag",2.29852884859727,NA,0.349795395398827,6.30800079959034,"6","114.466703450928","120.910375101504","yes","nls_lm"
