"isolate","pop","model_type","n0","lag","mumax","nmax","temp","aic","bic","fit","method"
"S12-0116","apc","buchanan_no_lag",4.0988717312317,NA,0.78722914717271,9.76987177713181,"10","28.5370105326421","30.4766371317941","yes","nls_lm"
"S12-0132","apc","gompertz",3.31699306540577,0,1.3652430020834,9.51618603092806,"10","21.8811638926709","24.3056971416109","yes","nls_lm"
"S12-0141","apc","baranyi_no_lag",4.1203521654642,NA,1.10407823505529,9.27017344300866,"10","25.0023333072298","26.9419599063818","yes","nls_lm"
"S12-0166","apc","buchanan",6.28971383337294,0.733590372910817,0.850964873285209,9.65416791545777,"10","-0.230107042480935","2.19442620645907","yes","nls_lm"
"S12-0180","apc","gompertz",5.83812586574977,0.579948567517985,1.16143709063965,9.52242216323893,"10","18.5337682891376","20.9583015380776","yes","nls_lm"
"S12-0184","apc","buchanan_no_lag",5.81775066635698,NA,0.750620402768227,9.92603356733252,"10","28.4225758882173","29.6329162601935","yes","nls_lm"
"S12-0116","apc","baranyi_no_lag",4.14145116336634,NA,0.951810611654102,9.4797391495768,"6","121.115874166405","127.449949920229","yes","nls_lm"
"S12-0132","apc","baranyi_no_lag",4.52057583139276,NA,0.655582539654657,9.45508311725781,"6","119.361940907189","125.583333153147","yes","nls_lm"
"S12-0141","apc","baranyi_no_lag",4.72248474419134,NA,0.679967384307503,9.33804854516977,"6","105.228046779704","111.562122533528","yes","nls_lm"
"S12-0166","apc","baranyi_no_lag",4.88308797777559,NA,0.513684994468828,9.57747733251562,"6","105.854387008567","112.609904825023","yes","nls_lm"
"S12-0180","apc","baranyi_no_lag",4.64772450502525,NA,0.501693944648507,9.68696912739895,"6","124.084089444246","130.938377711064","yes","nls_lm"
"S12-0184","apc","baranyi_no_lag",4.48205506215063,NA,0.646510023944639,9.30541506559172,"6","109.748238356848","116.503756173303","yes","nls_lm"
