"isolate","rep","b_mu","temp_min_mu"
"S12-0116","1",-0.157224653034129,19.1562546455464
"S12-0116","2",-0.211550035739253,16.804957298672
"S12-0116","3",-0.376077298857393,13.8279070928023
"S12-0132","1",0.363704384081358,6
"S12-0132","2",0.363704384081358,6
"S12-0132","3",-0.264378509333197,15.5027828850185
"S12-0141","1",-0.250000049999995,10
"S12-0141","2",-0.586777128420578,10
"S12-0141","3",-0.551308625283969,10
"S12-0166","1",0,NA
"S12-0166","2",0,NA
"S12-0166","3",0,NA
"S12-0180","1",-0.123973385359776,30.4879325157893
"S12-0180","2",0.634989588251256,6
"S12-0180","3",-0.452861600158721,15.6086856384264
"S12-0184","1",-0.374801811001793,16.5924464845797
"S12-0184","2",0.264161752139989,0.646409401299342
"S12-0184","3",0.617715220338223,6
