"isolate","n0","lag","mumax","nmax","temp","rep"
"S12-0116",3.96378782734556,"2",0.293734080473533,9.9163181604468,"6",1
"S12-0116",5.06779918612894,"2",0.216047405419793,9.94162751943708,"6",2
"S12-0116",2.77815125038364,"1",0.291103520267681,9.86974269395619,"6",3
"S12-0132",3.64345267648619,"1",0.360103386309946,9.74148618849153,"6",1
"S12-0132",5.0292801065255,"2",0.251010193238546,9.85933005093224,"6",2
"S12-0132",2.77815125038364,"2",0.317449214418193,9.83771504792956,"6",3
"S12-0141",3.85733249643127,"1",0.312274710710616,9.32977011866297,"6",1
"S12-0141",5.02808205277395,"2",0.211279474426207,9.85050388185395,"6",2
"S12-0141",3.69897000433602,"1",0.200453877673402,9.6204976373447,"6",3
"S12-0166",3.71767050300226,"2",0.202171509139217,9.57751377044612,"6",1
"S12-0166",4.93919547803943,"6",0.0744063390794533,10.0220182128123,"6",2
"S12-0166",3.7481880270062,"3",0.178874735503502,9.95012370765068,"6",3
"S12-0180",3.18752072083646,"3",0.228682711605824,9.8394079311239,"6",1
"S12-0180",4.48230176722344,"3",0.125868900043979,9.93135986815114,"6",2
"S12-0180",3.7160033436348,"2",0.100260864879469,9.74362407982105,"6",3
"S12-0184",2.94448267215017,"1",0.363040738382841,9.39466923308014,"6",1
"S12-0184",4.28869626059026,"1",0.183706271355126,9.86409398851077,"6",2
"S12-0184",3.9106244048892,"4",0.141022954156696,9.86754591730662,"6",3
"S12-0116",3.34242268082221,"1",0.331149962133997,9.85278562938095,"10",1
"S12-0132",3.47712125471966,"2",0.286678494227723,9.85377206037586,"10",1
"S12-0141",3.7160033436348,"2",0.226322830635053,10.0891223272094,"10",1
"S12-0166",6.14380144142369,"1",0.272425689197179,9.80274578947815,"10",1
"S12-0180",6.07838430874819,"2",0.116284985299381,10.0100691112111,"10",1
"S12-0184",4.75463780269701,"2",0.17943934075982,10.0684578049903,"10",1
