"isolate","n0","lag","mumax","nmax","temp"
"S12-0116",2.17609125905568,4,0.282008229591985,6.39237280625829,"6"
"S12-0132",2.89714505071469,3,0.299811492710103,7.69265687568921,"6"
"S12-0141",2.86735333044265,3,0.307528711769529,7.50317983862278,"6"
"S12-0166",2.98528142337205,1,0.191796764188721,8.69144056502799,"6"
"S12-0180",1.72656512777483,2,0.114073487501587,6.31555893462078,"6"
"S12-0184",1.93050507064721,6,0.233047567562422,6.30800079936933,"6"
"S12-0116",1.74036268949424,4,0.389287971329216,8.29512963862329,"10"
"S12-0132",1.69897000433602,1,0.372313879266445,8.46763864569585,"10"
"S12-0141",2.77815125038364,1,0.292453015640612,8.47549194894758,"10"
"S12-0166",1.74036268949424,2,0.63619939626963,8.20750812631924,"10"
"S12-0180",1.69897000433602,9,0.229658103670675,6.12338771043052,"10"
"S12-0184",1.69897000433602,9,0.414453267715817,7.58011266713212,"10"
