"isolate","pop","model_type","n0","lag","mumax","nmax","temp","aic","bic","fit","method","rep"
"S12-0116","strain","gompertz",2.88684910130373,4.37542960419601,0.822845070171466,7.06305999634618,"6",12.5612142218846,14.5506905858765,"yes","nls_lm","1"
"S12-0116","strain","gompertz",2.47372234305571,5.19660062851229,0.866657226076528,5.31801640485974,"6",22.3815550793102,24.8060883282502,"yes","nls_lm","2"
"S12-0116","strain","gompertz",1.9247903079619,8.78629873271438,1.37687182125145,7.63133233924887,"6",22.965218013884,24.9546943778758,"yes","nls_lm","3"
"S12-0132","strain","gompertz",3.31487642218751,0.0869908747522671,1.00597519070687,8.09789437017412,"6",18.4531149837083,20.4425913477001,"yes","nls_lm","1"
"S12-0132","strain","gompertz",2.91137866743201,0,0.719305491471513,9.11706104442007,"6",16.1937906258222,17.7067160907924,"yes","nls_lm","2"
"S12-0132","strain","gompertz",1.97356572676512,6.26664556230902,0.83787815032544,7.38750123350132,"6",37.0136948380035,39.0031712019953,"yes","nls_lm","3"
"S12-0141","strain","gompertz",3.04447598849084,2.20933593801331,0.94839966309574,8.63441611315851,"6",18.6930690482112,20.6825454122031,"yes","nls_lm","1"
"S12-0141","strain","gompertz",3.17131744894496,5.47394254924101,1.3642116929559,7.72695792612422,"6",23.8593485854236,25.8488249494154,"yes","nls_lm","2"
"S12-0141","strain","gompertz",2.90082926847863,4.72474898269437,1.15801635915669,6.83652864467892,"6",29.4316902406624,31.8562234896024,"yes","nls_lm","3"
"S12-0166","strain","gompertz",3.45922585138329,0,0.589179339120554,9.15876957687404,"6",27.1122735026636,29.9370202899713,"yes","nls_lm","1"
"S12-0166","strain","gompertz",3.93064242560819,0,0.52187175216083,8.32747233150285,"6",42.1814176401549,45.0061644274625,"yes","nls_lm","2"
"S12-0166","strain","gompertz",1.91958062248851,0,1.08738254553548,8.7372380417195,"6",40.2400428131641,43.0647896004718,"yes","nls_lm","3"
"S12-0180","strain","gompertz",2.4228075137195,10.371960036927,0.510540323679008,9.08514652756926,"6",42.2358280708663,45.060574858174,"yes","nls_lm","1"
"S12-0180","strain","gompertz",3.90607812701396,28.8091909261705,0.0864632548925218,3.0580649866313,"6",40.4201441506557,43.2448909379634,"yes","nls_lm","2"
"S12-0180","strain","gompertz",2.02680459242606,18.9347233330685,1.06930084454739,6.31555893462078,"6",34.4210458787529,37.6163325268292,"yes","nls_lm","3"
"S12-0184","strain","gompertz",5.67963213462879,18.3004638566271,13.1836387623128,2.78198782090558,"6",30.5082633127455,33.3330101000532,"yes","nls_lm","1"
"S12-0184","strain","gompertz",1.23067966648144,2.45467431521498,0.540927972830495,24.8387799751299,"6",45.8257048458968,48.6504516332044,"yes","nls_lm","2"
"S12-0184","strain","gompertz",2.17466560058677,0,0.434854693631261,7.1820028171566,"6",43.5038867757925,45.4933631397844,"yes","nls_lm","3"
"S12-0116","strain","gompertz",1.65627569675571,1.95722434315481,1.30940866110386,8.45662206633844,"10",17.9421133053561,19.4550387703263,"yes","nls_lm","1"
"S12-0132","strain","gompertz",2.02907955680693,5.58081689336846,4.10421555179416,7.81327253095,"10",22.6712571490867,24.6607335130786,"yes","nls_lm","1"
"S12-0141","strain","gompertz",3.22197923581963,0,0.950403347273273,8.18315698795001,"10",37.9787866081927,40.4033198571327,"yes","nls_lm","1"
"S12-0166","strain","gompertz",1.47354371337967,0.640232351575765,2.40237416733695,8.12631044064604,"10",20.5824547544638,22.5719311184557,"yes","nls_lm","1"
"S12-0180","strain","gompertz",1.90005626417515,6.40956583855308,2.69432129995275,5.46108164691209,"10",19.0103777024431,19.9965005891242,"yes","nls_lm","1"
"S12-0184","strain","gompertz",1.69506655851807,6.10515349481478,1.62971114479123,7.3693469740213,"10",15.1106158646855,16.6235413296557,"yes","nls_lm","1"
