"isolate","rep","b_mu","temp_min_mu"
"S12-0116","1",-0.0514101277005401,27.2584544280707
"S12-0116","2",-0.0993240962232682,18.9329717540708
"S12-0116","3",-0.0391011515685096,32.6913865824767
"S12-0132","1",-0.0186083012094352,72.7911232770485
"S12-0132","2",0.105278641917115,-1.09851071348348
"S12-0132","3",0.0929594017139742,-2.56931642926494
"S12-0141","1",0.0449142259460067,-13.3946205150986
"S12-0141","2",-0.0417951134886176,35.1405292157511
"S12-0141","3",0.0720325660976433,-4.58716978528689
"S12-0166","1",0.049547985142924,-8.61786234859443
"S12-0166","2",0.0738289488143782,-2.49479481768687
"S12-0166","3",0.0352215364230804,-16.1907247872546
"S12-0180","1",0.0791428610070485,-3.61699837092517
"S12-0180","2",0.0915911383665534,-1.76629342775894
"S12-0180","3",0.110920810479775,0.284165750845817
"S12-0184","1",0.0144730061817656,-49.8620292540114
"S12-0184","2",0.0414909142440923,-10.8812829321952
"S12-0184","3",-0.0179794465053183,58.187441097815
