"isolate","pop","model_type","n0","lag","mumax","nmax","temp","aic","bic","fit","method","rep"
"S12-0116","apc","buchanan_no_lag",3.96393361565053,NA,1.07802707832368,9.69728044710645,"6",36.3295979851198,38.2692245842718,"yes","nls_lm","1"
"S12-0116","apc","buchanan_no_lag",5.03781512782951,NA,1.52816005670731,9.40864041124202,"6",17.1861466508137,19.1257732499657,"yes","nls_lm","2"
"S12-0116","apc","buchanan_no_lag",2.94288121553364,NA,0.795926811558363,9.72658358076943,"6",31.6217131651944,33.5613397643464,"yes","nls_lm","3"
"S12-0132","apc","buchanan_no_lag",4.98976487135159,NA,0.7624570084571,9.49471845584699,"6",27.8023690783123,29.3939501695057,"yes","nls_lm","1"
"S12-0132","apc","buchanan_no_lag",5.58638985585873,NA,0.558279278090161,9.85100067969661,"6",26.4446266641423,28.0362077553358,"yes","nls_lm","2"
"S12-0132","apc","buchanan_no_lag",3.0495757416943,NA,0.6506025096427,9.50708072485007,"6",39.419869512669,41.359496111821,"yes","nls_lm","3"
"S12-0141","apc","buchanan_no_lag",4.49569673739639,NA,0.768370114875127,9.21449489098416,"6",23.4867845935175,25.4264111926695,"yes","nls_lm","1"
"S12-0141","apc","buchanan_no_lag",5.59839777668851,NA,0.730049637772574,9.58117942545474,"6",34.642962134687,36.582588733839,"yes","nls_lm","2"
"S12-0141","apc","buchanan_no_lag",3.87167953029293,NA,0.590961395287547,9.62002238617108,"6",29.531467833268,31.47109443242,"yes","nls_lm","3"
"S12-0166","apc","buchanan_no_lag",3.63353472679577,NA,0.621528876383594,9.30554920490994,"6",28.1358426681534,29.3461830401296,"yes","nls_lm","1"
"S12-0166","apc","buchanan_no_lag",5.57461554862153,NA,0.395661613573724,9.69862288829804,"6",41.6971286360786,43.9569260659247,"yes","nls_lm","2"
"S12-0166","apc","buchanan_no_lag",4.98616168420386,NA,0.544354912504324,9.58416025182183,"6",35.3934597410157,37.9496890594768,"yes","nls_lm","3"
"S12-0180","apc","buchanan_no_lag",3.21810544356784,NA,0.599868281765307,9.83933274685259,"6",38.8823165288322,41.1421139586784,"yes","nls_lm","1"
"S12-0180","apc","buchanan_no_lag",5.11279845542744,NA,0.471908264703378,9.72171755405337,"6",33.7587177375331,36.3149470559941,"yes","nls_lm","2"
"S12-0180","apc","buchanan_no_lag",5.48291024131643,NA,0.401962858348389,9.63522416539585,"6",47.6198917453181,50.1761210637791,"yes","nls_lm","3"
"S12-0184","apc","buchanan_no_lag",3.51172901964789,NA,0.646755510065207,9.12824527257834,"6",39.5362060294763,42.0924353479373,"yes","nls_lm","1"
"S12-0184","apc","buchanan_no_lag",5.50732105520376,NA,0.478351729241497,9.5866145717652,"6",34.4695378843068,37.0257672027678,"yes","nls_lm","2"
"S12-0184","apc","buchanan_no_lag",4.45666932343065,NA,0.719557376516522,9.42592078889428,"6",34.3212907785341,36.2609173776861,"yes","nls_lm","3"
"S12-0116","apc","buchanan_no_lag",4.09429886114538,NA,0.784248035011524,9.76440144494213,"10",28.8879994368276,30.8276260359796,"yes","nls_lm","1"
"S12-0132","apc","buchanan_no_lag",3.85486495025596,NA,0.980399135316092,9.43264495330341,"10",25.7649641690488,27.7045907682008,"yes","nls_lm","1"
"S12-0141","apc","buchanan_no_lag",4.59498825502057,NA,0.670827285011495,9.90208853507696,"10",30.3457666282034,31.9373477193969,"yes","nls_lm","1"
"S12-0166","apc","buchanan_no_lag",6.12051979274294,NA,0.807435388035218,9.64491999351454,"10",-0.52572131618224,1.41390528296976,"yes","nls_lm","1"
"S12-0180","apc","buchanan_no_lag",5.99974666766563,NA,0.802133626988863,9.51441672462252,"10",19.3909013203499,21.3305279195019,"yes","nls_lm","1"
"S12-0184","apc","buchanan_no_lag",5.81777513098343,NA,0.75059829655585,9.92465559742442,"10",28.4245424122621,29.6348827842383,"yes","nls_lm","1"
