"isolate","pop","model_type","n0","lag","mumax","nmax","temp","aic","bic","fit","method","rep"
"S12-0116","apc","buchanan_no_lag",4.0988717312317,NA,0.78722914717271,9.76987177713181,"10","28.5370105326421","30.4766371317941","yes","nls_lm","1"
"S12-0132","apc","gompertz",3.31699306540577,0,1.3652430020834,9.51618603092806,"10","21.8811638926709","24.3056971416109","yes","nls_lm","1"
"S12-0141","apc","baranyi_no_lag",4.1203521654642,NA,1.10407823505529,9.27017344300866,"10","25.0023333072298","26.9419599063818","yes","nls_lm","1"
"S12-0166","apc","buchanan",6.2897137434575,0.733590044052978,0.850964861694181,9.65416791545777,"10","-0.230107042480997","2.194426206459","yes","nls_lm","1"
"S12-0180","apc","gompertz",5.83810254368279,0.579845861235116,1.16141187668697,9.52243312429247,"10","18.5337683100232","20.9583015589632","yes","nls_lm","1"
"S12-0184","apc","buchanan_no_lag",5.81775066635698,NA,0.750620402768227,9.92603356733252,"10","28.4225758882173","29.6329162601935","yes","nls_lm","1"
"S12-0116","apc","baranyi_no_lag",3.85286590693983,NA,1.19443009713166,9.63273835627227,"6","35.6205321327437","37.5601587318957","yes","nls_lm","1"
"S12-0116","apc","baranyi_no_lag",4.9605314589495,NA,1.65008342592712,9.38868872175971,"6","16.2540672574076","18.1936938565596","yes","nls_lm","2"
"S12-0116","apc","gompertz",2.96419501867079,1.81956605080579,1.08923444540373,9.95816430359772,"6","30.094766298879","32.519299547819","yes","nls_lm","3"
"S12-0132","apc","gompertz",3.85016955802344,0,1.54472419645083,9.32499213997823,"6","26.5870600123947","29.0115932613347","yes","nls_lm","1"
"S12-0132","apc","buchanan_no_lag",5.59036555485614,NA,0.558489525324843,9.85353352382206,"6","26.3576157636802","27.9491968548737","yes","nls_lm","2"
"S12-0132","apc","buchanan_no_lag",3.16057919060033,NA,0.634569215388821,9.50711724699009,"6","38.6972673778115","40.6368939769635","yes","nls_lm","3"
"S12-0141","apc","buchanan_no_lag",4.54518494790708,NA,0.758805397878037,9.23981102005255,"6","21.9923340986306","23.9319606977826","yes","nls_lm","1"
"S12-0141","apc","baranyi_no_lag",4.89725326229764,NA,1.48335768844391,9.22439195704862,"6","32.8324851749533","34.7721117741053","yes","nls_lm","2"
"S12-0141","apc","buchanan_no_lag",3.9602261740241,NA,0.581590800844894,9.6204976373447,"6","28.6127081226371","30.5523347217891","yes","nls_lm","3"
"S12-0166","apc","baranyi_no_lag",4.13387972795641,NA,0.524589668710266,9.62661948788561,"6","26.054053968116","28.3138513979621","yes","nls_lm","1"
"S12-0166","apc","buchanan_no_lag",5.62691697482959,NA,0.393331887986806,9.7266417123048,"6","41.1559692575929","43.415766687439","yes","nls_lm","2"
"S12-0166","apc","baranyi_no_lag",4.92634100599534,NA,0.6108851499261,9.60463184621793,"6","34.3985008051071","36.9547301235682","yes","nls_lm","3"
"S12-0180","apc","baranyi_no_lag",3.43479624344765,NA,0.57929873053512,9.92483962113869,"6","35.8382178580156","38.0980152878617","yes","nls_lm","1"
"S12-0180","apc","baranyi_no_lag",5.06311690352106,NA,0.505981343495755,9.6643346468259,"6","33.1185350934164","35.6747644118775","yes","nls_lm","2"
"S12-0180","apc","buchanan_no_lag",5.48291454562461,NA,0.401962298794689,9.63533265313474,"6","47.619867471582","50.1760967900431","yes","nls_lm","3"
"S12-0184","apc","baranyi_no_lag",3.61146060619296,NA,0.653658497033412,9.08014172711401,"6","36.4353326320011","38.9915619504622","yes","nls_lm","1"
"S12-0184","apc","baranyi_no_lag",5.49287163911933,NA,0.490587983742453,9.64882982770352,"6","34.3035216015935","36.8597509200545","yes","nls_lm","2"
"S12-0184","apc","gompertz",4.17418371675665,0,0.880409339842227,9.56114812662019,"6","33.6346691542779","36.0592024032179","yes","nls_lm","3"
