"day","prop_spoiled","adj","param"
1,0,0.4,"b_mumax"
2,0,0.4,"b_mumax"
3,0,0.4,"b_mumax"
4,0,0.4,"b_mumax"
5,0,0.4,"b_mumax"
6,0,0.4,"b_mumax"
7,0,0.4,"b_mumax"
8,0,0.4,"b_mumax"
9,0,0.4,"b_mumax"
10,0.003,0.4,"b_mumax"
11,0.005,0.4,"b_mumax"
12,0.009,0.4,"b_mumax"
13,0.015,0.4,"b_mumax"
14,0.021,0.4,"b_mumax"
15,0.027,0.4,"b_mumax"
16,0.036,0.4,"b_mumax"
17,0.04,0.4,"b_mumax"
18,0.048,0.4,"b_mumax"
19,0.054,0.4,"b_mumax"
20,0.056,0.4,"b_mumax"
21,0.064,0.4,"b_mumax"
22,0.07,0.4,"b_mumax"
1,0,0.6,"b_mumax"
2,0,0.6,"b_mumax"
3,0,0.6,"b_mumax"
4,0,0.6,"b_mumax"
5,0,0.6,"b_mumax"
6,0,0.6,"b_mumax"
7,0.005,0.6,"b_mumax"
8,0.02,0.6,"b_mumax"
9,0.031,0.6,"b_mumax"
10,0.048,0.6,"b_mumax"
11,0.057,0.6,"b_mumax"
12,0.073,0.6,"b_mumax"
13,0.086,0.6,"b_mumax"
14,0.096,0.6,"b_mumax"
15,0.107,0.6,"b_mumax"
16,0.121,0.6,"b_mumax"
17,0.131,0.6,"b_mumax"
18,0.144,0.6,"b_mumax"
19,0.159,0.6,"b_mumax"
20,0.179,0.6,"b_mumax"
21,0.198,0.6,"b_mumax"
22,0.224,0.6,"b_mumax"
1,0,0.8,"b_mumax"
2,0,0.8,"b_mumax"
3,0,0.8,"b_mumax"
4,0,0.8,"b_mumax"
5,0.004,0.8,"b_mumax"
6,0.018,0.8,"b_mumax"
7,0.042,0.8,"b_mumax"
8,0.065,0.8,"b_mumax"
9,0.092,0.8,"b_mumax"
10,0.111,0.8,"b_mumax"
11,0.132,0.8,"b_mumax"
12,0.16,0.8,"b_mumax"
13,0.198,0.8,"b_mumax"
14,0.277,0.8,"b_mumax"
15,0.439,0.8,"b_mumax"
16,0.722,0.8,"b_mumax"
17,0.917,0.8,"b_mumax"
18,0.939,0.8,"b_mumax"
19,0.941,0.8,"b_mumax"
20,0.945,0.8,"b_mumax"
21,0.947,0.8,"b_mumax"
22,0.947,0.8,"b_mumax"
1,0,1,"b_mumax"
2,0,1,"b_mumax"
3,0.001,1,"b_mumax"
4,0.007,1,"b_mumax"
5,0.016,1,"b_mumax"
6,0.058,1,"b_mumax"
7,0.099,1,"b_mumax"
8,0.13,1,"b_mumax"
9,0.181,1,"b_mumax"
10,0.335,1,"b_mumax"
11,0.699,1,"b_mumax"
12,0.937,1,"b_mumax"
13,0.939,1,"b_mumax"
14,0.944,1,"b_mumax"
15,0.947,1,"b_mumax"
16,0.947,1,"b_mumax"
17,0.947,1,"b_mumax"
18,0.948,1,"b_mumax"
19,0.951,1,"b_mumax"
20,0.953,1,"b_mumax"
21,0.954,1,"b_mumax"
22,0.955,1,"b_mumax"
1,0,1.2,"b_mumax"
2,0,1.2,"b_mumax"
3,0.008,1.2,"b_mumax"
4,0.017,1.2,"b_mumax"
5,0.049,1.2,"b_mumax"
6,0.114,1.2,"b_mumax"
7,0.187,1.2,"b_mumax"
8,0.493,1.2,"b_mumax"
9,0.936,1.2,"b_mumax"
10,0.942,1.2,"b_mumax"
11,0.944,1.2,"b_mumax"
12,0.947,1.2,"b_mumax"
13,0.947,1.2,"b_mumax"
14,0.947,1.2,"b_mumax"
15,0.95,1.2,"b_mumax"
16,0.952,1.2,"b_mumax"
17,0.956,1.2,"b_mumax"
18,0.957,1.2,"b_mumax"
19,0.957,1.2,"b_mumax"
20,0.958,1.2,"b_mumax"
21,0.958,1.2,"b_mumax"
22,0.958,1.2,"b_mumax"
1,0,1.4,"b_mumax"
2,0.005,1.4,"b_mumax"
3,0.017,1.4,"b_mumax"
4,0.035,1.4,"b_mumax"
5,0.101,1.4,"b_mumax"
6,0.237,1.4,"b_mumax"
7,0.908,1.4,"b_mumax"
8,0.941,1.4,"b_mumax"
9,0.944,1.4,"b_mumax"
10,0.947,1.4,"b_mumax"
11,0.947,1.4,"b_mumax"
12,0.95,1.4,"b_mumax"
13,0.951,1.4,"b_mumax"
14,0.953,1.4,"b_mumax"
15,0.955,1.4,"b_mumax"
16,0.958,1.4,"b_mumax"
17,0.959,1.4,"b_mumax"
18,0.959,1.4,"b_mumax"
19,0.961,1.4,"b_mumax"
20,0.963,1.4,"b_mumax"
21,0.964,1.4,"b_mumax"
22,0.965,1.4,"b_mumax"
1,0,1.6,"b_mumax"
2,0.01,1.6,"b_mumax"
3,0.03,1.6,"b_mumax"
4,0.057,1.6,"b_mumax"
5,0.208,1.6,"b_mumax"
6,0.929,1.6,"b_mumax"
7,0.941,1.6,"b_mumax"
8,0.946,1.6,"b_mumax"
9,0.947,1.6,"b_mumax"
10,0.95,1.6,"b_mumax"
11,0.951,1.6,"b_mumax"
12,0.954,1.6,"b_mumax"
13,0.956,1.6,"b_mumax"
14,0.958,1.6,"b_mumax"
15,0.959,1.6,"b_mumax"
16,0.962,1.6,"b_mumax"
17,0.962,1.6,"b_mumax"
18,0.966,1.6,"b_mumax"
19,0.967,1.6,"b_mumax"
20,0.969,1.6,"b_mumax"
21,0.97,1.6,"b_mumax"
22,0.971,1.6,"b_mumax"
