"day","prop_spoiled","adj","param"
1,0,0.4,"b_mumax"
2,0,0.4,"b_mumax"
3,0,0.4,"b_mumax"
4,0,0.4,"b_mumax"
5,0,0.4,"b_mumax"
6,0,0.4,"b_mumax"
7,0,0.4,"b_mumax"
8,0,0.4,"b_mumax"
9,0.003,0.4,"b_mumax"
10,0.008,0.4,"b_mumax"
11,0.009,0.4,"b_mumax"
12,0.013,0.4,"b_mumax"
13,0.023,0.4,"b_mumax"
14,0.026,0.4,"b_mumax"
15,0.033,0.4,"b_mumax"
16,0.041,0.4,"b_mumax"
17,0.043,0.4,"b_mumax"
18,0.049,0.4,"b_mumax"
19,0.055,0.4,"b_mumax"
20,0.06,0.4,"b_mumax"
21,0.061,0.4,"b_mumax"
22,0.065,0.4,"b_mumax"
1,0,0.6,"b_mumax"
2,0,0.6,"b_mumax"
3,0,0.6,"b_mumax"
4,0,0.6,"b_mumax"
5,0.002,0.6,"b_mumax"
6,0.009,0.6,"b_mumax"
7,0.016,0.6,"b_mumax"
8,0.03,0.6,"b_mumax"
9,0.045,0.6,"b_mumax"
10,0.058,0.6,"b_mumax"
11,0.067,0.6,"b_mumax"
12,0.084,0.6,"b_mumax"
13,0.094,0.6,"b_mumax"
14,0.1,0.6,"b_mumax"
15,0.109,0.6,"b_mumax"
16,0.117,0.6,"b_mumax"
17,0.131,0.6,"b_mumax"
18,0.138,0.6,"b_mumax"
19,0.15,0.6,"b_mumax"
20,0.154,0.6,"b_mumax"
21,0.166,0.6,"b_mumax"
22,0.175,0.6,"b_mumax"
1,0,0.8,"b_mumax"
2,0,0.8,"b_mumax"
3,0,0.8,"b_mumax"
4,0.008,0.8,"b_mumax"
5,0.024,0.8,"b_mumax"
6,0.039,0.8,"b_mumax"
7,0.058,0.8,"b_mumax"
8,0.073,0.8,"b_mumax"
9,0.091,0.8,"b_mumax"
10,0.108,0.8,"b_mumax"
11,0.127,0.8,"b_mumax"
12,0.15,0.8,"b_mumax"
13,0.167,0.8,"b_mumax"
14,0.186,0.8,"b_mumax"
15,0.198,0.8,"b_mumax"
16,0.211,0.8,"b_mumax"
17,0.224,0.8,"b_mumax"
18,0.235,0.8,"b_mumax"
19,0.249,0.8,"b_mumax"
20,0.259,0.8,"b_mumax"
21,0.271,0.8,"b_mumax"
22,0.286,0.8,"b_mumax"
1,0,1,"b_mumax"
2,0,1,"b_mumax"
3,0.007,1,"b_mumax"
4,0.032,1,"b_mumax"
5,0.053,1,"b_mumax"
6,0.076,1,"b_mumax"
7,0.099,1,"b_mumax"
8,0.124,1,"b_mumax"
9,0.145,1,"b_mumax"
10,0.161,1,"b_mumax"
11,0.19,1,"b_mumax"
12,0.212,1,"b_mumax"
13,0.236,1,"b_mumax"
14,0.258,1,"b_mumax"
15,0.276,1,"b_mumax"
16,0.295,1,"b_mumax"
17,0.314,1,"b_mumax"
18,0.323,1,"b_mumax"
19,0.333,1,"b_mumax"
20,0.347,1,"b_mumax"
21,0.36,1,"b_mumax"
22,0.372,1,"b_mumax"
1,0,1.2,"b_mumax"
2,0.002,1.2,"b_mumax"
3,0.029,1.2,"b_mumax"
4,0.058,1.2,"b_mumax"
5,0.084,1.2,"b_mumax"
6,0.12,1.2,"b_mumax"
7,0.148,1.2,"b_mumax"
8,0.169,1.2,"b_mumax"
9,0.204,1.2,"b_mumax"
10,0.23,1.2,"b_mumax"
11,0.251,1.2,"b_mumax"
12,0.272,1.2,"b_mumax"
13,0.287,1.2,"b_mumax"
14,0.315,1.2,"b_mumax"
15,0.329,1.2,"b_mumax"
16,0.34,1.2,"b_mumax"
17,0.363,1.2,"b_mumax"
18,0.384,1.2,"b_mumax"
19,0.4,1.2,"b_mumax"
20,0.419,1.2,"b_mumax"
21,0.43,1.2,"b_mumax"
22,0.437,1.2,"b_mumax"
1,0,1.4,"b_mumax"
2,0.012,1.4,"b_mumax"
3,0.044,1.4,"b_mumax"
4,0.081,1.4,"b_mumax"
5,0.131,1.4,"b_mumax"
6,0.16,1.4,"b_mumax"
7,0.203,1.4,"b_mumax"
8,0.236,1.4,"b_mumax"
9,0.26,1.4,"b_mumax"
10,0.286,1.4,"b_mumax"
11,0.308,1.4,"b_mumax"
12,0.327,1.4,"b_mumax"
13,0.343,1.4,"b_mumax"
14,0.356,1.4,"b_mumax"
15,0.378,1.4,"b_mumax"
16,0.403,1.4,"b_mumax"
17,0.413,1.4,"b_mumax"
18,0.427,1.4,"b_mumax"
19,0.444,1.4,"b_mumax"
20,0.45,1.4,"b_mumax"
21,0.461,1.4,"b_mumax"
22,0.472,1.4,"b_mumax"
1,0.001,1.6,"b_mumax"
2,0.022,1.6,"b_mumax"
3,0.064,1.6,"b_mumax"
4,0.119,1.6,"b_mumax"
5,0.165,1.6,"b_mumax"
6,0.218,1.6,"b_mumax"
7,0.252,1.6,"b_mumax"
8,0.285,1.6,"b_mumax"
9,0.315,1.6,"b_mumax"
10,0.337,1.6,"b_mumax"
11,0.352,1.6,"b_mumax"
12,0.384,1.6,"b_mumax"
13,0.406,1.6,"b_mumax"
14,0.419,1.6,"b_mumax"
15,0.437,1.6,"b_mumax"
16,0.452,1.6,"b_mumax"
17,0.459,1.6,"b_mumax"
18,0.474,1.6,"b_mumax"
19,0.484,1.6,"b_mumax"
20,0.501,1.6,"b_mumax"
21,0.515,1.6,"b_mumax"
22,0.524,1.6,"b_mumax"
