"isolate","pop","model_type","n0","lag","mumax","nmax","temp","aic","bic","fit","method","rep"
"S12-0116","strain","gompertz",1.75401008929711,2.07241637256689,1.2930326621133,8.46592593226882,"10","17.9879339342061","19.5008593991763","yes","nls_lm","1"
"S12-0141","strain","baranyi_no_lag",3.36021954071823,NA,0.94297422070907,7.84293509989407,"10","36.4919314874161","38.4315580865681","yes","nls_lm","1"
"S12-0166","strain","baranyi_no_lag",1.41166730809438,NA,1.9596753284229,8.00312041158474,"10","17.5302072833045","19.1217883744979","yes","nls_lm","1"
"S12-0180","strain","gompertz",1.9265830576528,6.45138843459347,2.71872605365611,5.4567788373842,"10","19.5694795315803","20.5556024182614","yes","nls_lm","1"
"S12-0184","strain","gompertz",1.69506655851807,6.10515349481478,1.62971114479123,7.3693469740213,"10","15.1106158646855","16.6235413296557","yes","nls_lm","1"
"S12-0116","strain","baranyi",2.87014374331731,4.27864083454206,0.779099412850479,6.76404344800626,"6","10.6386073738401","12.628083737832","yes","nls_lm","1"
"S12-0116","strain","gompertz",2.49600589491864,5.224831821522,0.85601342643103,5.33528774652172,"6","21.3112197988062","23.7357530477462","yes","nls_lm","2"
"S12-0116","strain","buchanan",2.00312650039777,8.66653634848878,1.18375031896482,7.25333800532611,"6","21.5438253959939","23.5333017599858","yes","nls_lm","3"
"S12-0132","strain","baranyi_no_lag",3.54803756835334,NA,0.838725820397968,7.92395364145431,"6","16.186483582845","17.7780646740385","yes","nls_lm","1"
"S12-0132","strain","baranyi_no_lag",3.17978308699132,NA,0.641374305071867,8.14147480412222,"6","13.8978552980214","15.1081956699975","yes","nls_lm","2"
"S12-0132","strain","gompertz",2.00749055530478,6.31180993568522,0.840187254358382,7.38750123350132,"6","36.431002784946","38.4204791489379","yes","nls_lm","3"
"S12-0141","strain","buchanan",3.01370403092689,1.00000040048562,0.794467851677485,8.04521170858125,"6","16.4837631217527","18.4732394857445","yes","nls_lm","1"
"S12-0141","strain","baranyi",3.14201831078834,5.5089183751364,1.3642116929559,7.56763517166324,"6","20.0537422710273","22.0432186350192","yes","nls_lm","2"
"S12-0141","strain","baranyi",2.88739362645866,4.86305920487619,1.15908339427703,6.70534224591658,"6","29.2785072008079","31.7030404497479","yes","nls_lm","3"
"S12-0166","strain","baranyi_no_lag",3.74057708212938,NA,0.50871633019846,8.62596406354266,"6","24.7042038992253","26.9640013290715","yes","nls_lm","1"
"S12-0166","strain","buchanan_no_lag",4.24229515586357,NA,0.392808087590157,8.33656103099199,"6","40.0026385611174","42.2624359909635","yes","nls_lm","2"
"S12-0166","strain","baranyi_no_lag",2.49524185776476,NA,0.798966331742613,8.67503642256717,"6","40.0603784392864","42.3201758691326","yes","nls_lm","3"
"S12-0180","strain","baranyi",2.40521703307398,9.21652156732934,0.482603067407764,6.16379326691288,"6","42.1451331086422","44.9698798959499","yes","nls_lm","1"
"S12-0180","strain","buchanan_no_lag",2,NA,0.21046706092566,4.3201462859743,"6","44.3205349408037","46.5803323706498","yes","nls_lm","2"
"S12-0180","strain","gompertz",2.02680459242606,18.9347233330685,1.06930084454739,6.31555893462078,"6","34.4210458787529","37.6163325268292","yes","nls_lm","3"
"S12-0184","strain","buchanan",2.79120259691587,15.7614409226953,1.23616549901524,5.71766100347894,"6","30.2797687915569","33.1045155788646","yes","nls_lm","1"
"S12-0184","strain","buchanan",2.58795664593641,2.00000087798737,0.391812942209919,6.83561209024184,"6","45.7211667859273","48.545913573235","yes","nls_lm","2"
"S12-0184","strain","gompertz",2.1826519407174,0,0.434854693631261,7.14469895030024,"6","43.458846911202","45.4483232751938","yes","nls_lm","3"
"S12-0132","strain","buchanan",1.85921179733218,2.11649406417784,1.12453445466506,8.41037939916461,"10","34.0641718204658","36.0536481844577","yes","nls_lm","1"
