"day","prop_spoiled","adj","param"
1,0,0.4,"mumax"
2,0,0.4,"mumax"
3,0,0.4,"mumax"
4,0,0.4,"mumax"
5,0,0.4,"mumax"
6,0,0.4,"mumax"
7,0.011,0.4,"mumax"
8,0.024,0.4,"mumax"
9,0.04,0.4,"mumax"
10,0.055,0.4,"mumax"
11,0.07,0.4,"mumax"
12,0.086,0.4,"mumax"
13,0.096,0.4,"mumax"
14,0.108,0.4,"mumax"
15,0.123,0.4,"mumax"
16,0.138,0.4,"mumax"
17,0.154,0.4,"mumax"
18,0.172,0.4,"mumax"
19,0.194,0.4,"mumax"
20,0.223,0.4,"mumax"
21,0.275,0.4,"mumax"
22,0.365,0.4,"mumax"
1,0,0.6,"mumax"
2,0,0.6,"mumax"
3,0,0.6,"mumax"
4,0,0.6,"mumax"
5,0.002,0.6,"mumax"
6,0.014,0.6,"mumax"
7,0.039,0.6,"mumax"
8,0.059,0.6,"mumax"
9,0.083,0.6,"mumax"
10,0.102,0.6,"mumax"
11,0.124,0.6,"mumax"
12,0.143,0.6,"mumax"
13,0.174,0.6,"mumax"
14,0.213,0.6,"mumax"
15,0.302,0.6,"mumax"
16,0.466,0.6,"mumax"
17,0.753,0.6,"mumax"
18,0.92,0.6,"mumax"
19,0.939,0.6,"mumax"
20,0.941,0.6,"mumax"
21,0.945,0.6,"mumax"
22,0.947,0.6,"mumax"
1,0,0.8,"mumax"
2,0,0.8,"mumax"
3,0,0.8,"mumax"
4,0.003,0.8,"mumax"
5,0.007,0.8,"mumax"
6,0.033,0.8,"mumax"
7,0.065,0.8,"mumax"
8,0.095,0.8,"mumax"
9,0.124,0.8,"mumax"
10,0.156,0.8,"mumax"
11,0.21,0.8,"mumax"
12,0.338,0.8,"mumax"
13,0.626,0.8,"mumax"
14,0.915,0.8,"mumax"
15,0.939,0.8,"mumax"
16,0.942,0.8,"mumax"
17,0.946,0.8,"mumax"
18,0.947,0.8,"mumax"
19,0.947,0.8,"mumax"
20,0.948,0.8,"mumax"
21,0.948,0.8,"mumax"
22,0.949,0.8,"mumax"
1,0,1,"mumax"
2,0,1,"mumax"
3,0.001,1,"mumax"
4,0.007,1,"mumax"
5,0.016,1,"mumax"
6,0.058,1,"mumax"
7,0.099,1,"mumax"
8,0.13,1,"mumax"
9,0.181,1,"mumax"
10,0.335,1,"mumax"
11,0.699,1,"mumax"
12,0.937,1,"mumax"
13,0.939,1,"mumax"
14,0.944,1,"mumax"
15,0.947,1,"mumax"
16,0.947,1,"mumax"
17,0.947,1,"mumax"
18,0.948,1,"mumax"
19,0.951,1,"mumax"
20,0.953,1,"mumax"
21,0.954,1,"mumax"
22,0.955,1,"mumax"
1,0,1.2,"mumax"
2,0,1.2,"mumax"
3,0.005,1.2,"mumax"
4,0.01,1.2,"mumax"
5,0.033,1.2,"mumax"
6,0.081,1.2,"mumax"
7,0.128,1.2,"mumax"
8,0.2,1.2,"mumax"
9,0.421,1.2,"mumax"
10,0.902,1.2,"mumax"
11,0.939,1.2,"mumax"
12,0.944,1.2,"mumax"
13,0.947,1.2,"mumax"
14,0.947,1.2,"mumax"
15,0.947,1.2,"mumax"
16,0.947,1.2,"mumax"
17,0.951,1.2,"mumax"
18,0.953,1.2,"mumax"
19,0.955,1.2,"mumax"
20,0.956,1.2,"mumax"
21,0.957,1.2,"mumax"
22,0.957,1.2,"mumax"
1,0,1.4,"mumax"
2,0,1.4,"mumax"
3,0.007,1.4,"mumax"
4,0.016,1.4,"mumax"
5,0.046,1.4,"mumax"
6,0.107,1.4,"mumax"
7,0.172,1.4,"mumax"
8,0.414,1.4,"mumax"
9,0.925,1.4,"mumax"
10,0.94,1.4,"mumax"
11,0.944,1.4,"mumax"
12,0.947,1.4,"mumax"
13,0.947,1.4,"mumax"
14,0.947,1.4,"mumax"
15,0.95,1.4,"mumax"
16,0.952,1.4,"mumax"
17,0.954,1.4,"mumax"
18,0.956,1.4,"mumax"
19,0.957,1.4,"mumax"
20,0.958,1.4,"mumax"
21,0.958,1.4,"mumax"
22,0.958,1.4,"mumax"
1,0,1.6,"mumax"
2,0.001,1.6,"mumax"
3,0.01,1.6,"mumax"
4,0.022,1.6,"mumax"
5,0.066,1.6,"mumax"
6,0.134,1.6,"mumax"
7,0.305,1.6,"mumax"
8,0.883,1.6,"mumax"
9,0.939,1.6,"mumax"
10,0.944,1.6,"mumax"
11,0.947,1.6,"mumax"
12,0.947,1.6,"mumax"
13,0.947,1.6,"mumax"
14,0.95,1.6,"mumax"
15,0.951,1.6,"mumax"
16,0.954,1.6,"mumax"
17,0.957,1.6,"mumax"
18,0.958,1.6,"mumax"
19,0.958,1.6,"mumax"
20,0.958,1.6,"mumax"
21,0.959,1.6,"mumax"
22,0.961,1.6,"mumax"
