"isolate","rep","b_mu","temp_min_mu"
"S12-0116","1",-0.157224653044063,19.1562546440111
"S12-0116","2",-0.21155003575072,16.8049572975921
"S12-0116","3",-0.376077298915755,13.8279070918083
"S12-0132","1",0.363704384096638,6
"S12-0132","2",0.363704384096638,6
"S12-0132","3",-0.264378509302255,15.5027828858937
"S12-0141","1",-0.250000050060698,10
"S12-0141","2",-0.586777128427843,10
"S12-0141","3",-0.551308625276952,10
"S12-0166","1",0,NA
"S12-0166","2",0,NA
"S12-0166","3",0,NA
"S12-0180","1",-0.123978525695867,30.4870830546558
"S12-0180","2",0.63498958823125,6
"S12-0180","3",-0.452861600266875,15.6086856369102
"S12-0184","1",-0.374801811096027,16.5924464828223
"S12-0184","2",0.264161752131735,0.646409401148975
"S12-0184","3",0.617715220328854,6
