"day","mean","sd_total_count","mode","median","adj","param"
1,2.21835977681819,0.11290935778245,"2.3",2.2202614269658,0.4,"n0"
2,2.3136942864352,0.217206067951562,"2.3",2.2819749618638,0.4,"n0"
3,2.49551009367629,0.567411537504423,"2.3",2.3365071572567,0.4,"n0"
4,2.71418414464788,0.899278306034954,"2.3",2.39375473631527,0.4,"n0"
5,2.94759809697825,1.14527910282551,"2.4",2.49198695683793,0.4,"n0"
6,3.20380922403941,1.310417220369,"2.5",2.67427103481667,0.4,"n0"
7,3.50349515491252,1.40457649382917,"2.8",2.9645167665039,0.4,"n0"
8,3.857198038271,1.44031954198268,"3.2",3.37626866155666,0.4,"n0"
9,4.24734400891426,1.44213524430701,"3.7",3.86326656261184,0.4,"n0"
10,4.6437312243749,1.4349388126583,"4.3",4.36921973180108,0.4,"n0"
11,5.02377984435957,1.43185944088609,"4.7",4.86585396928952,0.4,"n0"
12,5.37357410330204,1.4379052110273,"5.2",5.32506077547749,0.4,"n0"
13,5.68706497933714,1.45082139953004,"5.6",5.73375295577642,0.4,"n0"
14,5.96212650899922,1.46727403383698,"6",6.09818714387354,0.4,"n0"
15,6.19874159766622,1.48470966132167,"6.3",6.40428375332556,0.4,"n0"
16,6.39967612280487,1.50103915631948,"6.6",6.6634179479886,0.4,"n0"
17,6.56883760601617,1.5147642718671,"6.8",6.87611822277833,0.4,"n0"
18,6.71052108261398,1.5250096945829,"7",7.04957062559648,0.4,"n0"
19,6.82896932545759,1.53152128961599,"7.2",7.19258777606145,0.4,"n0"
20,6.92805642108899,1.53447972033145,"7.3",7.30655393350214,0.4,"n0"
21,7.01115807495527,1.53428824685594,"7.4",7.3972330189102,0.4,"n0"
22,7.08113903472112,1.53142807397688,"7.5",7.47049329896041,0.4,"n0"
1,3.18327062599717,0.10509410518952,"3.2",3.18421609941423,0.6,"n0"
2,3.27379973777181,0.218497459347715,"3.2",3.23709844252269,0.6,"n0"
3,3.4524328917395,0.559817651877136,"3.3",3.29171146250387,0.6,"n0"
4,3.66086684386057,0.857591987251968,"3.3",3.34592751551954,0.6,"n0"
5,3.88064961452849,1.06421259311231,"3.3",3.44280691269413,0.6,"n0"
6,4.12585738992317,1.19289396772789,"3.5",3.63017623910453,0.6,"n0"
7,4.42087732335396,1.25381043356473,"3.8",3.93729793314586,0.6,"n0"
8,4.77215309505799,1.26174378190071,"4.2",4.37590878050235,0.6,"n0"
9,5.15097436773547,1.247045293419,"4.7",4.86593030700754,0.6,"n0"
10,5.52039437819366,1.2353662703337,"5.3",5.35030587449525,0.6,"n0"
11,5.85804676707072,1.23465603283331,"5.7",5.80760065033569,0.6,"n0"
12,6.15351838321423,1.24449442356892,"6.1",6.1972534350431,0.6,"n0"
13,6.40542793552423,1.25796091793301,"6.4",6.52670642406866,0.6,"n0"
14,6.61558893326911,1.27112118882335,"6.7",6.79421952761779,0.6,"n0"
15,6.78810313897009,1.28244711889336,"7",7.01220454477564,0.6,"n0"
16,6.92841970081314,1.29085763493913,"7.2",7.18377886152943,0.6,"n0"
17,7.04206822044459,1.29571836737288,"7.3",7.31788093628381,0.6,"n0"
18,7.13419832435006,1.29698750521795,"7.4",7.42176813304227,0.6,"n0"
19,7.2092513127418,1.29507340504756,"7.5",7.50169476121205,0.6,"n0"
20,7.27085357274025,1.29056755835689,"7.6",7.56235259765901,0.6,"n0"
21,7.32189828423709,1.28406299256545,"7.6",7.60831304728124,0.6,"n0"
22,7.36468090315513,1.27607085685209,"7.6",7.64349989303147,0.6,"n0"
1,4.1518851630827,0.0999077353404382,"4.1",4.1465157675064,0.8,"n0"
2,4.23755502310167,0.22074879087638,"4.2",4.20037259968577,0.8,"n0"
3,4.41085755612246,0.541587585053015,"4.2",4.2472923305064,0.8,"n0"
4,4.60414628189157,0.795727994968465,"4.2",4.29892982874293,0.8,"n0"
5,4.80623153512159,0.959347883252156,"4.3",4.39652598370676,0.8,"n0"
6,5.03871431586316,1.05090579434945,"4.4",4.59097512703966,0.8,"n0"
7,5.32867311222914,1.07859716135134,"4.8",4.92416145460877,0.8,"n0"
8,5.672087498855,1.06224746108832,"5.2",5.37865907236173,0.8,"n0"
