"isolate","rep","b_mu","temp_min_mu"
"S12-0116","1",0.0636124645460698,-7.87567811753439
"S12-0116","2",0.0529765010197564,-11.4645346257306
"S12-0116","3",0.0122782591391121,-82.6121470157241
"S12-0132","1",0.0361552339174945,-19.3302123646982
"S12-0132","2",0.0648955522107588,-6.34072987701067
"S12-0132","3",0.0359558499923176,-19.4928555192556
"S12-0141","1",0.0199348340582205,-38.7121485179205
"S12-0141","2",-0.0492315335593918,29.7245246515155
"S12-0141","3",-0.0263846891213794,46.8042463133395
"S12-0166","1",0.171660128271961,1.84502507859499
"S12-0166","2",0.193285001080552,2.75740987020712
"S12-0166","3",0.12650871874006,-1.06551433770643
"S12-0180","1",0.238539899560766,3.08771410429175
"S12-0180","2",0.297522272897866,4.45804185603419
"S12-0180","3",0.153696486196485,-0.728000516483196
"S12-0184","1",0.0411929015887602,-20.9908104260883
"S12-0184","2",0.162662942927772,2.15186089062318
"S12-0184","3",0.154291567949658,1.72604555775657
