"day","prop_spoiled","adj","param"
1,0,0.4,"nmax"
2,0,0.4,"nmax"
3,0,0.4,"nmax"
4,0,0.4,"nmax"
5,0,0.4,"nmax"
6,0,0.4,"nmax"
7,0,0.4,"nmax"
8,0,0.4,"nmax"
9,0,0.4,"nmax"
10,0,0.4,"nmax"
11,0,0.4,"nmax"
12,0,0.4,"nmax"
13,0,0.4,"nmax"
14,0,0.4,"nmax"
15,0,0.4,"nmax"
16,0,0.4,"nmax"
17,0,0.4,"nmax"
18,0,0.4,"nmax"
19,0,0.4,"nmax"
20,0,0.4,"nmax"
21,0,0.4,"nmax"
22,0,0.4,"nmax"
1,0,0.6,"nmax"
2,0,0.6,"nmax"
3,0,0.6,"nmax"
4,0,0.6,"nmax"
5,0,0.6,"nmax"
6,0,0.6,"nmax"
7,0,0.6,"nmax"
8,0,0.6,"nmax"
9,0,0.6,"nmax"
10,0,0.6,"nmax"
11,0,0.6,"nmax"
12,0,0.6,"nmax"
13,0,0.6,"nmax"
14,0,0.6,"nmax"
15,0,0.6,"nmax"
16,0,0.6,"nmax"
17,0,0.6,"nmax"
18,0,0.6,"nmax"
19,0,0.6,"nmax"
20,0,0.6,"nmax"
21,0,0.6,"nmax"
22,0,0.6,"nmax"
1,0,0.8,"nmax"
2,0,0.8,"nmax"
3,0,0.8,"nmax"
4,0,0.8,"nmax"
5,0,0.8,"nmax"
6,0,0.8,"nmax"
7,0,0.8,"nmax"
8,0,0.8,"nmax"
9,0,0.8,"nmax"
10,0,0.8,"nmax"
11,0,0.8,"nmax"
12,0,0.8,"nmax"
13,0,0.8,"nmax"
14,0,0.8,"nmax"
15,0,0.8,"nmax"
16,0,0.8,"nmax"
17,0,0.8,"nmax"
18,0,0.8,"nmax"
19,0,0.8,"nmax"
20,0,0.8,"nmax"
21,0,0.8,"nmax"
22,0,0.8,"nmax"
1,0,1,"nmax"
2,0,1,"nmax"
3,0,1,"nmax"
4,0.006,1,"nmax"
5,0.015,1,"nmax"
6,0.029,1,"nmax"
7,0.064,1,"nmax"
8,0.149,1,"nmax"
9,0.188,1,"nmax"
10,0.243,1,"nmax"
11,0.284,1,"nmax"
12,0.319,1,"nmax"
13,0.356,1,"nmax"
14,0.392,1,"nmax"
15,0.431,1,"nmax"
16,0.488,1,"nmax"
17,0.546,1,"nmax"
18,0.609,1,"nmax"
19,0.69,1,"nmax"
20,0.759,1,"nmax"
21,0.822,1,"nmax"
22,0.867,1,"nmax"
1,0,1.2,"nmax"
2,0,1.2,"nmax"
3,0,1.2,"nmax"
4,0.01,1.2,"nmax"
5,0.022,1.2,"nmax"
6,0.033,1.2,"nmax"
7,0.118,1.2,"nmax"
8,0.198,1.2,"nmax"
9,0.241,1.2,"nmax"
10,0.292,1.2,"nmax"
11,0.34,1.2,"nmax"
12,0.384,1.2,"nmax"
13,0.445,1.2,"nmax"
14,0.513,1.2,"nmax"
15,0.598,1.2,"nmax"
16,0.676,1.2,"nmax"
17,0.75,1.2,"nmax"
18,0.816,1.2,"nmax"
19,0.865,1.2,"nmax"
20,0.899,1.2,"nmax"
21,0.937,1.2,"nmax"
22,0.961,1.2,"nmax"
1,0,1.4,"nmax"
2,0,1.4,"nmax"
3,0,1.4,"nmax"
4,0.01,1.4,"nmax"
5,0.022,1.4,"nmax"
6,0.039,1.4,"nmax"
7,0.123,1.4,"nmax"
8,0.199,1.4,"nmax"
9,0.242,1.4,"nmax"
10,0.298,1.4,"nmax"
11,0.346,1.4,"nmax"
12,0.392,1.4,"nmax"
13,0.457,1.4,"nmax"
14,0.532,1.4,"nmax"
15,0.61,1.4,"nmax"
16,0.692,1.4,"nmax"
17,0.765,1.4,"nmax"
18,0.83,1.4,"nmax"
19,0.874,1.4,"nmax"
20,0.908,1.4,"nmax"
21,0.947,1.4,"nmax"
22,0.962,1.4,"nmax"
1,0,1.6,"nmax"
2,0,1.6,"nmax"
3,0,1.6,"nmax"
4,0.01,1.6,"nmax"
5,0.022,1.6,"nmax"
6,0.04,1.6,"nmax"
7,0.123,1.6,"nmax"
8,0.199,1.6,"nmax"
9,0.243,1.6,"nmax"
10,0.298,1.6,"nmax"
11,0.348,1.6,"nmax"
12,0.393,1.6,"nmax"
13,0.461,1.6,"nmax"
14,0.533,1.6,"nmax"
15,0.612,1.6,"nmax"
16,0.695,1.6,"nmax"
17,0.769,1.6,"nmax"
18,0.833,1.6,"nmax"
19,0.874,1.6,"nmax"
20,0.91,1.6,"nmax"
21,0.947,1.6,"nmax"
22,0.962,1.6,"nmax"
