"day","mean","sd_total_count","mode","median","adj","param"
1,5.21229224729589,0.16214051821946,"5.2",5.19122091077875,0.4,"lag"
2,5.43563084516818,0.496458142114359,"5.3",5.28604944581792,0.4,"lag"
3,5.71254468885392,0.683869355835795,"5.4",5.46379066978242,0.4,"lag"
4,6.04927201780768,0.751733898473261,"5.8",5.80724507004504,0.4,"lag"
5,6.41697268478957,0.761665720067848,"6.2",6.25490878225598,0.4,"lag"
6,6.7520741123874,0.762023925315236,"6.6",6.67824601875605,0.4,"lag"
7,7.02130865958563,0.766406001761445,"7",7.02524736308833,0.4,"lag"
8,7.22374836129869,0.771991690709475,"7.2",7.27535675283086,0.4,"lag"
9,7.37157895290765,0.775040316457085,"7.4",7.44692573551354,0.4,"lag"
10,7.47894649004252,0.774705349514311,"7.5",7.56116210318123,0.4,"lag"
11,7.5577696203624,0.771585205612408,"7.6",7.63368650030752,0.4,"lag"
12,7.61695592779725,0.766550491269998,"7.7",7.68153362728057,0.4,"lag"
13,7.66276649463304,0.760344135100304,"7.7",7.71099093089146,0.4,"lag"
14,7.69945255493036,0.753495861990763,"7.7",7.73134329706786,0.4,"lag"
15,7.72984950671827,0.746348824476564,"7.7",7.74726230617143,0.4,"lag"
16,7.75583424462776,0.739113330664234,"7.7",7.75722251111212,0.4,"lag"
17,7.77864840696053,0.731914407373196,"7.7",7.76375736680318,0.4,"lag"
18,7.79911756904437,0.724825376588057,"7.7",7.76924394884924,0.4,"lag"
19,7.8177963929491,0.717889177039451,"7.7",7.77626448989778,0.4,"lag"
20,7.83506318779317,0.711131186890418,"7.8",7.78245246376284,0.4,"lag"
21,7.85118082313825,0.704566679819209,"7.8",7.79119892407394,0.4,"lag"
22,7.86633577469993,0.698204989307425,"7.8",7.80332940597013,0.4,"lag"
1,5.16348987886273,0.11830009763321,"5.1",5.15109543959516,0.6,"lag"
2,5.33531213172533,0.426014087590035,"5.2",5.21890322460812,0.6,"lag"
3,5.55444626461757,0.668067735212572,"5.3",5.30735705070765,0.6,"lag"
4,5.80834144454571,0.788501665766053,"5.4",5.49261948560842,0.6,"lag"
5,6.12384409712998,0.8194314761771,"5.8",5.83683346712096,0.6,"lag"
6,6.4722679192781,0.807682055013866,"6.2",6.28281433106068,0.6,"lag"
7,6.7892585300517,0.798772520647933,"6.6",6.70635006331884,0.6,"lag"
8,7.04355244592572,0.800373654314977,"7",7.0398814303019,0.6,"lag"
9,7.2353808760564,0.803590698069795,"7.2",7.28504450493649,0.6,"lag"
10,7.37645355845571,0.803866252569854,"7.4",7.45088936621021,0.6,"lag"
11,7.47968864660747,0.800251659462977,"7.5",7.56192010725143,0.6,"lag"
12,7.55609586881864,0.79384975382231,"7.6",7.63634022576502,0.6,"lag"
13,7.61390823961942,0.786095739799778,"7.7",7.68165764933812,0.6,"lag"
14,7.65892460520441,0.777897607974431,"7.7",7.71114022676875,0.6,"lag"
15,7.69513521720288,0.769690774564375,"7.7",7.73099263245487,0.6,"lag"
16,7.72523190873784,0.761654498437938,"7.7",7.74689725015729,0.6,"lag"
17,7.75101105154153,0.753845721512966,"7.7",7.75703136001207,0.6,"lag"
18,7.77367202845226,0.746268169575147,"7.7",7.76323184608858,0.6,"lag"
19,7.79402115613173,0.738907290266155,"7.7",7.76845571250384,0.6,"lag"
20,7.81260603470035,0.731746578316858,"7.7",7.77363395448565,0.6,"lag"
21,7.82980335008862,0.724773951357691,"7.7",7.78200047010415,0.6,"lag"
22,7.84587615811144,0.717983189627143,"7.8",7.78923800580626,0.6,"lag"
1,5.14060463934293,0.116970333659107,"5.1",5.12842163550758,0.8,"lag"
2,5.27027090806151,0.350997374596613,"5.2",5.19162368202857,0.8,"lag"
3,5.46110375891359,0.623819319104993,"5.2",5.24754357281969,0.8,"lag"
4,5.66198469693245,0.789920436314455,"5.3",5.33268480679359,0.8,"lag"
5,5.89678063906117,0.867770926108393,"5.4",5.53582895556265,0.8,"lag"
6,6.19438723330008,0.873013162903083,"5.8",5.87906812976681,0.8,"lag"
7,6.52662627389745,0.843694331021028,"6.2",6.31393304230907,0.8,"lag"
8,6.8299693444745,0.823383018997937,"6.7",6.72931906610962,0.8,"lag"
9,7.07209400782559,0.821385101660603,"7",7.05610559355763,0.8,"lag"
10,7.25306755122381,0.827107696585489,"7.3",7.29528476524187,0.8,"lag"
11,7.38551544425265,0.829841359168966,"7.4",7.45818310760606,0.8,"lag"
12,7.48295722981216,0.827149218923849,"7.5",7.56643868886156,0.8,"lag"
13,7.55575202315723,0.819748410782787,"7.6",7.63732383488202,0.8,"lag"
14,7.61148294967455,0.80945749273424,"7.7",7.68258841523592,0.8,"lag"
15,7.6554565293514,0.798281934910923,"7.7",7.71081779590517,0.8,"lag"
16,7.69119967087678,0.787464004913037,"7.7",7.73089707864269,0.8,"lag"
17,7.72110214569477,0.777446648706706,"7.7",7.74710298261485,0.8,"lag"
