day,prop_spoiled,adj,param
1,0,0.4,lag
2,0.002,0.4,lag
3,0.019,0.4,lag
4,0.044,0.4,lag
5,0.065,0.4,lag
6,0.084,0.4,lag
7,0.108,0.4,lag
8,0.131,0.4,lag
9,0.162,0.4,lag
10,0.186,0.4,lag
11,0.209,0.4,lag
12,0.236,0.4,lag
13,0.252,0.4,lag
14,0.267,0.4,lag
15,0.284,0.4,lag
16,0.305,0.4,lag
17,0.32,0.4,lag
18,0.339,0.4,lag
19,0.35,0.4,lag
20,0.365,0.4,lag
21,0.38,0.4,lag
22,0.386,0.4,lag
1,0,0.6,lag
2,0.001,0.6,lag
3,0.011,0.6,lag
4,0.036,0.6,lag
5,0.058,0.6,lag
6,0.08,0.6,lag
7,0.101,0.6,lag
8,0.119,0.6,lag
9,0.145,0.6,lag
10,0.171,0.6,lag
11,0.195,0.6,lag
12,0.225,0.6,lag
13,0.242,0.6,lag
14,0.257,0.6,lag
15,0.276,0.6,lag
16,0.29,0.6,lag
17,0.306,0.6,lag
18,0.323,0.6,lag
19,0.342,0.6,lag
20,0.349,0.6,lag
21,0.365,0.6,lag
22,0.378,0.6,lag
1,0,0.8,lag
2,0,0.8,lag
3,0.008,0.8,lag
4,0.026,0.8,lag
5,0.048,0.8,lag
6,0.073,0.8,lag
7,0.094,0.8,lag
8,0.112,0.8,lag
9,0.133,0.8,lag
10,0.163,0.8,lag
11,0.187,0.8,lag
12,0.212,0.8,lag
13,0.235,0.8,lag
14,0.248,0.8,lag
15,0.261,0.8,lag
16,0.285,0.8,lag
17,0.3,0.8,lag
18,0.31,0.8,lag
19,0.332,0.8,lag
20,0.345,0.8,lag
21,0.356,0.8,lag
22,0.369,0.8,lag
1,0,1,lag
2,0,1,lag
3,0.003,1,lag
4,0.022,1,lag
5,0.043,1,lag
6,0.066,1,lag
7,0.085,1,lag
8,0.106,1,lag
9,0.124,1,lag
10,0.155,1,lag
11,0.176,1,lag
12,0.199,1,lag
13,0.227,1,lag
14,0.245,1,lag
15,0.256,1,lag
16,0.277,1,lag
17,0.295,1,lag
18,0.304,1,lag
19,0.32,1,lag
20,0.337,1,lag
21,0.349,1,lag
22,0.362,1,lag
1,0,1.2,lag
2,0,1.2,lag
3,0.002,1.2,lag
4,0.015,1.2,lag
5,0.037,1.2,lag
6,0.061,1.2,lag
7,0.082,1.2,lag
8,0.101,1.2,lag
9,0.116,1.2,lag
10,0.142,1.2,lag
11,0.165,1.2,lag
12,0.191,1.2,lag
13,0.215,1.2,lag
14,0.236,1.2,lag
15,0.249,1.2,lag
16,0.263,1.2,lag
17,0.289,1.2,lag
18,0.3,1.2,lag
19,0.311,1.2,lag
20,0.33,1.2,lag
21,0.344,1.2,lag
22,0.353,1.2,lag
1,0,1.4,lag
2,0,1.4,lag
3,0.001,1.4,lag
4,0.012,1.4,lag
5,0.028,1.4,lag
6,0.054,1.4,lag
7,0.079,1.4,lag
8,0.095,1.4,lag
9,0.112,1.4,lag
10,0.132,1.4,lag
11,0.159,1.4,lag
12,0.179,1.4,lag
13,0.205,1.4,lag
14,0.23,1.4,lag
15,0.245,1.4,lag
16,0.256,1.4,lag
17,0.279,1.4,lag
18,0.295,1.4,lag
19,0.308,1.4,lag
20,0.319,1.4,lag
21,0.337,1.4,lag
22,0.351,1.4,lag
1,0,1.6,lag
2,0,1.6,lag
3,0,1.6,lag
4,0.008,1.6,lag
5,0.025,1.6,lag
6,0.047,1.6,lag
7,0.069,1.6,lag
8,0.09,1.6,lag
9,0.107,1.6,lag
10,0.124,1.6,lag
11,0.146,1.6,lag
12,0.171,1.6,lag
13,0.198,1.6,lag
14,0.215,1.6,lag
15,0.235,1.6,lag
16,0.249,1.6,lag
17,0.267,1.6,lag
18,0.29,1.6,lag
19,0.302,1.6,lag
20,0.313,1.6,lag
21,0.33,1.6,lag
22,0.347,1.6,lag
