"day","prop_fail","adj","param"
1,0,0.4,"b_lag"
2,0,0.4,"b_lag"
3,0,0.4,"b_lag"
4,0,0.4,"b_lag"
5,1e-04,0.4,"b_lag"
6,8e-04,0.4,"b_lag"
7,0.0016,0.4,"b_lag"
8,0.0032,0.4,"b_lag"
9,0.0053,0.4,"b_lag"
10,0.0121,0.4,"b_lag"
11,0.0275,0.4,"b_lag"
12,0.0691,0.4,"b_lag"
13,0.131,0.4,"b_lag"
14,0.237,0.4,"b_lag"
15,0.3758,0.4,"b_lag"
16,0.4898,0.4,"b_lag"
17,0.5778,0.4,"b_lag"
18,0.6396,0.4,"b_lag"
19,0.6828,0.4,"b_lag"
20,0.7113,0.4,"b_lag"
21,0.7358,0.4,"b_lag"
22,0.7521,0.4,"b_lag"
1,0,0.6,"b_lag"
2,0,0.6,"b_lag"
3,0,0.6,"b_lag"
4,0,0.6,"b_lag"
5,1e-04,0.6,"b_lag"
6,7e-04,0.6,"b_lag"
7,0.0012,0.6,"b_lag"
8,0.0026,0.6,"b_lag"
9,0.0044,0.6,"b_lag"
10,0.0101,0.6,"b_lag"
11,0.024,0.6,"b_lag"
12,0.0628,0.6,"b_lag"
13,0.1185,0.6,"b_lag"
14,0.2097,0.6,"b_lag"
15,0.3248,0.6,"b_lag"
16,0.4256,0.6,"b_lag"
17,0.5111,0.6,"b_lag"
18,0.5776,0.6,"b_lag"
19,0.6271,0.6,"b_lag"
20,0.6704,0.6,"b_lag"
21,0.7008,0.6,"b_lag"
22,0.7246,0.6,"b_lag"
1,0,0.8,"b_lag"
2,0,0.8,"b_lag"
3,0,0.8,"b_lag"
4,0,0.8,"b_lag"
5,1e-04,0.8,"b_lag"
6,6e-04,0.8,"b_lag"
7,0.001,0.8,"b_lag"
8,0.0023,0.8,"b_lag"
9,0.0034,0.8,"b_lag"
10,0.0083,0.8,"b_lag"
11,0.0215,0.8,"b_lag"
12,0.0578,0.8,"b_lag"
13,0.1076,0.8,"b_lag"
14,0.1841,0.8,"b_lag"
15,0.2849,0.8,"b_lag"
16,0.3771,0.8,"b_lag"
17,0.4473,0.8,"b_lag"
18,0.5136,0.8,"b_lag"
19,0.5642,0.8,"b_lag"
20,0.6072,0.8,"b_lag"
21,0.646,0.8,"b_lag"
22,0.6774,0.8,"b_lag"
1,0,1,"b_lag"
2,0,1,"b_lag"
3,0,1,"b_lag"
4,0,1,"b_lag"
5,1e-04,1,"b_lag"
6,5e-04,1,"b_lag"
7,9e-04,1,"b_lag"
8,0.0018,1,"b_lag"
9,0.0031,1,"b_lag"
10,0.0075,1,"b_lag"
11,0.02,1,"b_lag"
12,0.0537,1,"b_lag"
13,0.0975,1,"b_lag"
14,0.1647,1,"b_lag"
15,0.2503,1,"b_lag"
16,0.3317,1,"b_lag"
17,0.4012,1,"b_lag"
18,0.4583,1,"b_lag"
19,0.5049,1,"b_lag"
20,0.5487,1,"b_lag"
21,0.5849,1,"b_lag"
22,0.6171,1,"b_lag"
1,0,1.2,"b_lag"
2,0,1.2,"b_lag"
3,0,1.2,"b_lag"
4,0,1.2,"b_lag"
5,1e-04,1.2,"b_lag"
6,5e-04,1.2,"b_lag"
7,8e-04,1.2,"b_lag"
8,0.0018,1.2,"b_lag"
9,0.0026,1.2,"b_lag"
10,0.0067,1.2,"b_lag"
11,0.0187,1.2,"b_lag"
12,0.0507,1.2,"b_lag"
13,0.0905,1.2,"b_lag"
14,0.1501,1.2,"b_lag"
15,0.2245,1.2,"b_lag"
16,0.2961,1.2,"b_lag"
17,0.3601,1.2,"b_lag"
18,0.4136,1.2,"b_lag"
19,0.4598,1.2,"b_lag"
20,0.4976,1.2,"b_lag"
21,0.5327,1.2,"b_lag"
22,0.5675,1.2,"b_lag"
1,0,1.4,"b_lag"
2,0,1.4,"b_lag"
3,0,1.4,"b_lag"
4,0,1.4,"b_lag"
5,1e-04,1.4,"b_lag"
6,5e-04,1.4,"b_lag"
7,8e-04,1.4,"b_lag"
8,0.0017,1.4,"b_lag"
9,0.0025,1.4,"b_lag"
10,0.0062,1.4,"b_lag"
11,0.0176,1.4,"b_lag"
12,0.0482,1.4,"b_lag"
13,0.0853,1.4,"b_lag"
14,0.1387,1.4,"b_lag"
15,0.2027,1.4,"b_lag"
16,0.2678,1.4,"b_lag"
17,0.325,1.4,"b_lag"
18,0.3768,1.4,"b_lag"
19,0.4189,1.4,"b_lag"
20,0.4576,1.4,"b_lag"
21,0.4911,1.4,"b_lag"
22,0.52,1.4,"b_lag"
1,0,1.6,"b_lag"
2,0,1.6,"b_lag"
3,0,1.6,"b_lag"
4,0,1.6,"b_lag"
5,1e-04,1.6,"b_lag"
6,5e-04,1.6,"b_lag"
7,8e-04,1.6,"b_lag"
8,0.0017,1.6,"b_lag"
9,0.0024,1.6,"b_lag"
10,0.0059,1.6,"b_lag"
11,0.0173,1.6,"b_lag"
12,0.0459,1.6,"b_lag"
13,0.0803,1.6,"b_lag"
14,0.1281,1.6,"b_lag"
15,0.188,1.6,"b_lag"
16,0.2441,1.6,"b_lag"
17,0.2985,1.6,"b_lag"
18,0.3442,1.6,"b_lag"
19,0.3847,1.6,"b_lag"
20,0.4207,1.6,"b_lag"
21,0.4549,1.6,"b_lag"
22,0.4843,1.6,"b_lag"
