"day","prop_spoiled","adj","param"
1,0,0.4,"b_lag"
2,0,0.4,"b_lag"
3,0.044,0.4,"b_lag"
4,0.086,0.4,"b_lag"
5,0.12,0.4,"b_lag"
6,0.159,0.4,"b_lag"
7,0.201,0.4,"b_lag"
8,0.248,0.4,"b_lag"
9,0.35,0.4,"b_lag"
10,0.576,0.4,"b_lag"
11,0.91,0.4,"b_lag"
12,0.95,0.4,"b_lag"
13,0.95,0.4,"b_lag"
14,0.95,0.4,"b_lag"
15,0.951,0.4,"b_lag"
16,0.954,0.4,"b_lag"
17,0.955,0.4,"b_lag"
18,0.955,0.4,"b_lag"
19,0.956,0.4,"b_lag"
20,0.957,0.4,"b_lag"
21,0.958,0.4,"b_lag"
22,0.958,0.4,"b_lag"
1,0,0.6,"b_lag"
2,0,0.6,"b_lag"
3,0.003,0.6,"b_lag"
4,0.041,0.6,"b_lag"
5,0.097,0.6,"b_lag"
6,0.135,0.6,"b_lag"
7,0.178,0.6,"b_lag"
8,0.213,0.6,"b_lag"
9,0.267,0.6,"b_lag"
10,0.337,0.6,"b_lag"
11,0.431,0.6,"b_lag"
12,0.608,0.6,"b_lag"
13,0.815,0.6,"b_lag"
14,0.927,0.6,"b_lag"
15,0.95,0.6,"b_lag"
16,0.953,0.6,"b_lag"
17,0.954,0.6,"b_lag"
18,0.954,0.6,"b_lag"
19,0.955,0.6,"b_lag"
20,0.956,0.6,"b_lag"
21,0.957,0.6,"b_lag"
22,0.957,0.6,"b_lag"
1,0,0.8,"b_lag"
2,0,0.8,"b_lag"
3,0,0.8,"b_lag"
4,0.01,0.8,"b_lag"
5,0.02,0.8,"b_lag"
6,0.103,0.8,"b_lag"
7,0.146,0.8,"b_lag"
8,0.188,0.8,"b_lag"
9,0.228,0.8,"b_lag"
10,0.283,0.8,"b_lag"
11,0.328,0.8,"b_lag"
12,0.382,0.8,"b_lag"
13,0.447,0.8,"b_lag"
14,0.534,0.8,"b_lag"
15,0.656,0.8,"b_lag"
16,0.773,0.8,"b_lag"
17,0.858,0.8,"b_lag"
18,0.919,0.8,"b_lag"
19,0.951,0.8,"b_lag"
20,0.956,0.8,"b_lag"
21,0.957,0.8,"b_lag"
22,0.957,0.8,"b_lag"
1,0,1,"b_lag"
2,0,1,"b_lag"
3,0,1,"b_lag"
4,0.006,1,"b_lag"
5,0.015,1,"b_lag"
6,0.029,1,"b_lag"
7,0.062,1,"b_lag"
8,0.146,1,"b_lag"
9,0.188,1,"b_lag"
10,0.239,1,"b_lag"
11,0.283,1,"b_lag"
12,0.318,1,"b_lag"
13,0.356,1,"b_lag"
14,0.392,1,"b_lag"
15,0.432,1,"b_lag"
16,0.488,1,"b_lag"
17,0.546,1,"b_lag"
18,0.609,1,"b_lag"
19,0.69,1,"b_lag"
20,0.759,1,"b_lag"
21,0.822,1,"b_lag"
22,0.867,1,"b_lag"
1,0,1.2,"b_lag"
2,0,1.2,"b_lag"
3,0,1.2,"b_lag"
4,0,1.2,"b_lag"
5,0.012,1.2,"b_lag"
6,0.025,1.2,"b_lag"
7,0.036,1.2,"b_lag"
8,0.049,1.2,"b_lag"
9,0.115,1.2,"b_lag"
10,0.192,1.2,"b_lag"
11,0.237,1.2,"b_lag"
12,0.272,1.2,"b_lag"
13,0.306,1.2,"b_lag"
14,0.337,1.2,"b_lag"
15,0.364,1.2,"b_lag"
16,0.391,1.2,"b_lag"
17,0.423,1.2,"b_lag"
18,0.449,1.2,"b_lag"
19,0.485,1.2,"b_lag"
20,0.527,1.2,"b_lag"
21,0.567,1.2,"b_lag"
22,0.616,1.2,"b_lag"
1,0,1.4,"b_lag"
2,0,1.4,"b_lag"
3,0,1.4,"b_lag"
4,0,1.4,"b_lag"
5,0.01,1.4,"b_lag"
6,0.023,1.4,"b_lag"
7,0.032,1.4,"b_lag"
8,0.043,1.4,"b_lag"
9,0.058,1.4,"b_lag"
10,0.085,1.4,"b_lag"
11,0.168,1.4,"b_lag"
12,0.229,1.4,"b_lag"
13,0.269,1.4,"b_lag"
14,0.295,1.4,"b_lag"
15,0.321,1.4,"b_lag"
16,0.348,1.4,"b_lag"
17,0.358,1.4,"b_lag"
18,0.396,1.4,"b_lag"
19,0.411,1.4,"b_lag"
20,0.439,1.4,"b_lag"
21,0.45,1.4,"b_lag"
22,0.481,1.4,"b_lag"
1,0,1.6,"b_lag"
2,0,1.6,"b_lag"
3,0,1.6,"b_lag"
4,0,1.6,"b_lag"
5,0,1.6,"b_lag"
6,0.021,1.6,"b_lag"
7,0.031,1.6,"b_lag"
8,0.042,1.6,"b_lag"
9,0.055,1.6,"b_lag"
10,0.067,1.6,"b_lag"
11,0.09,1.6,"b_lag"
12,0.145,1.6,"b_lag"
13,0.217,1.6,"b_lag"
14,0.255,1.6,"b_lag"
15,0.281,1.6,"b_lag"
16,0.315,1.6,"b_lag"
17,0.339,1.6,"b_lag"
18,0.355,1.6,"b_lag"
19,0.369,1.6,"b_lag"
20,0.391,1.6,"b_lag"
21,0.412,1.6,"b_lag"
22,0.428,1.6,"b_lag"
