"day","prop_fail","adj","param"
1,0,0.4,"b_mumax"
2,0,0.4,"b_mumax"
3,0,0.4,"b_mumax"
4,0,0.4,"b_mumax"
5,0,0.4,"b_mumax"
6,0,0.4,"b_mumax"
7,0,0.4,"b_mumax"
8,0,0.4,"b_mumax"
9,0,0.4,"b_mumax"
10,0,0.4,"b_mumax"
11,0,0.4,"b_mumax"
12,0,0.4,"b_mumax"
13,0,0.4,"b_mumax"
14,0,0.4,"b_mumax"
15,0,0.4,"b_mumax"
16,0,0.4,"b_mumax"
17,0,0.4,"b_mumax"
18,0,0.4,"b_mumax"
19,0,0.4,"b_mumax"
20,0,0.4,"b_mumax"
21,0,0.4,"b_mumax"
22,0,0.4,"b_mumax"
1,0,0.6,"b_mumax"
2,0,0.6,"b_mumax"
3,0,0.6,"b_mumax"
4,0,0.6,"b_mumax"
5,0,0.6,"b_mumax"
6,0,0.6,"b_mumax"
7,0,0.6,"b_mumax"
8,0,0.6,"b_mumax"
9,0,0.6,"b_mumax"
10,0,0.6,"b_mumax"
11,0,0.6,"b_mumax"
12,0,0.6,"b_mumax"
13,1e-04,0.6,"b_mumax"
14,1e-04,0.6,"b_mumax"
15,4e-04,0.6,"b_mumax"
16,4e-04,0.6,"b_mumax"
17,7e-04,0.6,"b_mumax"
18,8e-04,0.6,"b_mumax"
19,0.001,0.6,"b_mumax"
20,0.0015,0.6,"b_mumax"
21,0.002,0.6,"b_mumax"
22,0.0025,0.6,"b_mumax"
1,0,0.8,"b_mumax"
2,0,0.8,"b_mumax"
3,0,0.8,"b_mumax"
4,0,0.8,"b_mumax"
5,0,0.8,"b_mumax"
6,0,0.8,"b_mumax"
7,1e-04,0.8,"b_mumax"
8,1e-04,0.8,"b_mumax"
9,3e-04,0.8,"b_mumax"
10,7e-04,0.8,"b_mumax"
11,0.001,0.8,"b_mumax"
12,0.0018,0.8,"b_mumax"
13,0.0027,0.8,"b_mumax"
14,0.0034,0.8,"b_mumax"
15,0.0054,0.8,"b_mumax"
16,0.0107,0.8,"b_mumax"
17,0.0184,0.8,"b_mumax"
18,0.0372,0.8,"b_mumax"
19,0.0643,0.8,"b_mumax"
20,0.0955,0.8,"b_mumax"
21,0.138,0.8,"b_mumax"
22,0.1905,0.8,"b_mumax"
1,0,1,"b_mumax"
2,0,1,"b_mumax"
3,0,1,"b_mumax"
4,0,1,"b_mumax"
5,1e-04,1,"b_mumax"
6,5e-04,1,"b_mumax"
7,9e-04,1,"b_mumax"
8,0.0018,1,"b_mumax"
9,0.0031,1,"b_mumax"
10,0.0075,1,"b_mumax"
11,0.02,1,"b_mumax"
12,0.0537,1,"b_mumax"
13,0.0975,1,"b_mumax"
14,0.1647,1,"b_mumax"
15,0.2503,1,"b_mumax"
16,0.3317,1,"b_mumax"
17,0.4012,1,"b_mumax"
18,0.4583,1,"b_mumax"
19,0.5049,1,"b_mumax"
20,0.5487,1,"b_mumax"
21,0.5849,1,"b_mumax"
22,0.6171,1,"b_mumax"
1,0,1.2,"b_mumax"
2,0,1.2,"b_mumax"
3,0,1.2,"b_mumax"
4,3e-04,1.2,"b_mumax"
5,9e-04,1.2,"b_mumax"
6,0.0023,1.2,"b_mumax"
7,0.0074,1.2,"b_mumax"
8,0.0333,1.2,"b_mumax"
9,0.0876,1.2,"b_mumax"
10,0.1776,1.2,"b_mumax"
11,0.2849,1.2,"b_mumax"
12,0.3757,1.2,"b_mumax"
13,0.4483,1.2,"b_mumax"
14,0.5024,1.2,"b_mumax"
15,0.5537,1.2,"b_mumax"
16,0.5921,1.2,"b_mumax"
17,0.6293,1.2,"b_mumax"
18,0.6627,1.2,"b_mumax"
19,0.6894,1.2,"b_mumax"
20,0.7146,1.2,"b_mumax"
21,0.7338,1.2,"b_mumax"
22,0.75,1.2,"b_mumax"
1,0,1.4,"b_mumax"
2,0,1.4,"b_mumax"
3,3e-04,1.4,"b_mumax"
4,0.0016,1.4,"b_mumax"
5,0.0047,1.4,"b_mumax"
6,0.0399,1.4,"b_mumax"
7,0.1216,1.4,"b_mumax"
8,0.2477,1.4,"b_mumax"
9,0.3597,1.4,"b_mumax"
10,0.4427,1.4,"b_mumax"
11,0.5071,1.4,"b_mumax"
12,0.5593,1.4,"b_mumax"
13,0.6042,1.4,"b_mumax"
14,0.6433,1.4,"b_mumax"
15,0.6758,1.4,"b_mumax"
16,0.7038,1.4,"b_mumax"
17,0.7277,1.4,"b_mumax"
18,0.7459,1.4,"b_mumax"
19,0.764,1.4,"b_mumax"
20,0.7772,1.4,"b_mumax"
21,0.7898,1.4,"b_mumax"
22,0.8007,1.4,"b_mumax"
1,0,1.6,"b_mumax"
2,1e-04,1.6,"b_mumax"
3,0.0014,1.6,"b_mumax"
4,0.0079,1.6,"b_mumax"
5,0.0721,1.6,"b_mumax"
6,0.2084,1.6,"b_mumax"
7,0.3403,1.6,"b_mumax"
8,0.4368,1.6,"b_mumax"
9,0.5089,1.6,"b_mumax"
10,0.5648,1.6,"b_mumax"
11,0.6132,1.6,"b_mumax"
12,0.6523,1.6,"b_mumax"
13,0.6845,1.6,"b_mumax"
14,0.7119,1.6,"b_mumax"
15,0.7358,1.6,"b_mumax"
16,0.754,1.6,"b_mumax"
17,0.7717,1.6,"b_mumax"
18,0.785,1.6,"b_mumax"
19,0.7976,1.6,"b_mumax"
20,0.8071,1.6,"b_mumax"
21,0.8148,1.6,"b_mumax"
22,0.8225,1.6,"b_mumax"
