"day","prop_spoiled","adj","param"
1,0,0.4,"b_mumax"
2,0,0.4,"b_mumax"
3,0,0.4,"b_mumax"
4,0,0.4,"b_mumax"
5,0,0.4,"b_mumax"
6,0,0.4,"b_mumax"
7,0,0.4,"b_mumax"
8,0,0.4,"b_mumax"
9,0,0.4,"b_mumax"
10,0,0.4,"b_mumax"
11,0,0.4,"b_mumax"
12,0,0.4,"b_mumax"
13,0,0.4,"b_mumax"
14,0,0.4,"b_mumax"
15,0,0.4,"b_mumax"
16,0,0.4,"b_mumax"
17,0,0.4,"b_mumax"
18,0,0.4,"b_mumax"
19,0.001,0.4,"b_mumax"
20,0.003,0.4,"b_mumax"
21,0.005,0.4,"b_mumax"
22,0.01,0.4,"b_mumax"
1,0,0.6,"b_mumax"
2,0,0.6,"b_mumax"
3,0,0.6,"b_mumax"
4,0,0.6,"b_mumax"
5,0,0.6,"b_mumax"
6,0,0.6,"b_mumax"
7,0,0.6,"b_mumax"
8,0,0.6,"b_mumax"
9,0,0.6,"b_mumax"
10,0,0.6,"b_mumax"
11,0,0.6,"b_mumax"
12,0,0.6,"b_mumax"
13,0.004,0.6,"b_mumax"
14,0.013,0.6,"b_mumax"
15,0.029,0.6,"b_mumax"
16,0.044,0.6,"b_mumax"
17,0.055,0.6,"b_mumax"
18,0.061,0.6,"b_mumax"
19,0.069,0.6,"b_mumax"
20,0.082,0.6,"b_mumax"
21,0.087,0.6,"b_mumax"
22,0.094,0.6,"b_mumax"
1,0,0.8,"b_mumax"
2,0,0.8,"b_mumax"
3,0,0.8,"b_mumax"
4,0,0.8,"b_mumax"
5,0,0.8,"b_mumax"
6,0,0.8,"b_mumax"
7,0,0.8,"b_mumax"
8,0,0.8,"b_mumax"
9,0.007,0.8,"b_mumax"
10,0.01,0.8,"b_mumax"
11,0.032,0.8,"b_mumax"
12,0.059,0.8,"b_mumax"
13,0.085,0.8,"b_mumax"
14,0.095,0.8,"b_mumax"
15,0.109,0.8,"b_mumax"
16,0.121,0.8,"b_mumax"
17,0.136,0.8,"b_mumax"
18,0.146,0.8,"b_mumax"
19,0.16,0.8,"b_mumax"
20,0.174,0.8,"b_mumax"
21,0.188,0.8,"b_mumax"
22,0.2,0.8,"b_mumax"
1,0,1,"b_mumax"
2,0,1,"b_mumax"
3,0,1,"b_mumax"
4,0,1,"b_mumax"
5,0,1,"b_mumax"
6,0.005,1,"b_mumax"
7,0.011,1,"b_mumax"
8,0.015,1,"b_mumax"
9,0.032,1,"b_mumax"
10,0.094,1,"b_mumax"
11,0.117,1,"b_mumax"
12,0.138,1,"b_mumax"
13,0.161,1,"b_mumax"
14,0.183,1,"b_mumax"
15,0.201,1,"b_mumax"
16,0.223,1,"b_mumax"
17,0.247,1,"b_mumax"
18,0.276,1,"b_mumax"
19,0.308,1,"b_mumax"
20,0.333,1,"b_mumax"
21,0.358,1,"b_mumax"
22,0.397,1,"b_mumax"
1,0,1.2,"b_mumax"
2,0,1.2,"b_mumax"
3,0,1.2,"b_mumax"
4,0,1.2,"b_mumax"
5,0.008,1.2,"b_mumax"
6,0.015,1.2,"b_mumax"
7,0.028,1.2,"b_mumax"
8,0.074,1.2,"b_mumax"
9,0.133,1.2,"b_mumax"
10,0.174,1.2,"b_mumax"
11,0.199,1.2,"b_mumax"
12,0.23,1.2,"b_mumax"
13,0.268,1.2,"b_mumax"
14,0.304,1.2,"b_mumax"
15,0.328,1.2,"b_mumax"
16,0.362,1.2,"b_mumax"
17,0.401,1.2,"b_mumax"
18,0.444,1.2,"b_mumax"
19,0.512,1.2,"b_mumax"
20,0.589,1.2,"b_mumax"
21,0.672,1.2,"b_mumax"
22,0.748,1.2,"b_mumax"
1,0,1.4,"b_mumax"
2,0,1.4,"b_mumax"
3,0,1.4,"b_mumax"
4,0.01,1.4,"b_mumax"
5,0.023,1.4,"b_mumax"
6,0.036,1.4,"b_mumax"
7,0.087,1.4,"b_mumax"
8,0.168,1.4,"b_mumax"
9,0.208,1.4,"b_mumax"
10,0.261,1.4,"b_mumax"
11,0.303,1.4,"b_mumax"
12,0.333,1.4,"b_mumax"
13,0.369,1.4,"b_mumax"
14,0.413,1.4,"b_mumax"
15,0.452,1.4,"b_mumax"
16,0.516,1.4,"b_mumax"
17,0.584,1.4,"b_mumax"
18,0.66,1.4,"b_mumax"
19,0.736,1.4,"b_mumax"
20,0.802,1.4,"b_mumax"
21,0.856,1.4,"b_mumax"
22,0.892,1.4,"b_mumax"
1,0,1.6,"b_mumax"
2,0,1.6,"b_mumax"
3,0.007,1.6,"b_mumax"
4,0.024,1.6,"b_mumax"
5,0.042,1.6,"b_mumax"
6,0.074,1.6,"b_mumax"
7,0.187,1.6,"b_mumax"
8,0.248,1.6,"b_mumax"
9,0.295,1.6,"b_mumax"
10,0.339,1.6,"b_mumax"
11,0.376,1.6,"b_mumax"
12,0.42,1.6,"b_mumax"
13,0.46,1.6,"b_mumax"
14,0.518,1.6,"b_mumax"
15,0.576,1.6,"b_mumax"
16,0.652,1.6,"b_mumax"
17,0.729,1.6,"b_mumax"
18,0.79,1.6,"b_mumax"
19,0.847,1.6,"b_mumax"
20,0.885,1.6,"b_mumax"
21,0.924,1.6,"b_mumax"
22,0.954,1.6,"b_mumax"
