"day","prop_spoiled","adj","param"
1,0,0.4,"b_mumax"
2,0,0.4,"b_mumax"
3,0,0.4,"b_mumax"
4,0,0.4,"b_mumax"
5,0,0.4,"b_mumax"
6,0,0.4,"b_mumax"
7,0,0.4,"b_mumax"
8,0,0.4,"b_mumax"
9,0,0.4,"b_mumax"
10,0.003,0.4,"b_mumax"
11,0.005,0.4,"b_mumax"
12,0.009,0.4,"b_mumax"
13,0.012,0.4,"b_mumax"
14,0.012,0.4,"b_mumax"
15,0.017,0.4,"b_mumax"
16,0.022,0.4,"b_mumax"
17,0.025,0.4,"b_mumax"
18,0.029,0.4,"b_mumax"
19,0.036,0.4,"b_mumax"
20,0.042,0.4,"b_mumax"
21,0.047,0.4,"b_mumax"
22,0.048,0.4,"b_mumax"
1,0,0.6,"b_mumax"
2,0,0.6,"b_mumax"
3,0,0.6,"b_mumax"
4,0,0.6,"b_mumax"
5,0.001,0.6,"b_mumax"
6,0.008,0.6,"b_mumax"
7,0.012,0.6,"b_mumax"
8,0.024,0.6,"b_mumax"
9,0.034,0.6,"b_mumax"
10,0.044,0.6,"b_mumax"
11,0.052,0.6,"b_mumax"
12,0.064,0.6,"b_mumax"
13,0.072,0.6,"b_mumax"
14,0.075,0.6,"b_mumax"
15,0.085,0.6,"b_mumax"
16,0.096,0.6,"b_mumax"
17,0.103,0.6,"b_mumax"
18,0.11,0.6,"b_mumax"
19,0.121,0.6,"b_mumax"
20,0.129,0.6,"b_mumax"
21,0.142,0.6,"b_mumax"
22,0.151,0.6,"b_mumax"
1,0,0.8,"b_mumax"
2,0,0.8,"b_mumax"
3,0,0.8,"b_mumax"
4,0.008,0.8,"b_mumax"
5,0.023,0.8,"b_mumax"
6,0.039,0.8,"b_mumax"
7,0.056,0.8,"b_mumax"
8,0.073,0.8,"b_mumax"
9,0.081,0.8,"b_mumax"
10,0.097,0.8,"b_mumax"
11,0.112,0.8,"b_mumax"
12,0.128,0.8,"b_mumax"
13,0.148,0.8,"b_mumax"
14,0.156,0.8,"b_mumax"
15,0.174,0.8,"b_mumax"
16,0.191,0.8,"b_mumax"
17,0.207,0.8,"b_mumax"
18,0.219,0.8,"b_mumax"
19,0.233,0.8,"b_mumax"
20,0.248,0.8,"b_mumax"
21,0.264,0.8,"b_mumax"
22,0.275,0.8,"b_mumax"
1,0,1,"b_mumax"
2,0,1,"b_mumax"
3,0.007,1,"b_mumax"
4,0.032,1,"b_mumax"
5,0.053,1,"b_mumax"
6,0.076,1,"b_mumax"
7,0.099,1,"b_mumax"
8,0.124,1,"b_mumax"
9,0.145,1,"b_mumax"
10,0.161,1,"b_mumax"
11,0.19,1,"b_mumax"
12,0.212,1,"b_mumax"
13,0.236,1,"b_mumax"
14,0.258,1,"b_mumax"
15,0.276,1,"b_mumax"
16,0.295,1,"b_mumax"
17,0.314,1,"b_mumax"
18,0.323,1,"b_mumax"
19,0.333,1,"b_mumax"
20,0.347,1,"b_mumax"
21,0.36,1,"b_mumax"
22,0.372,1,"b_mumax"
1,0,1.2,"b_mumax"
2,0.002,1.2,"b_mumax"
3,0.029,1.2,"b_mumax"
4,0.058,1.2,"b_mumax"
5,0.084,1.2,"b_mumax"
6,0.12,1.2,"b_mumax"
7,0.15,1.2,"b_mumax"
8,0.177,1.2,"b_mumax"
9,0.216,1.2,"b_mumax"
10,0.245,1.2,"b_mumax"
11,0.27,1.2,"b_mumax"
12,0.304,1.2,"b_mumax"
13,0.321,1.2,"b_mumax"
14,0.335,1.2,"b_mumax"
15,0.358,1.2,"b_mumax"
16,0.373,1.2,"b_mumax"
17,0.385,1.2,"b_mumax"
18,0.401,1.2,"b_mumax"
19,0.422,1.2,"b_mumax"
20,0.432,1.2,"b_mumax"
21,0.438,1.2,"b_mumax"
22,0.445,1.2,"b_mumax"
1,0,1.4,"b_mumax"
2,0.012,1.4,"b_mumax"
3,0.044,1.4,"b_mumax"
4,0.081,1.4,"b_mumax"
5,0.131,1.4,"b_mumax"
6,0.163,1.4,"b_mumax"
7,0.21,1.4,"b_mumax"
8,0.246,1.4,"b_mumax"
9,0.282,1.4,"b_mumax"
10,0.321,1.4,"b_mumax"
11,0.337,1.4,"b_mumax"
12,0.369,1.4,"b_mumax"
13,0.392,1.4,"b_mumax"
14,0.408,1.4,"b_mumax"
15,0.427,1.4,"b_mumax"
16,0.438,1.4,"b_mumax"
17,0.448,1.4,"b_mumax"
18,0.458,1.4,"b_mumax"
19,0.472,1.4,"b_mumax"
20,0.493,1.4,"b_mumax"
21,0.509,1.4,"b_mumax"
22,0.525,1.4,"b_mumax"
1,0.001,1.6,"b_mumax"
2,0.022,1.6,"b_mumax"
3,0.064,1.6,"b_mumax"
4,0.119,1.6,"b_mumax"
5,0.165,1.6,"b_mumax"
6,0.223,1.6,"b_mumax"
7,0.261,1.6,"b_mumax"
8,0.314,1.6,"b_mumax"
9,0.342,1.6,"b_mumax"
10,0.379,1.6,"b_mumax"
11,0.405,1.6,"b_mumax"
12,0.427,1.6,"b_mumax"
13,0.44,1.6,"b_mumax"
14,0.455,1.6,"b_mumax"
15,0.469,1.6,"b_mumax"
16,0.496,1.6,"b_mumax"
17,0.518,1.6,"b_mumax"
18,0.525,1.6,"b_mumax"
19,0.533,1.6,"b_mumax"
20,0.542,1.6,"b_mumax"
21,0.553,1.6,"b_mumax"
22,0.562,1.6,"b_mumax"
