"day","prop_spoiled","adj","param"
1,0,0.4,"lag"
2,0,0.4,"lag"
3,0.002,0.4,"lag"
4,0.018,0.4,"lag"
5,0.095,0.4,"lag"
6,0.131,0.4,"lag"
7,0.17,0.4,"lag"
8,0.208,0.4,"lag"
9,0.264,0.4,"lag"
10,0.328,0.4,"lag"
11,0.402,0.4,"lag"
12,0.533,0.4,"lag"
13,0.725,0.4,"lag"
14,0.876,0.4,"lag"
15,0.947,0.4,"lag"
16,0.953,0.4,"lag"
17,0.954,0.4,"lag"
18,0.954,0.4,"lag"
19,0.955,0.4,"lag"
20,0.956,0.4,"lag"
21,0.957,0.4,"lag"
22,0.957,0.4,"lag"
1,0,0.6,"lag"
2,0,0.6,"lag"
3,0,0.6,"lag"
4,0.01,0.6,"lag"
5,0.027,0.6,"lag"
6,0.107,0.6,"lag"
7,0.149,0.6,"lag"
8,0.193,0.6,"lag"
9,0.233,0.6,"lag"
10,0.294,0.6,"lag"
11,0.339,0.6,"lag"
12,0.392,0.6,"lag"
13,0.471,0.6,"lag"
14,0.569,0.6,"lag"
15,0.699,0.6,"lag"
16,0.818,0.6,"lag"
17,0.894,0.6,"lag"
18,0.946,0.6,"lag"
19,0.954,0.6,"lag"
20,0.956,0.6,"lag"
21,0.957,0.6,"lag"
22,0.957,0.6,"lag"
1,0,0.8,"lag"
2,0,0.8,"lag"
3,0,0.8,"lag"
4,0.007,0.8,"lag"
5,0.017,0.8,"lag"
6,0.04,0.8,"lag"
7,0.128,0.8,"lag"
8,0.177,0.8,"lag"
9,0.215,0.8,"lag"
10,0.264,0.8,"lag"
11,0.305,0.8,"lag"
12,0.342,0.8,"lag"
13,0.391,0.8,"lag"
14,0.443,0.8,"lag"
15,0.515,0.8,"lag"
16,0.599,0.8,"lag"
17,0.695,0.8,"lag"
18,0.786,0.8,"lag"
19,0.853,0.8,"lag"
20,0.905,0.8,"lag"
21,0.943,0.8,"lag"
22,0.957,0.8,"lag"
1,0,1,"lag"
2,0,1,"lag"
3,0,1,"lag"
4,0.006,1,"lag"
5,0.015,1,"lag"
6,0.029,1,"lag"
7,0.064,1,"lag"
8,0.149,1,"lag"
9,0.188,1,"lag"
10,0.243,1,"lag"
11,0.284,1,"lag"
12,0.319,1,"lag"
13,0.356,1,"lag"
14,0.392,1,"lag"
15,0.431,1,"lag"
16,0.488,1,"lag"
17,0.546,1,"lag"
18,0.609,1,"lag"
19,0.69,1,"lag"
20,0.759,1,"lag"
21,0.822,1,"lag"
22,0.867,1,"lag"
1,0,1.2,"lag"
2,0,1.2,"lag"
3,0,1.2,"lag"
4,0.003,1.2,"lag"
5,0.014,1.2,"lag"
6,0.025,1.2,"lag"
7,0.042,1.2,"lag"
8,0.093,1.2,"lag"
9,0.171,1.2,"lag"
10,0.221,1.2,"lag"
11,0.262,1.2,"lag"
12,0.3,1.2,"lag"
13,0.334,1.2,"lag"
14,0.36,1.2,"lag"
15,0.394,1.2,"lag"
16,0.428,1.2,"lag"
17,0.47,1.2,"lag"
18,0.519,1.2,"lag"
19,0.567,1.2,"lag"
20,0.621,1.2,"lag"
21,0.687,1.2,"lag"
22,0.745,1.2,"lag"
1,0,1.4,"lag"
2,0,1.4,"lag"
3,0,1.4,"lag"
4,0.001,1.4,"lag"
5,0.012,1.4,"lag"
6,0.025,1.4,"lag"
7,0.037,1.4,"lag"
8,0.049,1.4,"lag"
9,0.127,1.4,"lag"
10,0.194,1.4,"lag"
11,0.243,1.4,"lag"
12,0.28,1.4,"lag"
13,0.311,1.4,"lag"
14,0.34,1.4,"lag"
15,0.369,1.4,"lag"
16,0.394,1.4,"lag"
17,0.426,1.4,"lag"
18,0.458,1.4,"lag"
19,0.497,1.4,"lag"
20,0.538,1.4,"lag"
21,0.579,1.4,"lag"
22,0.635,1.4,"lag"
1,0,1.6,"lag"
2,0,1.6,"lag"
3,0,1.6,"lag"
4,0,1.6,"lag"
5,0.01,1.6,"lag"
6,0.024,1.6,"lag"
7,0.035,1.6,"lag"
8,0.047,1.6,"lag"
9,0.084,1.6,"lag"
10,0.163,1.6,"lag"
11,0.224,1.6,"lag"
12,0.264,1.6,"lag"
13,0.294,1.6,"lag"
14,0.322,1.6,"lag"
15,0.348,1.6,"lag"
16,0.372,1.6,"lag"
17,0.403,1.6,"lag"
18,0.429,1.6,"lag"
19,0.451,1.6,"lag"
20,0.486,1.6,"lag"
21,0.521,1.6,"lag"
22,0.553,1.6,"lag"
