"day","prop_fail","adj","param"
1,0,0.4,"mumax"
2,0,0.4,"mumax"
3,0,0.4,"mumax"
4,0,0.4,"mumax"
5,0,0.4,"mumax"
6,0,0.4,"mumax"
7,0,0.4,"mumax"
8,0,0.4,"mumax"
9,0,0.4,"mumax"
10,0,0.4,"mumax"
11,1e-04,0.4,"mumax"
12,1e-04,0.4,"mumax"
13,1e-04,0.4,"mumax"
14,4e-04,0.4,"mumax"
15,6e-04,0.4,"mumax"
16,8e-04,0.4,"mumax"
17,0.001,0.4,"mumax"
18,0.0015,0.4,"mumax"
19,0.002,0.4,"mumax"
20,0.0025,0.4,"mumax"
21,0.0029,0.4,"mumax"
22,0.0037,0.4,"mumax"
1,0,0.6,"mumax"
2,0,0.6,"mumax"
3,0,0.6,"mumax"
4,0,0.6,"mumax"
5,0,0.6,"mumax"
6,0,0.6,"mumax"
7,0,0.6,"mumax"
8,1e-04,0.6,"mumax"
9,3e-04,0.6,"mumax"
10,6e-04,0.6,"mumax"
11,8e-04,0.6,"mumax"
12,0.0012,0.6,"mumax"
13,0.0022,0.6,"mumax"
14,0.0027,0.6,"mumax"
15,0.0034,0.6,"mumax"
16,0.0055,0.6,"mumax"
17,0.0106,0.6,"mumax"
18,0.0172,0.6,"mumax"
19,0.0334,0.6,"mumax"
20,0.0583,0.6,"mumax"
21,0.0852,0.6,"mumax"
22,0.1216,0.6,"mumax"
1,0,0.8,"mumax"
2,0,0.8,"mumax"
3,0,0.8,"mumax"
4,0,0.8,"mumax"
5,0,0.8,"mumax"
6,1e-04,0.8,"mumax"
7,3e-04,0.8,"mumax"
8,7e-04,0.8,"mumax"
9,0.001,0.8,"mumax"
10,0.0021,0.8,"mumax"
11,0.003,0.8,"mumax"
12,0.0051,0.8,"mumax"
13,0.0113,0.8,"mumax"
14,0.0253,0.8,"mumax"
15,0.0559,0.8,"mumax"
16,0.0912,0.8,"mumax"
17,0.1418,0.8,"mumax"
18,0.2082,0.8,"mumax"
19,0.2875,0.8,"mumax"
20,0.3545,0.8,"mumax"
21,0.4116,0.8,"mumax"
22,0.4619,0.8,"mumax"
1,0,1,"mumax"
2,0,1,"mumax"
3,0,1,"mumax"
4,0,1,"mumax"
5,1e-04,1,"mumax"
6,5e-04,1,"mumax"
7,9e-04,1,"mumax"
8,0.0018,1,"mumax"
9,0.0031,1,"mumax"
10,0.0075,1,"mumax"
11,0.02,1,"mumax"
12,0.0537,1,"mumax"
13,0.0975,1,"mumax"
14,0.1647,1,"mumax"
15,0.2503,1,"mumax"
16,0.3317,1,"mumax"
17,0.4012,1,"mumax"
18,0.4583,1,"mumax"
19,0.5049,1,"mumax"
20,0.5487,1,"mumax"
21,0.5849,1,"mumax"
22,0.6171,1,"mumax"
1,0,1.2,"mumax"
2,0,1.2,"mumax"
3,0,1.2,"mumax"
4,1e-04,1.2,"mumax"
5,5e-04,1.2,"mumax"
6,0.001,1.2,"mumax"
7,0.002,1.2,"mumax"
8,0.0043,1.2,"mumax"
9,0.0152,1.2,"mumax"
10,0.052,1.2,"mumax"
11,0.1051,1.2,"mumax"
12,0.1858,1.2,"mumax"
13,0.2841,1.2,"mumax"
14,0.3685,1.2,"mumax"
15,0.4368,1.2,"mumax"
16,0.4895,1.2,"mumax"
17,0.538,1.2,"mumax"
18,0.5793,1.2,"mumax"
19,0.6118,1.2,"mumax"
20,0.6468,1.2,"mumax"
21,0.6745,1.2,"mumax"
22,0.699,1.2,"mumax"
1,0,1.4,"mumax"
2,0,1.4,"mumax"
3,0,1.4,"mumax"
4,3e-04,1.4,"mumax"
5,8e-04,1.4,"mumax"
6,0.002,1.4,"mumax"
7,0.0051,1.4,"mumax"
8,0.0228,1.4,"mumax"
9,0.0718,1.4,"mumax"
10,0.151,1.4,"mumax"
11,0.2555,1.4,"mumax"
12,0.3502,1.4,"mumax"
13,0.4273,1.4,"mumax"
14,0.4867,1.4,"mumax"
15,0.5364,1.4,"mumax"
16,0.5803,1.4,"mumax"
17,0.6171,1.4,"mumax"
18,0.6515,1.4,"mumax"
19,0.681,1.4,"mumax"
20,0.7061,1.4,"mumax"
21,0.7265,1.4,"mumax"
22,0.7429,1.4,"mumax"
1,0,1.6,"mumax"
2,0,1.6,"mumax"
3,1e-04,1.6,"mumax"
4,6e-04,1.6,"mumax"
5,0.0018,1.6,"mumax"
6,0.0038,1.6,"mumax"
7,0.0225,1.6,"mumax"
8,0.0785,1.6,"mumax"
9,0.1722,1.6,"mumax"
10,0.2867,1.6,"mumax"
11,0.3818,1.6,"mumax"
12,0.4541,1.6,"mumax"
13,0.5105,1.6,"mumax"
14,0.561,1.6,"mumax"
15,0.6022,1.6,"mumax"
16,0.6391,1.6,"mumax"
17,0.6717,1.6,"mumax"
18,0.6981,1.6,"mumax"
19,0.7216,1.6,"mumax"
20,0.7399,1.6,"mumax"
21,0.7574,1.6,"mumax"
22,0.771,1.6,"mumax"
