day,prop_spoiled,adj,param
1,0,0.4,mumax
2,0,0.4,mumax
3,0,0.4,mumax
4,0,0.4,mumax
5,0,0.4,mumax
6,0,0.4,mumax
7,0,0.4,mumax
8,0,0.4,mumax
9,0,0.4,mumax
10,0,0.4,mumax
11,0,0.4,mumax
12,0.003,0.4,mumax
13,0.01,0.4,mumax
14,0.028,0.4,mumax
15,0.046,0.4,mumax
16,0.055,0.4,mumax
17,0.064,0.4,mumax
18,0.076,0.4,mumax
19,0.084,0.4,mumax
20,0.092,0.4,mumax
21,0.1,0.4,mumax
22,0.107,0.4,mumax
1,0,0.6,mumax
2,0,0.6,mumax
3,0,0.6,mumax
4,0,0.6,mumax
5,0,0.6,mumax
6,0,0.6,mumax
7,0,0.6,mumax
8,0,0.6,mumax
9,0.004,0.6,mumax
10,0.008,0.6,mumax
11,0.018,0.6,mumax
12,0.054,0.6,mumax
13,0.071,0.6,mumax
14,0.088,0.6,mumax
15,0.098,0.6,mumax
16,0.109,0.6,mumax
17,0.121,0.6,mumax
18,0.136,0.6,mumax
19,0.146,0.6,mumax
20,0.159,0.6,mumax
21,0.172,0.6,mumax
22,0.183,0.6,mumax
1,0,0.8,mumax
2,0,0.8,mumax
3,0,0.8,mumax
4,0,0.8,mumax
5,0,0.8,mumax
6,0,0.8,mumax
7,0.003,0.8,mumax
8,0.008,0.8,mumax
9,0.013,0.8,mumax
10,0.029,0.8,mumax
11,0.079,0.8,mumax
12,0.099,0.8,mumax
13,0.115,0.8,mumax
14,0.133,0.8,mumax
15,0.147,0.8,mumax
16,0.168,0.8,mumax
17,0.183,0.8,mumax
18,0.199,0.8,mumax
19,0.215,0.8,mumax
20,0.235,0.8,mumax
21,0.255,0.8,mumax
22,0.277,0.8,mumax
1,0,1,mumax
2,0,1,mumax
3,0,1,mumax
4,0,1,mumax
5,0,1,mumax
6,0.005,1,mumax
7,0.011,1,mumax
8,0.015,1,mumax
9,0.032,1,mumax
10,0.094,1,mumax
11,0.117,1,mumax
12,0.138,1,mumax
13,0.161,1,mumax
14,0.183,1,mumax
15,0.201,1,mumax
16,0.223,1,mumax
17,0.247,1,mumax
18,0.276,1,mumax
19,0.308,1,mumax
20,0.333,1,mumax
21,0.358,1,mumax
22,0.397,1,mumax
1,0,1.2,mumax
2,0,1.2,mumax
3,0,1.2,mumax
4,0,1.2,mumax
5,0.003,1.2,mumax
6,0.011,1.2,mumax
7,0.015,1.2,mumax
8,0.027,1.2,mumax
9,0.094,1.2,mumax
10,0.127,1.2,mumax
11,0.153,1.2,mumax
12,0.184,1.2,mumax
13,0.205,1.2,mumax
14,0.23,1.2,mumax
15,0.261,1.2,mumax
16,0.295,1.2,mumax
17,0.326,1.2,mumax
18,0.349,1.2,mumax
19,0.391,1.2,mumax
20,0.438,1.2,mumax
21,0.498,1.2,mumax
22,0.567,1.2,mumax
1,0,1.4,mumax
2,0,1.4,mumax
3,0,1.4,mumax
4,0,1.4,mumax
5,0.008,1.4,mumax
6,0.014,1.4,mumax
7,0.025,1.4,mumax
8,0.058,1.4,mumax
9,0.127,1.4,mumax
10,0.164,1.4,mumax
11,0.188,1.4,mumax
12,0.219,1.4,mumax
13,0.252,1.4,mumax
14,0.288,1.4,mumax
15,0.324,1.4,mumax
16,0.35,1.4,mumax
17,0.391,1.4,mumax
18,0.432,1.4,mumax
19,0.491,1.4,mumax
20,0.559,1.4,mumax
21,0.64,1.4,mumax
22,0.728,1.4,mumax
1,0,1.6,mumax
2,0,1.6,mumax
3,0,1.6,mumax
4,0.003,1.6,mumax
5,0.012,1.6,mumax
6,0.023,1.6,mumax
7,0.036,1.6,mumax
8,0.111,1.6,mumax
9,0.162,1.6,mumax
10,0.191,1.6,mumax
11,0.231,1.6,mumax
12,0.27,1.6,mumax
13,0.306,1.6,mumax
14,0.331,1.6,mumax
15,0.37,1.6,mumax
16,0.413,1.6,mumax
17,0.457,1.6,mumax
18,0.521,1.6,mumax
19,0.593,1.6,mumax
20,0.679,1.6,mumax
21,0.755,1.6,mumax
22,0.821,1.6,mumax
