"day","prop_spoiled","adj","param"
1,0,0.4,"mumax"
2,0,0.4,"mumax"
3,0,0.4,"mumax"
4,0,0.4,"mumax"
5,0,0.4,"mumax"
6,0,0.4,"mumax"
7,0,0.4,"mumax"
8,0.005,0.4,"mumax"
9,0.008,0.4,"mumax"
10,0.018,0.4,"mumax"
11,0.057,0.4,"mumax"
12,0.085,0.4,"mumax"
13,0.1,0.4,"mumax"
14,0.116,0.4,"mumax"
15,0.131,0.4,"mumax"
16,0.144,0.4,"mumax"
17,0.163,0.4,"mumax"
18,0.18,0.4,"mumax"
19,0.196,0.4,"mumax"
20,0.208,0.4,"mumax"
21,0.23,0.4,"mumax"
22,0.25,0.4,"mumax"
1,0,0.6,"mumax"
2,0,0.6,"mumax"
3,0,0.6,"mumax"
4,0,0.6,"mumax"
5,0,0.6,"mumax"
6,0.006,0.6,"mumax"
7,0.012,0.6,"mumax"
8,0.018,0.6,"mumax"
9,0.062,0.6,"mumax"
10,0.107,0.6,"mumax"
11,0.135,0.6,"mumax"
12,0.162,0.6,"mumax"
13,0.185,0.6,"mumax"
14,0.205,0.6,"mumax"
15,0.231,0.6,"mumax"
16,0.266,0.6,"mumax"
17,0.301,0.6,"mumax"
18,0.327,0.6,"mumax"
19,0.354,0.6,"mumax"
20,0.392,0.6,"mumax"
21,0.436,0.6,"mumax"
22,0.494,0.6,"mumax"
1,0,0.8,"mumax"
2,0,0.8,"mumax"
3,0,0.8,"mumax"
4,0,0.8,"mumax"
5,0.007,0.8,"mumax"
6,0.014,0.8,"mumax"
7,0.029,0.8,"mumax"
8,0.083,0.8,"mumax"
9,0.134,0.8,"mumax"
10,0.176,0.8,"mumax"
11,0.205,0.8,"mumax"
12,0.241,0.8,"mumax"
13,0.28,0.8,"mumax"
14,0.315,0.8,"mumax"
15,0.342,0.8,"mumax"
16,0.385,0.8,"mumax"
17,0.42,0.8,"mumax"
18,0.47,0.8,"mumax"
19,0.527,0.8,"mumax"
20,0.599,0.8,"mumax"
21,0.676,0.8,"mumax"
22,0.749,0.8,"mumax"
1,0,1,"mumax"
2,0,1,"mumax"
3,0,1,"mumax"
4,0.006,1,"mumax"
5,0.015,1,"mumax"
6,0.029,1,"mumax"
7,0.062,1,"mumax"
8,0.146,1,"mumax"
9,0.188,1,"mumax"
10,0.239,1,"mumax"
11,0.283,1,"mumax"
12,0.318,1,"mumax"
13,0.356,1,"mumax"
14,0.392,1,"mumax"
15,0.432,1,"mumax"
16,0.488,1,"mumax"
17,0.546,1,"mumax"
18,0.609,1,"mumax"
19,0.69,1,"mumax"
20,0.759,1,"mumax"
21,0.822,1,"mumax"
22,0.867,1,"mumax"
1,0,1.2,"mumax"
2,0,1.2,"mumax"
3,0,1.2,"mumax"
4,0.011,1.2,"mumax"
5,0.025,1.2,"mumax"
6,0.043,1.2,"mumax"
7,0.132,1.2,"mumax"
8,0.201,1.2,"mumax"
9,0.251,1.2,"mumax"
10,0.3,1.2,"mumax"
11,0.334,1.2,"mumax"
12,0.375,1.2,"mumax"
13,0.418,1.2,"mumax"
14,0.458,1.2,"mumax"
15,0.52,1.2,"mumax"
16,0.574,1.2,"mumax"
17,0.649,1.2,"mumax"
18,0.724,1.2,"mumax"
19,0.792,1.2,"mumax"
20,0.845,1.2,"mumax"
21,0.881,1.2,"mumax"
22,0.92,1.2,"mumax"
1,0,1.4,"mumax"
2,0,1.4,"mumax"
3,0.003,1.4,"mumax"
4,0.019,1.4,"mumax"
5,0.037,1.4,"mumax"
6,0.074,1.4,"mumax"
7,0.188,1.4,"mumax"
8,0.251,1.4,"mumax"
9,0.297,1.4,"mumax"
10,0.34,1.4,"mumax"
11,0.377,1.4,"mumax"
12,0.424,1.4,"mumax"
13,0.469,1.4,"mumax"
14,0.526,1.4,"mumax"
15,0.579,1.4,"mumax"
16,0.655,1.4,"mumax"
17,0.726,1.4,"mumax"
18,0.789,1.4,"mumax"
19,0.844,1.4,"mumax"
20,0.881,1.4,"mumax"
21,0.919,1.4,"mumax"
22,0.949,1.4,"mumax"
1,0,1.6,"mumax"
2,0,1.6,"mumax"
3,0.009,1.6,"mumax"
4,0.029,1.6,"mumax"
5,0.047,1.6,"mumax"
6,0.123,1.6,"mumax"
7,0.23,1.6,"mumax"
8,0.289,1.6,"mumax"
9,0.336,1.6,"mumax"
10,0.371,1.6,"mumax"
11,0.418,1.6,"mumax"
12,0.457,1.6,"mumax"
13,0.519,1.6,"mumax"
14,0.573,1.6,"mumax"
15,0.639,1.6,"mumax"
16,0.71,1.6,"mumax"
17,0.78,1.6,"mumax"
18,0.834,1.6,"mumax"
19,0.872,1.6,"mumax"
20,0.912,1.6,"mumax"
21,0.947,1.6,"mumax"
22,0.962,1.6,"mumax"
