"day","mean","sd_total_count","mode","median","adj","param"
1,5.14167916718088,0.0798833126166831,"5.1",5.1394699995521,0.4,"mumax"
2,5.17690235502908,0.0977024021951603,"5.2",5.16914186842431,0.4,"mumax"
3,5.23908188430414,0.200952915779218,"5.2",5.20543036778907,0.4,"mumax"
4,5.3210387895976,0.334693240900109,"5.2",5.23810086505292,0.4,"mumax"
5,5.41365145432388,0.451435107935494,"5.2",5.28030683928104,0.4,"mumax"
6,5.51413495341794,0.542514224468442,"5.3",5.33572818580593,0.4,"mumax"
7,5.62335603171825,0.609653432080474,"5.4",5.41066548307582,0.4,"mumax"
8,5.74304136675017,0.656608910545148,"5.5",5.51797667732707,0.4,"mumax"
9,5.87385357036336,0.68723899866094,"5.6",5.65294790074018,0.4,"mumax"
10,6.01445457616281,0.705325685507762,"5.8",5.81031023477529,0.4,"mumax"
11,6.16150974123504,0.71486957982373,"5.9",5.98559579059765,0.4,"mumax"
12,6.31023193863598,0.720262132647485,"6.1",6.16668329662,0.4,"mumax"
13,6.45595041910892,0.724392216747828,"6.3",6.34704945900344,0.4,"mumax"
14,6.59464915899069,0.728780261372665,"6.4",6.51939659481171,0.4,"mumax"
15,6.72350925964966,0.734099717894442,"6.6",6.67636428674148,0.4,"mumax"
16,6.84106277323376,0.740372513475669,"6.8",6.827086614977,0.4,"mumax"
17,6.94685883515507,0.747236766954042,"6.9",6.96208431313513,0.4,"mumax"
18,7.04113640866322,0.754207900469023,"7",7.07882185137503,0.4,"mumax"
19,7.12456497064534,0.760854098024035,"7.1",7.1815477761413,0.4,"mumax"
20,7.19804607430593,0.766866625658407,"7.2",7.27223313537824,0.4,"mumax"
21,7.26257736796628,0.772061399638182,"7.3",7.34752598381819,0.4,"mumax"
22,7.31916759732224,0.776353996110712,"7.4",7.41171424947629,0.4,"mumax"
1,5.13123459192415,0.0843268060523976,"5.1",5.12742216008723,0.6,"mumax"
2,5.17999553784719,0.129602272232196,"5.1",5.16463540926308,0.6,"mumax"
3,5.27707370047748,0.312286399228703,"5.2",5.20471819319352,0.6,"mumax"
4,5.3959487415193,0.488702749605353,"5.2",5.24472605785875,0.6,"mumax"
5,5.52438353278909,0.616246300372251,"5.2",5.30044078984981,0.6,"mumax"
6,5.66645459868984,0.700369163891375,"5.3",5.39598334259819,0.6,"mumax"
7,5.83003602608357,0.749377103788699,"5.4",5.54932363886591,0.6,"mumax"
8,6.01856079914456,0.770512658625809,"5.7",5.76766892428432,0.6,"mumax"
9,6.22506095867779,0.773825477167934,"6",6.0197161231384,0.6,"mumax"
10,6.43465412158156,0.77079319030463,"6.3",6.28838435515249,0.6,"mumax"
11,6.63352645399059,0.769030312664017,"6.5",6.55036604547955,0.6,"mumax"
12,6.81278121084053,0.771911410752719,"6.7",6.78132017185539,0.6,"mumax"
13,6.96876920403306,0.777253560831944,"6.9",6.981771275816,0.6,"mumax"
14,7.10108048215156,0.783558473956827,"7.1",7.14774784344669,0.6,"mumax"
15,7.21136284924546,0.789963884311525,"7.2",7.28276356336008,0.6,"mumax"
16,7.3022911047064,0.795569641612039,"7.4",7.39018073607807,0.6,"mumax"
17,7.3769257964939,0.799703871924516,"7.5",7.47553771184298,0.6,"mumax"
18,7.43824485241708,0.802135134539949,"7.5",7.54269015613322,0.6,"mumax"
19,7.48885845383274,0.802966791895345,"7.6",7.5950415233442,0.6,"mumax"
20,7.53094542273282,0.802445698085378,"7.6",7.63488978497991,0.6,"mumax"
21,7.56628944423484,0.800840941712828,"7.7",7.66389124413985,0.6,"mumax"
22,7.5963309984305,0.798394926550168,"7.7",7.68635005020862,0.6,"mumax"
1,5.1264475783166,0.0900330312027801,"5.1",5.12234088913857,0.8,"mumax"
2,5.19051422269369,0.172708223227343,"5.1",5.16195284948572,0.8,"mumax"
3,5.32210333393725,0.415241368994841,"5.2",5.20887434503863,0.8,"mumax"
4,5.47011480266307,0.609839423873502,"5.2",5.25368057801119,0.8,"mumax"
5,5.62655662030375,0.734910166151306,"5.3",5.32194605624053,0.8,"mumax"
6,5.80720551046161,0.805652267598437,"5.3",5.47025178549212,0.8,"mumax"
7,6.02881796949378,0.830334023037541,"5.6",5.72279695044357,0.8,"mumax"
8,6.28765574404433,0.822688139692204,"5.9",6.06275991832542,0.8,"mumax"
9,6.5528573955162,0.807306421834128,"6.3",6.41476339152684,0.8,"mumax"
10,6.79326104215668,0.800386561643367,"6.6",6.73016952838406,0.8,"mumax"
11,6.99562832687049,0.80232630343541,"6.9",7.00222964832971,0.8,"mumax"
12,7.15832868771065,0.809377057624792,"7.2",7.21208600449138,0.8,"mumax"
13,7.28619616292187,0.814894648320456,"7.3",7.36807941669655,0.8,"mumax"
14,7.38569737511958,0.818149505774194,"7.5",7.48205456053565,0.8,"mumax"
15,7.46265556422457,0.819619450735757,"7.6",7.56855906870531,0.8,"mumax"
16,7.52237875407741,0.819053572384477,"7.6",7.62708945468099,0.8,"mumax"
17,7.56943021187623,0.816477560431877,"7.7",7.66603073807907,0.8,"mumax"
18,7.60727284048741,0.812372345755788,"7.7",7.69247800566531,0.8,"mumax"
19,7.63842121020762,0.807273338007568,"7.7",7.71332428063694,0.8,"mumax"
20,7.66471426839392,0.801584690271612,"7.7",7.72804035017375,0.8,"mumax"
21,7.68748888326313,0.795577645545503,"7.7",7.74083438000148,0.8,"mumax"
22,7.70769679198447,0.789423301941607,"7.7",7.75079542141905,0.8,"mumax"
1,5.12451193041316,0.098271519718379,"5.1",5.11883835654559,1,"mumax"
2,5.20509910118416,0.222477447129911,"5.1",5.16205977105362,1,"mumax"
3,5.36927483251942,0.505884327952242,"5.2",5.21263776646901,1,"mumax"
4,5.54087828817161,0.706196839764758,"5.2",5.26387231327338,1,"mumax"
5,5.72047846627817,0.825608675792166,"5.3",5.35329782856339,1,"mumax"
6,5.93844318720074,0.880546734637782,"5.4",5.56108379564729,1,"mumax"
7,6.22033171735887,0.876853381838899,"5.7",5.92771005716443,1,"mumax"
8,6.53878389898822,0.845193603774796,"6.2",6.36660305117979,1,"mumax"
9,6.83184457581812,0.825180877229608,"6.7",6.76556407251597,1,"mumax"
10,7.0671280158041,0.823296874423626,"7",7.07405738681454,1,"mumax"
11,7.24491357637326,0.828412648162176,"7.2",7.30688550394777,1,"mumax"
12,7.37467243554549,0.834422328863785,"7.4",7.46810631883525,1,"mumax"
13,7.46959863535504,0.8351161122178,"7.6",7.57482019107202,1,"mumax"
14,7.53997249461269,0.832549074926492,"7.6",7.63987249556272,1,"mumax"
15,7.59260154341135,0.82840832565875,"7.7",7.68261052973932,1,"mumax"
16,7.6331441948981,0.822388308048118,"7.7",7.70935172388734,1,"mumax"
17,7.6656973244172,0.814927093638706,"7.7",7.72722354746706,1,"mumax"
18,7.69285206118565,0.806788986985451,"7.7",7.74332855500557,1,"mumax"
19,7.71632042846048,0.798490203991762,"7.7",7.75381513572468,1,"mumax"
20,7.73725291096566,0.790304787660603,"7.7",7.76078573905892,1,"mumax"
21,7.75639146781802,0.782350167815105,"7.7",7.76537066655071,1,"mumax"
