"day","prop_spoiled","adj","param"
1,0,0.4,"mumax"
2,0,0.4,"mumax"
3,0,0.4,"mumax"
4,0,0.4,"mumax"
5,0.002,0.4,"mumax"
6,0.007,0.4,"mumax"
7,0.014,0.4,"mumax"
8,0.022,0.4,"mumax"
9,0.032,0.4,"mumax"
10,0.044,0.4,"mumax"
11,0.05,0.4,"mumax"
12,0.06,0.4,"mumax"
13,0.07,0.4,"mumax"
14,0.078,0.4,"mumax"
15,0.084,0.4,"mumax"
16,0.093,0.4,"mumax"
17,0.103,0.4,"mumax"
18,0.11,0.4,"mumax"
19,0.12,0.4,"mumax"
20,0.131,0.4,"mumax"
21,0.141,0.4,"mumax"
22,0.155,0.4,"mumax"
1,0,0.6,"mumax"
2,0,0.6,"mumax"
3,0,0.6,"mumax"
4,0.003,0.6,"mumax"
5,0.011,0.6,"mumax"
6,0.024,0.6,"mumax"
7,0.041,0.6,"mumax"
8,0.051,0.6,"mumax"
9,0.066,0.6,"mumax"
10,0.08,0.6,"mumax"
11,0.09,0.6,"mumax"
12,0.103,0.6,"mumax"
13,0.115,0.6,"mumax"
14,0.13,0.6,"mumax"
15,0.145,0.6,"mumax"
16,0.165,0.6,"mumax"
17,0.177,0.6,"mumax"
18,0.191,0.6,"mumax"
19,0.206,0.6,"mumax"
20,0.225,0.6,"mumax"
21,0.236,0.6,"mumax"
22,0.245,0.6,"mumax"
1,0,0.8,"mumax"
2,0,0.8,"mumax"
3,0.001,0.8,"mumax"
4,0.011,0.8,"mumax"
5,0.026,0.8,"mumax"
6,0.045,0.8,"mumax"
7,0.063,0.8,"mumax"
8,0.081,0.8,"mumax"
9,0.098,0.8,"mumax"
10,0.112,0.8,"mumax"
11,0.128,0.8,"mumax"
12,0.155,0.8,"mumax"
13,0.17,0.8,"mumax"
14,0.189,0.8,"mumax"
15,0.212,0.8,"mumax"
16,0.231,0.8,"mumax"
17,0.245,0.8,"mumax"
18,0.255,0.8,"mumax"
19,0.268,0.8,"mumax"
20,0.285,0.8,"mumax"
21,0.298,0.8,"mumax"
22,0.304,0.8,"mumax"
1,0,1,"mumax"
2,0,1,"mumax"
3,0.003,1,"mumax"
4,0.022,1,"mumax"
5,0.043,1,"mumax"
6,0.066,1,"mumax"
7,0.085,1,"mumax"
8,0.106,1,"mumax"
9,0.124,1,"mumax"
10,0.155,1,"mumax"
11,0.176,1,"mumax"
12,0.199,1,"mumax"
13,0.227,1,"mumax"
14,0.245,1,"mumax"
15,0.256,1,"mumax"
16,0.277,1,"mumax"
17,0.295,1,"mumax"
18,0.304,1,"mumax"
19,0.32,1,"mumax"
20,0.337,1,"mumax"
21,0.349,1,"mumax"
22,0.362,1,"mumax"
1,0,1.2,"mumax"
2,0,1.2,"mumax"
3,0.01,1.2,"mumax"
4,0.032,1.2,"mumax"
5,0.061,1.2,"mumax"
6,0.085,1.2,"mumax"
7,0.107,1.2,"mumax"
8,0.13,1.2,"mumax"
9,0.164,1.2,"mumax"
10,0.191,1.2,"mumax"
11,0.22,1.2,"mumax"
12,0.242,1.2,"mumax"
13,0.256,1.2,"mumax"
14,0.284,1.2,"mumax"
15,0.3,1.2,"mumax"
16,0.313,1.2,"mumax"
17,0.335,1.2,"mumax"
18,0.35,1.2,"mumax"
19,0.366,1.2,"mumax"
20,0.377,1.2,"mumax"
21,0.391,1.2,"mumax"
22,0.398,1.2,"mumax"
1,0,1.4,"mumax"
2,0,1.4,"mumax"
3,0.014,1.4,"mumax"
4,0.045,1.4,"mumax"
5,0.079,1.4,"mumax"
6,0.103,1.4,"mumax"
7,0.125,1.4,"mumax"
8,0.163,1.4,"mumax"
9,0.197,1.4,"mumax"
10,0.23,1.4,"mumax"
11,0.248,1.4,"mumax"
12,0.272,1.4,"mumax"
13,0.297,1.4,"mumax"
14,0.313,1.4,"mumax"
15,0.337,1.4,"mumax"
16,0.354,1.4,"mumax"
17,0.368,1.4,"mumax"
18,0.387,1.4,"mumax"
19,0.396,1.4,"mumax"
20,0.411,1.4,"mumax"
21,0.423,1.4,"mumax"
22,0.43,1.4,"mumax"
1,0,1.6,"mumax"
2,0,1.6,"mumax"
3,0.023,1.6,"mumax"
4,0.056,1.6,"mumax"
5,0.09,1.6,"mumax"
6,0.115,1.6,"mumax"
7,0.152,1.6,"mumax"
8,0.191,1.6,"mumax"
9,0.226,1.6,"mumax"
10,0.249,1.6,"mumax"
11,0.285,1.6,"mumax"
12,0.305,1.6,"mumax"
13,0.322,1.6,"mumax"
14,0.35,1.6,"mumax"
15,0.368,1.6,"mumax"
16,0.388,1.6,"mumax"
17,0.397,1.6,"mumax"
18,0.413,1.6,"mumax"
19,0.427,1.6,"mumax"
20,0.434,1.6,"mumax"
21,0.443,1.6,"mumax"
22,0.453,1.6,"mumax"
