"day","prop_fail","adj","param"
1,0,0.4,"n0"
2,0,0.4,"n0"
3,0,0.4,"n0"
4,0,0.4,"n0"
5,0,0.4,"n0"
6,0,0.4,"n0"
7,1e-04,0.4,"n0"
8,3e-04,0.4,"n0"
9,6e-04,0.4,"n0"
10,9e-04,0.4,"n0"
11,0.0017,0.4,"n0"
12,0.0027,0.4,"n0"
13,0.0037,0.4,"n0"
14,0.0074,0.4,"n0"
15,0.0138,0.4,"n0"
16,0.0279,0.4,"n0"
17,0.0563,0.4,"n0"
18,0.0884,0.4,"n0"
19,0.1329,0.4,"n0"
20,0.1886,0.4,"n0"
21,0.2593,0.4,"n0"
22,0.3239,0.4,"n0"
1,0,0.6,"n0"
2,0,0.6,"n0"
3,0,0.6,"n0"
4,0,0.6,"n0"
5,0,0.6,"n0"
6,1e-04,0.6,"n0"
7,3e-04,0.6,"n0"
8,5e-04,0.6,"n0"
9,9e-04,0.6,"n0"
10,0.0018,0.6,"n0"
11,0.0029,0.6,"n0"
12,0.0042,0.6,"n0"
13,0.0095,0.6,"n0"
14,0.0189,0.6,"n0"
15,0.0447,0.6,"n0"
16,0.0769,0.6,"n0"
17,0.123,0.6,"n0"
18,0.1811,0.6,"n0"
19,0.2558,0.6,"n0"
20,0.3252,0.6,"n0"
21,0.3896,0.6,"n0"
22,0.4402,0.6,"n0"
1,0,0.8,"n0"
2,0,0.8,"n0"
3,0,0.8,"n0"
4,0,0.8,"n0"
5,1e-04,0.8,"n0"
6,1e-04,0.8,"n0"
7,5e-04,0.8,"n0"
8,9e-04,0.8,"n0"
9,0.0017,0.8,"n0"
10,0.0029,0.8,"n0"
11,0.0053,0.8,"n0"
12,0.0127,0.8,"n0"
13,0.0319,0.8,"n0"
14,0.0657,0.8,"n0"
15,0.1112,0.8,"n0"
16,0.1737,0.8,"n0"
17,0.2524,0.8,"n0"
18,0.3277,0.8,"n0"
19,0.3954,0.8,"n0"
20,0.4481,0.8,"n0"
21,0.4936,0.8,"n0"
22,0.5377,0.8,"n0"
1,0,1,"n0"
2,0,1,"n0"
3,0,1,"n0"
4,0,1,"n0"
5,1e-04,1,"n0"
6,5e-04,1,"n0"
7,9e-04,1,"n0"
8,0.0018,1,"n0"
9,0.0031,1,"n0"
10,0.0075,1,"n0"
11,0.02,1,"n0"
12,0.0537,1,"n0"
13,0.0975,1,"n0"
14,0.1647,1,"n0"
15,0.2503,1,"n0"
16,0.3317,1,"n0"
17,0.4012,1,"n0"
18,0.4583,1,"n0"
19,0.5049,1,"n0"
20,0.5487,1,"n0"
21,0.5849,1,"n0"
22,0.6171,1,"n0"
1,0,1.2,"n0"
2,0,1.2,"n0"
3,0,1.2,"n0"
4,1e-04,1.2,"n0"
5,3e-04,1.2,"n0"
6,9e-04,1.2,"n0"
7,0.0018,1.2,"n0"
8,0.0037,1.2,"n0"
9,0.0116,1.2,"n0"
10,0.0363,1.2,"n0"
11,0.082,1.2,"n0"
12,0.1536,1.2,"n0"
13,0.2461,1.2,"n0"
14,0.3339,1.2,"n0"
15,0.4098,1.2,"n0"
16,0.4668,1.2,"n0"
17,0.5174,1.2,"n0"
18,0.5623,1.2,"n0"
19,0.5977,1.2,"n0"
20,0.6298,1.2,"n0"
21,0.6624,1.2,"n0"
22,0.6867,1.2,"n0"
1,0,1.4,"n0"
2,0,1.4,"n0"
3,0,1.4,"n0"
4,3e-04,1.4,"n0"
5,9e-04,1.4,"n0"
6,0.002,1.4,"n0"
7,0.0044,1.4,"n0"
8,0.0213,1.4,"n0"
9,0.0666,1.4,"n0"
10,0.143,1.4,"n0"
11,0.2424,1.4,"n0"
12,0.3387,1.4,"n0"
13,0.4188,1.4,"n0"
14,0.4783,1.4,"n0"
15,0.531,1.4,"n0"
16,0.577,1.4,"n0"
17,0.6128,1.4,"n0"
18,0.6484,1.4,"n0"
19,0.6784,1.4,"n0"
20,0.7038,1.4,"n0"
21,0.723,1.4,"n0"
22,0.7416,1.4,"n0"
1,0,1.6,"n0"
2,0,1.6,"n0"
3,1e-04,1.6,"n0"
4,9e-04,1.6,"n0"
5,0.0023,1.6,"n0"
6,0.0082,1.6,"n0"
7,0.0483,1.6,"n0"
8,0.1259,1.6,"n0"
9,0.2376,1.6,"n0"
10,0.345,1.6,"n0"
11,0.4286,1.6,"n0"
12,0.4945,1.6,"n0"
13,0.5456,1.6,"n0"
14,0.5937,1.6,"n0"
15,0.6326,1.6,"n0"
16,0.6656,1.6,"n0"
17,0.6956,1.6,"n0"
18,0.7189,1.6,"n0"
19,0.7366,1.6,"n0"
20,0.7546,1.6,"n0"
21,0.7694,1.6,"n0"
22,0.7825,1.6,"n0"
