"day","prop_spoiled","adj","param"
1,0,0.4,"n0"
2,0,0.4,"n0"
3,0,0.4,"n0"
4,0,0.4,"n0"
5,0,0.4,"n0"
6,0,0.4,"n0"
7,0.003,0.4,"n0"
8,0.008,0.4,"n0"
9,0.014,0.4,"n0"
10,0.021,0.4,"n0"
11,0.076,0.4,"n0"
12,0.095,0.4,"n0"
13,0.113,0.4,"n0"
14,0.129,0.4,"n0"
15,0.145,0.4,"n0"
16,0.161,0.4,"n0"
17,0.177,0.4,"n0"
18,0.195,0.4,"n0"
19,0.207,0.4,"n0"
20,0.226,0.4,"n0"
21,0.246,0.4,"n0"
22,0.265,0.4,"n0"
1,0,0.6,"n0"
2,0,0.6,"n0"
3,0,0.6,"n0"
4,0,0.6,"n0"
5,0,0.6,"n0"
6,0.004,0.6,"n0"
7,0.01,0.6,"n0"
8,0.015,0.6,"n0"
9,0.027,0.6,"n0"
10,0.089,0.6,"n0"
11,0.113,0.6,"n0"
12,0.134,0.6,"n0"
13,0.155,0.6,"n0"
14,0.177,0.6,"n0"
15,0.197,0.6,"n0"
16,0.216,0.6,"n0"
17,0.241,0.6,"n0"
18,0.264,0.6,"n0"
19,0.295,0.6,"n0"
20,0.326,0.6,"n0"
21,0.345,0.6,"n0"
22,0.387,0.6,"n0"
1,0,0.8,"n0"
2,0,0.8,"n0"
3,0,0.8,"n0"
4,0,0.8,"n0"
5,0.005,0.8,"n0"
6,0.012,0.8,"n0"
7,0.021,0.8,"n0"
8,0.034,0.8,"n0"
9,0.111,0.8,"n0"
10,0.139,0.8,"n0"
11,0.176,0.8,"n0"
12,0.199,0.8,"n0"
13,0.226,0.8,"n0"
14,0.26,0.8,"n0"
15,0.296,0.8,"n0"
16,0.325,0.8,"n0"
17,0.352,0.8,"n0"
18,0.392,0.8,"n0"
19,0.437,0.8,"n0"
20,0.491,0.8,"n0"
21,0.551,0.8,"n0"
22,0.639,0.8,"n0"
1,0,1,"n0"
2,0,1,"n0"
3,0,1,"n0"
4,0.006,1,"n0"
5,0.015,1,"n0"
6,0.029,1,"n0"
7,0.064,1,"n0"
8,0.149,1,"n0"
9,0.188,1,"n0"
10,0.243,1,"n0"
11,0.284,1,"n0"
12,0.319,1,"n0"
13,0.356,1,"n0"
14,0.392,1,"n0"
15,0.431,1,"n0"
16,0.488,1,"n0"
17,0.546,1,"n0"
18,0.609,1,"n0"
19,0.69,1,"n0"
20,0.759,1,"n0"
21,0.822,1,"n0"
22,0.867,1,"n0"
1,0,1.2,"n0"
2,0,1.2,"n0"
3,0.007,1.2,"n0"
4,0.026,1.2,"n0"
5,0.049,1.2,"n0"
6,0.146,1.2,"n0"
7,0.242,1.2,"n0"
8,0.302,1.2,"n0"
9,0.344,1.2,"n0"
10,0.387,1.2,"n0"
11,0.432,1.2,"n0"
12,0.48,1.2,"n0"
13,0.538,1.2,"n0"
14,0.59,1.2,"n0"
15,0.659,1.2,"n0"
16,0.726,1.2,"n0"
17,0.79,1.2,"n0"
18,0.841,1.2,"n0"
19,0.88,1.2,"n0"
20,0.919,1.2,"n0"
21,0.95,1.2,"n0"
22,0.964,1.2,"n0"
1,0,1.4,"n0"
2,0.032,1.4,"n0"
3,0.128,1.4,"n0"
4,0.24,1.4,"n0"
5,0.345,1.4,"n0"
6,0.407,1.4,"n0"
7,0.457,1.4,"n0"
8,0.505,1.4,"n0"
9,0.546,1.4,"n0"
10,0.596,1.4,"n0"
11,0.654,1.4,"n0"
12,0.702,1.4,"n0"
13,0.769,1.4,"n0"
14,0.812,1.4,"n0"
15,0.86,1.4,"n0"
16,0.896,1.4,"n0"
17,0.932,1.4,"n0"
18,0.965,1.4,"n0"
19,0.974,1.4,"n0"
20,0.975,1.4,"n0"
21,0.975,1.4,"n0"
22,0.976,1.4,"n0"
1,0.997,1.6,"n0"
2,0.997,1.6,"n0"
3,0.997,1.6,"n0"
4,0.997,1.6,"n0"
5,0.998,1.6,"n0"
6,0.999,1.6,"n0"
7,0.999,1.6,"n0"
8,0.999,1.6,"n0"
9,1,1.6,"n0"
10,1,1.6,"n0"
11,1,1.6,"n0"
12,1,1.6,"n0"
13,1,1.6,"n0"
14,1,1.6,"n0"
15,1,1.6,"n0"
16,1,1.6,"n0"
17,1,1.6,"n0"
18,1,1.6,"n0"
19,1,1.6,"n0"
20,1,1.6,"n0"
21,1,1.6,"n0"
22,1,1.6,"n0"
