"day","prop_spoiled","adj","param"
1,0,0.4,"n0"
2,0,0.4,"n0"
3,0,0.4,"n0"
4,0.001,0.4,"n0"
5,0.004,0.4,"n0"
6,0.01,0.4,"n0"
7,0.022,0.4,"n0"
8,0.034,0.4,"n0"
9,0.043,0.4,"n0"
10,0.052,0.4,"n0"
11,0.065,0.4,"n0"
12,0.075,0.4,"n0"
13,0.083,0.4,"n0"
14,0.094,0.4,"n0"
15,0.102,0.4,"n0"
16,0.11,0.4,"n0"
17,0.121,0.4,"n0"
18,0.132,0.4,"n0"
19,0.147,0.4,"n0"
20,0.161,0.4,"n0"
21,0.169,0.4,"n0"
22,0.183,0.4,"n0"
1,0,0.6,"n0"
2,0,0.6,"n0"
3,0,0.6,"n0"
4,0.002,0.6,"n0"
5,0.009,0.6,"n0"
6,0.022,0.6,"n0"
7,0.038,0.6,"n0"
8,0.048,0.6,"n0"
9,0.062,0.6,"n0"
10,0.075,0.6,"n0"
11,0.083,0.6,"n0"
12,0.099,0.6,"n0"
13,0.11,0.6,"n0"
14,0.119,0.6,"n0"
15,0.133,0.6,"n0"
16,0.149,0.6,"n0"
17,0.164,0.6,"n0"
18,0.177,0.6,"n0"
19,0.188,0.6,"n0"
20,0.207,0.6,"n0"
21,0.22,0.6,"n0"
22,0.232,0.6,"n0"
1,0,0.8,"n0"
2,0,0.8,"n0"
3,0.001,0.8,"n0"
4,0.007,0.8,"n0"
5,0.021,0.8,"n0"
6,0.039,0.8,"n0"
7,0.056,0.8,"n0"
8,0.073,0.8,"n0"
9,0.086,0.8,"n0"
10,0.102,0.8,"n0"
11,0.113,0.8,"n0"
12,0.131,0.8,"n0"
13,0.152,0.8,"n0"
14,0.169,0.8,"n0"
15,0.188,0.8,"n0"
16,0.204,0.8,"n0"
17,0.225,0.8,"n0"
18,0.238,0.8,"n0"
19,0.248,0.8,"n0"
20,0.256,0.8,"n0"
21,0.275,0.8,"n0"
22,0.284,0.8,"n0"
1,0,1,"n0"
2,0,1,"n0"
3,0.003,1,"n0"
4,0.022,1,"n0"
5,0.043,1,"n0"
6,0.066,1,"n0"
7,0.085,1,"n0"
8,0.106,1,"n0"
9,0.124,1,"n0"
10,0.155,1,"n0"
11,0.176,1,"n0"
12,0.199,1,"n0"
13,0.227,1,"n0"
14,0.245,1,"n0"
15,0.256,1,"n0"
16,0.277,1,"n0"
17,0.295,1,"n0"
18,0.304,1,"n0"
19,0.32,1,"n0"
20,0.337,1,"n0"
21,0.349,1,"n0"
22,0.362,1,"n0"
1,0,1.2,"n0"
2,0,1.2,"n0"
3,0.019,1.2,"n0"
4,0.052,1.2,"n0"
5,0.086,1.2,"n0"
6,0.112,1.2,"n0"
7,0.146,1.2,"n0"
8,0.18,1.2,"n0"
9,0.215,1.2,"n0"
10,0.245,1.2,"n0"
11,0.272,1.2,"n0"
12,0.293,1.2,"n0"
13,0.318,1.2,"n0"
14,0.345,1.2,"n0"
15,0.364,1.2,"n0"
16,0.376,1.2,"n0"
17,0.394,1.2,"n0"
18,0.407,1.2,"n0"
19,0.422,1.2,"n0"
20,0.431,1.2,"n0"
21,0.437,1.2,"n0"
22,0.45,1.2,"n0"
1,0,1.4,"n0"
2,0.011,1.4,"n0"
3,0.069,1.4,"n0"
4,0.125,1.4,"n0"
5,0.188,1.4,"n0"
6,0.239,1.4,"n0"
7,0.293,1.4,"n0"
8,0.346,1.4,"n0"
9,0.383,1.4,"n0"
10,0.409,1.4,"n0"
11,0.431,1.4,"n0"
12,0.453,1.4,"n0"
13,0.469,1.4,"n0"
14,0.486,1.4,"n0"
15,0.507,1.4,"n0"
16,0.518,1.4,"n0"
17,0.534,1.4,"n0"
18,0.553,1.4,"n0"
19,0.573,1.4,"n0"
20,0.585,1.4,"n0"
21,0.598,1.4,"n0"
22,0.608,1.4,"n0"
1,0.547,1.6,"n0"
2,0.633,1.6,"n0"
3,0.726,1.6,"n0"
4,0.775,1.6,"n0"
5,0.839,1.6,"n0"
6,0.915,1.6,"n0"
7,0.926,1.6,"n0"
8,0.927,1.6,"n0"
9,0.928,1.6,"n0"
10,0.931,1.6,"n0"
11,0.932,1.6,"n0"
12,0.932,1.6,"n0"
13,0.936,1.6,"n0"
14,0.938,1.6,"n0"
15,0.941,1.6,"n0"
16,0.949,1.6,"n0"
17,0.951,1.6,"n0"
18,0.951,1.6,"n0"
19,0.951,1.6,"n0"
20,0.953,1.6,"n0"
21,0.956,1.6,"n0"
22,0.958,1.6,"n0"
