"day","prop_fail","adj","param"
1,0,0.4,"nmax"
2,0,0.4,"nmax"
3,0,0.4,"nmax"
4,0,0.4,"nmax"
5,0,0.4,"nmax"
6,0,0.4,"nmax"
7,0,0.4,"nmax"
8,0,0.4,"nmax"
9,0,0.4,"nmax"
10,0,0.4,"nmax"
11,0,0.4,"nmax"
12,0,0.4,"nmax"
13,0,0.4,"nmax"
14,0,0.4,"nmax"
15,0,0.4,"nmax"
16,0,0.4,"nmax"
17,0,0.4,"nmax"
18,0,0.4,"nmax"
19,0,0.4,"nmax"
20,0,0.4,"nmax"
21,0,0.4,"nmax"
22,0,0.4,"nmax"
1,0,0.6,"nmax"
2,0,0.6,"nmax"
3,0,0.6,"nmax"
4,0,0.6,"nmax"
5,0,0.6,"nmax"
6,0,0.6,"nmax"
7,0,0.6,"nmax"
8,0,0.6,"nmax"
9,0,0.6,"nmax"
10,0,0.6,"nmax"
11,0,0.6,"nmax"
12,0,0.6,"nmax"
13,0,0.6,"nmax"
14,0,0.6,"nmax"
15,0,0.6,"nmax"
16,0,0.6,"nmax"
17,0,0.6,"nmax"
18,0,0.6,"nmax"
19,0,0.6,"nmax"
20,0,0.6,"nmax"
21,0,0.6,"nmax"
22,0,0.6,"nmax"
1,0,0.8,"nmax"
2,0,0.8,"nmax"
3,0,0.8,"nmax"
4,0,0.8,"nmax"
5,0,0.8,"nmax"
6,0,0.8,"nmax"
7,0,0.8,"nmax"
8,0,0.8,"nmax"
9,0,0.8,"nmax"
10,0,0.8,"nmax"
11,0,0.8,"nmax"
12,0,0.8,"nmax"
13,0,0.8,"nmax"
14,0,0.8,"nmax"
15,0,0.8,"nmax"
16,0,0.8,"nmax"
17,0,0.8,"nmax"
18,0,0.8,"nmax"
19,0,0.8,"nmax"
20,0,0.8,"nmax"
21,0,0.8,"nmax"
22,0,0.8,"nmax"
1,0,1,"nmax"
2,0,1,"nmax"
3,0,1,"nmax"
4,0,1,"nmax"
5,0,1,"nmax"
6,0.001,1,"nmax"
7,0.004,1,"nmax"
8,0.009,1,"nmax"
9,0.015,1,"nmax"
10,0.039,1,"nmax"
11,0.053,1,"nmax"
12,0.064,1,"nmax"
13,0.07,1,"nmax"
14,0.075,1,"nmax"
15,0.079,1,"nmax"
16,0.092,1,"nmax"
17,0.102,1,"nmax"
18,0.112,1,"nmax"
19,0.135,1,"nmax"
20,0.152,1,"nmax"
21,0.162,1,"nmax"
22,0.188,1,"nmax"
1,0,1.2,"nmax"
2,0,1.2,"nmax"
3,0,1.2,"nmax"
4,0,1.2,"nmax"
5,0,1.2,"nmax"
6,0.002,1.2,"nmax"
7,0.009,1.2,"nmax"
8,0.014,1.2,"nmax"
9,0.044,1.2,"nmax"
10,0.057,1.2,"nmax"
11,0.066,1.2,"nmax"
12,0.073,1.2,"nmax"
13,0.087,1.2,"nmax"
14,0.107,1.2,"nmax"
15,0.126,1.2,"nmax"
16,0.155,1.2,"nmax"
17,0.19,1.2,"nmax"
18,0.222,1.2,"nmax"
19,0.262,1.2,"nmax"
20,0.278,1.2,"nmax"
21,0.278,1.2,"nmax"
22,0.278,1.2,"nmax"
1,0,1.4,"nmax"
2,0,1.4,"nmax"
3,0,1.4,"nmax"
4,0,1.4,"nmax"
5,0.001,1.4,"nmax"
6,0.004,1.4,"nmax"
7,0.009,1.4,"nmax"
8,0.014,1.4,"nmax"
9,0.045,1.4,"nmax"
10,0.062,1.4,"nmax"
11,0.068,1.4,"nmax"
12,0.083,1.4,"nmax"
13,0.09,1.4,"nmax"
14,0.118,1.4,"nmax"
15,0.144,1.4,"nmax"
16,0.181,1.4,"nmax"
17,0.211,1.4,"nmax"
18,0.249,1.4,"nmax"
19,0.276,1.4,"nmax"
20,0.278,1.4,"nmax"
21,0.278,1.4,"nmax"
22,0.278,1.4,"nmax"
1,0,1.6,"nmax"
2,0,1.6,"nmax"
3,0,1.6,"nmax"
4,0,1.6,"nmax"
5,0.001,1.6,"nmax"
6,0.004,1.6,"nmax"
7,0.009,1.6,"nmax"
8,0.014,1.6,"nmax"
9,0.045,1.6,"nmax"
10,0.062,1.6,"nmax"
11,0.069,1.6,"nmax"
12,0.085,1.6,"nmax"
13,0.094,1.6,"nmax"
14,0.121,1.6,"nmax"
15,0.151,1.6,"nmax"
16,0.187,1.6,"nmax"
17,0.218,1.6,"nmax"
18,0.259,1.6,"nmax"
19,0.278,1.6,"nmax"
20,0.278,1.6,"nmax"
21,0.278,1.6,"nmax"
22,0.279,1.6,"nmax"
