"day","prop_spoiled","adj","param"
1,0,0.4,"nmax"
2,0,0.4,"nmax"
3,0,0.4,"nmax"
4,0,0.4,"nmax"
5,0,0.4,"nmax"
6,0,0.4,"nmax"
7,0,0.4,"nmax"
8,0,0.4,"nmax"
9,0,0.4,"nmax"
10,0,0.4,"nmax"
11,0,0.4,"nmax"
12,0,0.4,"nmax"
13,0,0.4,"nmax"
14,0,0.4,"nmax"
15,0,0.4,"nmax"
16,0,0.4,"nmax"
17,0,0.4,"nmax"
18,0,0.4,"nmax"
19,0,0.4,"nmax"
20,0,0.4,"nmax"
21,0,0.4,"nmax"
22,0,0.4,"nmax"
1,0,0.6,"nmax"
2,0,0.6,"nmax"
3,0,0.6,"nmax"
4,0,0.6,"nmax"
5,0,0.6,"nmax"
6,0,0.6,"nmax"
7,0,0.6,"nmax"
8,0,0.6,"nmax"
9,0,0.6,"nmax"
10,0,0.6,"nmax"
11,0,0.6,"nmax"
12,0,0.6,"nmax"
13,0,0.6,"nmax"
14,0,0.6,"nmax"
15,0,0.6,"nmax"
16,0,0.6,"nmax"
17,0,0.6,"nmax"
18,0,0.6,"nmax"
19,0,0.6,"nmax"
20,0,0.6,"nmax"
21,0,0.6,"nmax"
22,0,0.6,"nmax"
1,0,0.8,"nmax"
2,0,0.8,"nmax"
3,0,0.8,"nmax"
4,0,0.8,"nmax"
5,0,0.8,"nmax"
6,0,0.8,"nmax"
7,0,0.8,"nmax"
8,0,0.8,"nmax"
9,0,0.8,"nmax"
10,0,0.8,"nmax"
11,0,0.8,"nmax"
12,0,0.8,"nmax"
13,0,0.8,"nmax"
14,0,0.8,"nmax"
15,0,0.8,"nmax"
16,0,0.8,"nmax"
17,0,0.8,"nmax"
18,0,0.8,"nmax"
19,0,0.8,"nmax"
20,0,0.8,"nmax"
21,0,0.8,"nmax"
22,0,0.8,"nmax"
1,0,1,"nmax"
2,0,1,"nmax"
3,0.001,1,"nmax"
4,0.007,1,"nmax"
5,0.016,1,"nmax"
6,0.058,1,"nmax"
7,0.099,1,"nmax"
8,0.13,1,"nmax"
9,0.181,1,"nmax"
10,0.335,1,"nmax"
11,0.699,1,"nmax"
12,0.937,1,"nmax"
13,0.939,1,"nmax"
14,0.944,1,"nmax"
15,0.947,1,"nmax"
16,0.947,1,"nmax"
17,0.947,1,"nmax"
18,0.948,1,"nmax"
19,0.951,1,"nmax"
20,0.953,1,"nmax"
21,0.954,1,"nmax"
22,0.955,1,"nmax"
1,0,1.2,"nmax"
2,0,1.2,"nmax"
3,0.003,1.2,"nmax"
4,0.009,1.2,"nmax"
5,0.026,1.2,"nmax"
6,0.072,1.2,"nmax"
7,0.144,1.2,"nmax"
8,0.546,1.2,"nmax"
9,0.937,1.2,"nmax"
10,0.94,1.2,"nmax"
11,0.942,1.2,"nmax"
12,0.946,1.2,"nmax"
13,0.95,1.2,"nmax"
14,0.952,1.2,"nmax"
15,0.952,1.2,"nmax"
16,0.953,1.2,"nmax"
17,0.957,1.2,"nmax"
18,0.958,1.2,"nmax"
19,0.959,1.2,"nmax"
20,0.96,1.2,"nmax"
21,0.96,1.2,"nmax"
22,0.962,1.2,"nmax"
1,0,1.4,"nmax"
2,0,1.4,"nmax"
3,0.003,1.4,"nmax"
4,0.009,1.4,"nmax"
5,0.027,1.4,"nmax"
6,0.073,1.4,"nmax"
7,0.165,1.4,"nmax"
8,0.68,1.4,"nmax"
9,0.937,1.4,"nmax"
10,0.941,1.4,"nmax"
11,0.945,1.4,"nmax"
12,0.948,1.4,"nmax"
13,0.951,1.4,"nmax"
14,0.952,1.4,"nmax"
15,0.952,1.4,"nmax"
16,0.954,1.4,"nmax"
17,0.958,1.4,"nmax"
18,0.959,1.4,"nmax"
19,0.959,1.4,"nmax"
20,0.96,1.4,"nmax"
21,0.962,1.4,"nmax"
22,0.962,1.4,"nmax"
1,0,1.6,"nmax"
2,0,1.6,"nmax"
3,0.003,1.6,"nmax"
4,0.009,1.6,"nmax"
5,0.027,1.6,"nmax"
6,0.073,1.6,"nmax"
7,0.167,1.6,"nmax"
8,0.696,1.6,"nmax"
9,0.937,1.6,"nmax"
10,0.941,1.6,"nmax"
11,0.945,1.6,"nmax"
12,0.948,1.6,"nmax"
13,0.951,1.6,"nmax"
14,0.952,1.6,"nmax"
15,0.952,1.6,"nmax"
16,0.954,1.6,"nmax"
17,0.958,1.6,"nmax"
18,0.959,1.6,"nmax"
19,0.959,1.6,"nmax"
20,0.96,1.6,"nmax"
21,0.962,1.6,"nmax"
22,0.962,1.6,"nmax"
