"day","prop_spoiled","adj","param"
1,0,0.4,"nmax"
2,0,0.4,"nmax"
3,0,0.4,"nmax"
4,0,0.4,"nmax"
5,0,0.4,"nmax"
6,0,0.4,"nmax"
7,0,0.4,"nmax"
8,0,0.4,"nmax"
9,0,0.4,"nmax"
10,0,0.4,"nmax"
11,0,0.4,"nmax"
12,0,0.4,"nmax"
13,0,0.4,"nmax"
14,0,0.4,"nmax"
15,0,0.4,"nmax"
16,0,0.4,"nmax"
17,0,0.4,"nmax"
18,0,0.4,"nmax"
19,0,0.4,"nmax"
20,0,0.4,"nmax"
21,0,0.4,"nmax"
22,0,0.4,"nmax"
1,0,0.6,"nmax"
2,0,0.6,"nmax"
3,0,0.6,"nmax"
4,0,0.6,"nmax"
5,0,0.6,"nmax"
6,0,0.6,"nmax"
7,0,0.6,"nmax"
8,0,0.6,"nmax"
9,0,0.6,"nmax"
10,0,0.6,"nmax"
11,0,0.6,"nmax"
12,0,0.6,"nmax"
13,0,0.6,"nmax"
14,0,0.6,"nmax"
15,0,0.6,"nmax"
16,0,0.6,"nmax"
17,0,0.6,"nmax"
18,0,0.6,"nmax"
19,0,0.6,"nmax"
20,0,0.6,"nmax"
21,0,0.6,"nmax"
22,0,0.6,"nmax"
1,0,0.8,"nmax"
2,0,0.8,"nmax"
3,0,0.8,"nmax"
4,0,0.8,"nmax"
5,0,0.8,"nmax"
6,0,0.8,"nmax"
7,0,0.8,"nmax"
8,0,0.8,"nmax"
9,0,0.8,"nmax"
10,0,0.8,"nmax"
11,0,0.8,"nmax"
12,0,0.8,"nmax"
13,0,0.8,"nmax"
14,0,0.8,"nmax"
15,0,0.8,"nmax"
16,0,0.8,"nmax"
17,0,0.8,"nmax"
18,0,0.8,"nmax"
19,0,0.8,"nmax"
20,0,0.8,"nmax"
21,0,0.8,"nmax"
22,0,0.8,"nmax"
1,0,1,"nmax"
2,0,1,"nmax"
3,0.003,1,"nmax"
4,0.022,1,"nmax"
5,0.043,1,"nmax"
6,0.066,1,"nmax"
7,0.085,1,"nmax"
8,0.106,1,"nmax"
9,0.124,1,"nmax"
10,0.155,1,"nmax"
11,0.176,1,"nmax"
12,0.199,1,"nmax"
13,0.227,1,"nmax"
14,0.245,1,"nmax"
15,0.256,1,"nmax"
16,0.277,1,"nmax"
17,0.295,1,"nmax"
18,0.304,1,"nmax"
19,0.32,1,"nmax"
20,0.337,1,"nmax"
21,0.349,1,"nmax"
22,0.362,1,"nmax"
1,0,1.2,"nmax"
2,0,1.2,"nmax"
3,0.011,1.2,"nmax"
4,0.041,1.2,"nmax"
5,0.072,1.2,"nmax"
6,0.099,1.2,"nmax"
7,0.124,1.2,"nmax"
8,0.151,1.2,"nmax"
9,0.178,1.2,"nmax"
10,0.204,1.2,"nmax"
11,0.293,1.2,"nmax"
12,0.685,1.2,"nmax"
13,0.837,1.2,"nmax"
14,0.841,1.2,"nmax"
15,0.846,1.2,"nmax"
16,0.849,1.2,"nmax"
17,0.852,1.2,"nmax"
18,0.854,1.2,"nmax"
19,0.857,1.2,"nmax"
20,0.862,1.2,"nmax"
21,0.866,1.2,"nmax"
22,0.87,1.2,"nmax"
1,0,1.4,"nmax"
2,0,1.4,"nmax"
3,0.014,1.4,"nmax"
4,0.045,1.4,"nmax"
5,0.074,1.4,"nmax"
6,0.102,1.4,"nmax"
7,0.128,1.4,"nmax"
8,0.158,1.4,"nmax"
9,0.184,1.4,"nmax"
10,0.214,1.4,"nmax"
11,0.401,1.4,"nmax"
12,0.836,1.4,"nmax"
13,0.84,1.4,"nmax"
14,0.847,1.4,"nmax"
15,0.851,1.4,"nmax"
16,0.861,1.4,"nmax"
17,0.865,1.4,"nmax"
18,0.869,1.4,"nmax"
19,0.876,1.4,"nmax"
20,0.88,1.4,"nmax"
21,0.884,1.4,"nmax"
22,0.885,1.4,"nmax"
1,0,1.6,"nmax"
2,0,1.6,"nmax"
3,0.014,1.6,"nmax"
4,0.045,1.6,"nmax"
5,0.075,1.6,"nmax"
6,0.102,1.6,"nmax"
7,0.13,1.6,"nmax"
8,0.158,1.6,"nmax"
9,0.186,1.6,"nmax"
10,0.216,1.6,"nmax"
11,0.423,1.6,"nmax"
12,0.836,1.6,"nmax"
13,0.84,1.6,"nmax"
14,0.848,1.6,"nmax"
15,0.855,1.6,"nmax"
16,0.864,1.6,"nmax"
17,0.866,1.6,"nmax"
18,0.872,1.6,"nmax"
19,0.877,1.6,"nmax"
20,0.881,1.6,"nmax"
21,0.885,1.6,"nmax"
22,0.885,1.6,"nmax"
