"day","prop_spoiled","variance","adj","param"
1,0,0.0306831536085193,1,"no_of_strains"
2,0,0.0538839233887753,1,"no_of_strains"
3,0,0.102524336887304,1,"no_of_strains"
4,0,0.193158043942082,1,"no_of_strains"
5,0,0.352600718236065,1,"no_of_strains"
6,0,0.608440426157879,1,"no_of_strains"
7,0,0.960911407788846,1,"no_of_strains"
8,0.002,1.37547359734223,1,"no_of_strains"
9,0.016,1.76962965277828,1,"no_of_strains"
10,0.034,2.08362928405052,1,"no_of_strains"
11,0.044,2.30926080816774,1,"no_of_strains"
12,0.062,2.459022695616,1,"no_of_strains"
13,0.066,2.54263715535342,1,"no_of_strains"
14,0.077,2.5781598027475,1,"no_of_strains"
15,0.082,2.57658465208541,1,"no_of_strains"
16,0.095,2.5479377351622,1,"no_of_strains"
17,0.099,2.50571840933385,1,"no_of_strains"
18,0.132,2.465419887293,1,"no_of_strains"
19,0.212,2.43766682561319,1,"no_of_strains"
20,0.27,2.42406989361087,1,"no_of_strains"
21,0.328,2.41958577863967,1,"no_of_strains"
22,0.376,2.41749568065341,1,"no_of_strains"
1,0,0.0124630366683189,2,"no_of_strains"
2,0,0.0227308861763506,2,"no_of_strains"
3,0,0.0616614902100246,2,"no_of_strains"
4,0,0.154734692627159,2,"no_of_strains"
5,0.001,0.313323840709314,2,"no_of_strains"
6,0.003,0.562480622074619,2,"no_of_strains"
7,0.003,0.947634316791278,2,"no_of_strains"
8,0.003,1.46222582482767,2,"no_of_strains"
9,0.011,1.97106431182285,2,"no_of_strains"
10,0.081,2.37031495725404,2,"no_of_strains"
11,0.11,2.62237925988871,2,"no_of_strains"
12,0.135,2.72041056869008,2,"no_of_strains"
13,0.161,2.69137199075705,2,"no_of_strains"
14,0.185,2.5640577443912,2,"no_of_strains"
15,0.203,2.36205843133126,2,"no_of_strains"
16,0.219,2.10833789467175,2,"no_of_strains"
17,0.243,1.82709422340955,2,"no_of_strains"
18,0.269,1.54816552729465,2,"no_of_strains"
19,0.296,1.30481008846943,2,"no_of_strains"
20,0.327,1.11745468212252,2,"no_of_strains"
21,0.368,0.986009821378306,2,"no_of_strains"
22,0.41,0.89905726230358,2,"no_of_strains"
1,0,0.0109026249727809,3,"no_of_strains"
2,0,0.0266436074702801,3,"no_of_strains"
3,0,0.0869873958351966,3,"no_of_strains"
4,0,0.223827328323437,3,"no_of_strains"
5,0.001,0.432285334558345,3,"no_of_strains"
6,0.006,0.712942145138954,3,"no_of_strains"
7,0.014,1.10142692368529,3,"no_of_strains"
8,0.017,1.60869883176122,3,"no_of_strains"
9,0.02,2.11398172379133,3,"no_of_strains"
10,0.094,2.50930185268793,3,"no_of_strains"
11,0.124,2.75349833364174,3,"no_of_strains"
12,0.152,2.83811190838797,3,"no_of_strains"
13,0.174,2.78266304942053,3,"no_of_strains"
14,0.203,2.61568558569087,3,"no_of_strains"
15,0.219,2.36440845154149,3,"no_of_strains"
16,0.246,2.05446948091148,3,"no_of_strains"
17,0.271,1.71000937102576,3,"no_of_strains"
18,0.294,1.35991395089182,3,"no_of_strains"
19,0.322,1.04091932757612,3,"no_of_strains"
20,0.348,0.782245730326419,3,"no_of_strains"
21,0.37,0.590674898424546,3,"no_of_strains"
22,0.411,0.457294924696367,3,"no_of_strains"
1,0,0.0109026249727809,3,"no_of_strains"
2,0,0.0266436074702801,3,"no_of_strains"
3,0,0.0869873958351966,3,"no_of_strains"
4,0,0.223827328323437,3,"no_of_strains"
5,0.001,0.432285334558345,3,"no_of_strains"
6,0.006,0.712942145138954,3,"no_of_strains"
7,0.014,1.10142692368529,3,"no_of_strains"
8,0.017,1.60869883176122,3,"no_of_strains"
9,0.02,2.11398172379133,3,"no_of_strains"
10,0.094,2.50930185268793,3,"no_of_strains"
11,0.124,2.75349833364174,3,"no_of_strains"
12,0.152,2.83811190838797,3,"no_of_strains"
13,0.174,2.78266304942053,3,"no_of_strains"
14,0.203,2.61568558569087,3,"no_of_strains"
15,0.219,2.36440845154149,3,"no_of_strains"
16,0.246,2.05446948091148,3,"no_of_strains"
17,0.271,1.71000937102576,3,"no_of_strains"
18,0.294,1.35991395089182,3,"no_of_strains"
19,0.322,1.04091932757612,3,"no_of_strains"
20,0.348,0.782245730326419,3,"no_of_strains"
21,0.37,0.590674898424546,3,"no_of_strains"
22,0.411,0.457294924696367,3,"no_of_strains"
1,0,0.0091315641141189,4,"no_of_strains"
2,0,0.0271779834986075,4,"no_of_strains"
3,0,0.10361569307878,4,"no_of_strains"
4,0,0.277801915714557,4,"no_of_strains"
5,0.001,0.533448432287136,4,"no_of_strains"
6,0.008,0.843776287888396,4,"no_of_strains"
7,0.015,1.22446423436379,4,"no_of_strains"
8,0.025,1.70336992343152,4,"no_of_strains"
9,0.04,2.17667281792166,4,"no_of_strains"
10,0.102,2.54182514695904,4,"no_of_strains"
11,0.133,2.77445705441161,4,"no_of_strains"
12,0.153,2.86290500958091,4,"no_of_strains"
13,0.182,2.81399265454737,4,"no_of_strains"
14,0.202,2.64974823110428,4,"no_of_strains"
15,0.226,2.39523060449184,4,"no_of_strains"
16,0.249,2.08052951471941,4,"no_of_strains"
17,0.27,1.73644132960219,4,"no_of_strains"
18,0.297,1.39096670777163,4,"no_of_strains"
19,0.327,1.07210140382263,4,"no_of_strains"
20,0.347,0.804804831889802,4,"no_of_strains"
21,0.365,0.599081362352386,4,"no_of_strains"
22,0.4,0.450542394477035,4,"no_of_strains"
1,0,0.00711121512264511,5,"no_of_strains"
2,0,0.0289828042431886,5,"no_of_strains"
3,0,0.134615644573219,5,"no_of_strains"
4,0,0.375569256174059,5,"no_of_strains"
5,0.001,0.706748394708265,5,"no_of_strains"
6,0.015,1.06957592982521,5,"no_of_strains"
7,0.032,1.45198668657386,5,"no_of_strains"
8,0.047,1.87444056238369,5,"no_of_strains"
9,0.063,2.2898772869969,5,"no_of_strains"
10,0.109,2.62153631598727,5,"no_of_strains"
11,0.134,2.84050096015803,5,"no_of_strains"
12,0.158,2.92815160057769,5,"no_of_strains"
13,0.178,2.88097706306242,5,"no_of_strains"
14,0.202,2.71631663213873,5,"no_of_strains"
15,0.232,2.4607864029074,5,"no_of_strains"
16,0.248,2.14529127240433,5,"no_of_strains"
17,0.273,1.80271290878412,5,"no_of_strains"
18,0.297,1.46349864673494,5,"no_of_strains"
19,0.325,1.15299883213987,5,"no_of_strains"
20,0.349,0.889922616092327,5,"no_of_strains"
21,0.365,0.681813781641526,5,"no_of_strains"
22,0.4,0.526513124974136,5,"no_of_strains"
1,0,0.00440448574061742,6,"no_of_strains"
2,0,0.0289014553970314,6,"no_of_strains"
3,0,0.167971734298755,6,"no_of_strains"
4,0,0.498724806061148,6,"no_of_strains"
5,0.002,0.931983221615401,6,"no_of_strains"
6,0.028,1.37085357452249,6,"no_of_strains"
7,0.053,1.77673463297059,6,"no_of_strains"
8,0.075,2.14741216210838,6,"no_of_strains"
9,0.097,2.48485777278076,6,"no_of_strains"
10,0.121,2.77143594951007,6,"no_of_strains"
11,0.14,2.97663996155377,6,"no_of_strains"
12,0.171,3.07332196607025,6,"no_of_strains"
13,0.187,3.04344727921025,6,"no_of_strains"
14,0.214,2.88809826077507,6,"no_of_strains"
15,0.233,2.62896831161116,6,"no_of_strains"
16,0.256,2.30231276726243,6,"no_of_strains"
17,0.282,1.94927191123835,6,"no_of_strains"
18,0.308,1.60541289377912,6,"no_of_strains"
19,0.338,1.29420775002054,6,"no_of_strains"
20,0.356,1.02782541624554,6,"no_of_strains"
21,0.373,0.81130643665779,6,"no_of_strains"
22,0.415,0.644597237910759,6,"no_of_strains"
1,0,0.0123383592964536,"baseline","no_of_strains"
2,0,0.0286028166389026,"baseline","no_of_strains"
3,0,0.0905141045328838,"baseline","no_of_strains"
4,0,0.233856249578078,"baseline","no_of_strains"
5,0,0.448136958216589,"baseline","no_of_strains"
6,0.005,0.728201229534509,"baseline","no_of_strains"
7,0.011,1.10200651316495,"baseline","no_of_strains"
8,0.015,1.5777644568009,"baseline","no_of_strains"
9,0.032,2.05216085339672,"baseline","no_of_strains"
10,0.094,2.42171148420717,"baseline","no_of_strains"
11,0.117,2.66257472873732,"baseline","no_of_strains"
