"day","mean","sd_total_count","mode","median","adj","param"
1,5.13067145075358,0.100697379727473,"5.1",5.12549491215969,0.4,"fastest_strain_s12_0141"
2,5.21691093433878,0.229687849742171,"5.1",5.17158894744684,0.4,"fastest_strain_s12_0141"
3,5.39080579792772,0.51958510017688,"5.2",5.22348576214394,0.4,"fastest_strain_s12_0141"
4,5.56732924072974,0.725422461888681,"5.2",5.27412255343435,0.4,"fastest_strain_s12_0141"
5,5.74075081006797,0.850809019686054,"5.3",5.35099771892093,0.4,"fastest_strain_s12_0141"
6,5.9367303966647,0.916493929230814,"5.3",5.5272788910499,0.4,"fastest_strain_s12_0141"
7,6.18177228099337,0.930833932949312,"5.7",5.86404809359405,0.4,"fastest_strain_s12_0141"
8,6.45942486978012,0.92343056556679,"6.2",6.28976697632467,0.4,"fastest_strain_s12_0141"
9,6.71962731385935,0.926094622170764,"6.7",6.68909050527069,0.4,"fastest_strain_s12_0141"
10,6.9342555722441,0.938960229249995,"7",7.01834562728068,0.4,"fastest_strain_s12_0141"
11,7.10224071716549,0.951821633405276,"7.2",7.26654947404668,0.4,"fastest_strain_s12_0141"
12,7.22998944000139,0.959230566203987,"7.4",7.43751922291826,0.4,"fastest_strain_s12_0141"
13,7.3267607444563,0.960878151298514,"7.5",7.55225282125587,0.4,"fastest_strain_s12_0141"
14,7.39986124874682,0.959890759081014,"7.6",7.62528544875066,0.4,"fastest_strain_s12_0141"
15,7.45623380409269,0.955568265025014,"7.7",7.67662063355484,0.4,"fastest_strain_s12_0141"
16,7.5013912835747,0.94801070287439,"7.7",7.70650831333022,0.4,"fastest_strain_s12_0141"
17,7.53902281915133,0.93831952043676,"7.7",7.72662232377423,0.4,"fastest_strain_s12_0141"
18,7.57142102866418,0.927744480670093,"7.7",7.74287372139059,0.4,"fastest_strain_s12_0141"
19,7.60006288213069,0.917107410534579,"7.7",7.75372466335662,0.4,"fastest_strain_s12_0141"
20,7.62595764570917,0.906784358729864,"7.8",7.76071371634245,0.4,"fastest_strain_s12_0141"
21,7.64979068572804,0.896879113097969,"7.8",7.76537066655071,0.4,"fastest_strain_s12_0141"
22,7.672017124535,0.887366387677065,"7.8",7.76989368918978,0.4,"fastest_strain_s12_0141"
1,5.11824038563712,0.102244603520048,"5.1",5.1120524057677,0.4,"highest_nmax_s12_0132"
2,5.19252153755162,0.223818374222505,"5.1",5.14651843738678,0.4,"highest_nmax_s12_0132"
3,5.33905219877471,0.492308454997567,"5.1",5.19219468132977,0.4,"highest_nmax_s12_0132"
4,5.49456265097569,0.677760962064087,"5.2",5.24295082016218,0.4,"highest_nmax_s12_0132"
5,5.6655107972213,0.790766414218383,"5.2",5.32966938440138,0.4,"highest_nmax_s12_0132"
6,5.88391752596828,0.84345378031752,"5.4",5.54611825805637,0.4,"highest_nmax_s12_0132"
7,6.17488092003111,0.840474271988092,"5.7",5.91528596841206,0.4,"highest_nmax_s12_0132"
8,6.5059127463371,0.812762566623248,"6.2",6.36542056869291,0.4,"highest_nmax_s12_0132"
9,6.81039084842854,0.798290012568527,"6.7",6.7694141736572,0.4,"highest_nmax_s12_0132"
10,7.05512239909515,0.800435400102448,"7",7.07956979525518,0.4,"highest_nmax_s12_0132"
11,7.23713534216343,0.812260255968548,"7.3",7.30753929544686,0.4,"highest_nmax_s12_0132"
12,7.3688709464472,0.821423186261717,"7.5",7.46641568237911,0.4,"highest_nmax_s12_0132"
13,7.46564901434463,0.822588956598276,"7.6",7.57212751991957,0.4,"highest_nmax_s12_0132"
14,7.53783220605601,0.818405953737888,"7.6",7.63818601945874,0.4,"highest_nmax_s12_0132"
15,7.59252659517187,0.810710985040524,"7.7",7.68054039908268,0.4,"highest_nmax_s12_0132"
16,7.63525238808755,0.800242503916693,"7.7",7.7082598583757,0.4,"highest_nmax_s12_0132"
17,7.67001783190336,0.788424012291712,"7.7",7.72639672903537,0.4,"highest_nmax_s12_0132"
18,7.69920925912837,0.776529835132552,"7.7",7.74279340460779,0.4,"highest_nmax_s12_0132"
19,7.72433663954389,0.765132694987873,"7.7",7.75331695497743,0.4,"highest_nmax_s12_0132"
20,7.74649078732729,0.754357954315075,"7.7",7.76047561871189,0.4,"highest_nmax_s12_0132"
21,7.76645069419753,0.744195212207888,"7.7",7.76469457797508,0.4,"highest_nmax_s12_0132"
22,7.78474339934353,0.734616996343009,"7.7",7.76758045610608,0.4,"highest_nmax_s12_0132"
1,5.12800696158801,0.100855283533243,"5.1",5.12145190755139,0.6,"fastest_strain_s12_0141"
2,5.21150651838915,0.228296672021233,"5.1",5.16728596828323,0.6,"fastest_strain_s12_0141"
3,5.38070727987469,0.511753366853905,"5.2",5.21876746394429,0.6,"fastest_strain_s12_0141"
4,5.55613582014069,0.716267967857611,"5.2",5.27128496447995,0.6,"fastest_strain_s12_0141"
5,5.73338483537741,0.840138690390735,"5.3",5.35408584765061,0.6,"fastest_strain_s12_0141"
6,5.94016288493469,0.900974267874767,"5.4",5.54948586934451,0.6,"fastest_strain_s12_0141"
7,6.20297907850284,0.906425274277778,"5.7",5.90022918925167,0.6,"fastest_strain_s12_0141"
