"day","prop_spoiled","adj","param"
1,0,0.4,"fastest_strain_s12_0141"
2,0,0.4,"fastest_strain_s12_0141"
3,0.004,0.4,"fastest_strain_s12_0141"
4,0.023,0.4,"fastest_strain_s12_0141"
5,0.045,0.4,"fastest_strain_s12_0141"
6,0.07,0.4,"fastest_strain_s12_0141"
7,0.091,0.4,"fastest_strain_s12_0141"
8,0.114,0.4,"fastest_strain_s12_0141"
9,0.132,0.4,"fastest_strain_s12_0141"
10,0.164,0.4,"fastest_strain_s12_0141"
11,0.187,0.4,"fastest_strain_s12_0141"
12,0.206,0.4,"fastest_strain_s12_0141"
13,0.234,0.4,"fastest_strain_s12_0141"
14,0.256,0.4,"fastest_strain_s12_0141"
15,0.265,0.4,"fastest_strain_s12_0141"
16,0.288,0.4,"fastest_strain_s12_0141"
17,0.305,0.4,"fastest_strain_s12_0141"
18,0.315,0.4,"fastest_strain_s12_0141"
19,0.33,0.4,"fastest_strain_s12_0141"
20,0.344,0.4,"fastest_strain_s12_0141"
21,0.352,0.4,"fastest_strain_s12_0141"
22,0.368,0.4,"fastest_strain_s12_0141"
1,0,0.4,"highest_nmax_s12_0132"
2,0,0.4,"highest_nmax_s12_0132"
3,0.002,0.4,"highest_nmax_s12_0132"
4,0.022,0.4,"highest_nmax_s12_0132"
5,0.037,0.4,"highest_nmax_s12_0132"
6,0.06,0.4,"highest_nmax_s12_0132"
7,0.072,0.4,"highest_nmax_s12_0132"
8,0.089,0.4,"highest_nmax_s12_0132"
9,0.105,0.4,"highest_nmax_s12_0132"
10,0.134,0.4,"highest_nmax_s12_0132"
11,0.155,0.4,"highest_nmax_s12_0132"
12,0.173,0.4,"highest_nmax_s12_0132"
13,0.198,0.4,"highest_nmax_s12_0132"
14,0.217,0.4,"highest_nmax_s12_0132"
15,0.227,0.4,"highest_nmax_s12_0132"
16,0.243,0.4,"highest_nmax_s12_0132"
17,0.264,0.4,"highest_nmax_s12_0132"
18,0.273,0.4,"highest_nmax_s12_0132"
19,0.289,0.4,"highest_nmax_s12_0132"
20,0.303,0.4,"highest_nmax_s12_0132"
21,0.315,0.4,"highest_nmax_s12_0132"
22,0.326,0.4,"highest_nmax_s12_0132"
1,0,0.6,"fastest_strain_s12_0141"
2,0,0.6,"fastest_strain_s12_0141"
3,0.004,0.6,"fastest_strain_s12_0141"
4,0.022,0.6,"fastest_strain_s12_0141"
5,0.043,0.6,"fastest_strain_s12_0141"
6,0.068,0.6,"fastest_strain_s12_0141"
7,0.088,0.6,"fastest_strain_s12_0141"
8,0.11,0.6,"fastest_strain_s12_0141"
9,0.129,0.6,"fastest_strain_s12_0141"
10,0.161,0.6,"fastest_strain_s12_0141"
11,0.183,0.6,"fastest_strain_s12_0141"
12,0.204,0.6,"fastest_strain_s12_0141"
13,0.23,0.6,"fastest_strain_s12_0141"
14,0.251,0.6,"fastest_strain_s12_0141"
15,0.262,0.6,"fastest_strain_s12_0141"
16,0.285,0.6,"fastest_strain_s12_0141"
17,0.302,0.6,"fastest_strain_s12_0141"
18,0.31,0.6,"fastest_strain_s12_0141"
19,0.325,0.6,"fastest_strain_s12_0141"
20,0.34,0.6,"fastest_strain_s12_0141"
21,0.349,0.6,"fastest_strain_s12_0141"
22,0.364,0.6,"fastest_strain_s12_0141"
1,0,0.6,"highest_nmax_s12_0132"
2,0,0.6,"highest_nmax_s12_0132"
3,0.003,0.6,"highest_nmax_s12_0132"
4,0.024,0.6,"highest_nmax_s12_0132"
5,0.043,0.6,"highest_nmax_s12_0132"
6,0.067,0.6,"highest_nmax_s12_0132"
7,0.081,0.6,"highest_nmax_s12_0132"
8,0.102,0.6,"highest_nmax_s12_0132"
9,0.119,0.6,"highest_nmax_s12_0132"
10,0.147,0.6,"highest_nmax_s12_0132"
11,0.169,0.6,"highest_nmax_s12_0132"
12,0.19,0.6,"highest_nmax_s12_0132"
13,0.217,0.6,"highest_nmax_s12_0132"
14,0.239,0.6,"highest_nmax_s12_0132"
15,0.25,0.6,"highest_nmax_s12_0132"
16,0.269,0.6,"highest_nmax_s12_0132"
17,0.287,0.6,"highest_nmax_s12_0132"
18,0.297,0.6,"highest_nmax_s12_0132"
19,0.314,0.6,"highest_nmax_s12_0132"
20,0.327,0.6,"highest_nmax_s12_0132"
21,0.338,0.6,"highest_nmax_s12_0132"
22,0.348,0.6,"highest_nmax_s12_0132"
1,0,0.8,"fastest_strain_s12_0141"
2,0,0.8,"fastest_strain_s12_0141"
3,0.004,0.8,"fastest_strain_s12_0141"
4,0.022,0.8,"fastest_strain_s12_0141"
5,0.044,0.8,"fastest_strain_s12_0141"
6,0.068,0.8,"fastest_strain_s12_0141"
7,0.088,0.8,"fastest_strain_s12_0141"
8,0.11,0.8,"fastest_strain_s12_0141"
9,0.128,0.8,"fastest_strain_s12_0141"
10,0.16,0.8,"fastest_strain_s12_0141"
11,0.181,0.8,"fastest_strain_s12_0141"
12,0.203,0.8,"fastest_strain_s12_0141"
13,0.23,0.8,"fastest_strain_s12_0141"
14,0.25,0.8,"fastest_strain_s12_0141"
15,0.261,0.8,"fastest_strain_s12_0141"
16,0.282,0.8,"fastest_strain_s12_0141"
17,0.3,0.8,"fastest_strain_s12_0141"
18,0.308,0.8,"fastest_strain_s12_0141"
19,0.321,0.8,"fastest_strain_s12_0141"
20,0.338,0.8,"fastest_strain_s12_0141"
21,0.349,0.8,"fastest_strain_s12_0141"
22,0.363,0.8,"fastest_strain_s12_0141"
1,0,0.8,"highest_nmax_s12_0132"
2,0,0.8,"highest_nmax_s12_0132"
3,0.004,0.8,"highest_nmax_s12_0132"
4,0.025,0.8,"highest_nmax_s12_0132"
5,0.046,0.8,"highest_nmax_s12_0132"
6,0.071,0.8,"highest_nmax_s12_0132"
7,0.088,0.8,"highest_nmax_s12_0132"
8,0.107,0.8,"highest_nmax_s12_0132"
9,0.121,0.8,"highest_nmax_s12_0132"
10,0.15,0.8,"highest_nmax_s12_0132"
11,0.171,0.8,"highest_nmax_s12_0132"
12,0.192,0.8,"highest_nmax_s12_0132"
13,0.219,0.8,"highest_nmax_s12_0132"
14,0.24,0.8,"highest_nmax_s12_0132"
15,0.25,0.8,"highest_nmax_s12_0132"
16,0.27,0.8,"highest_nmax_s12_0132"
17,0.291,0.8,"highest_nmax_s12_0132"
18,0.302,0.8,"highest_nmax_s12_0132"
19,0.318,0.8,"highest_nmax_s12_0132"
20,0.333,0.8,"highest_nmax_s12_0132"
21,0.342,0.8,"highest_nmax_s12_0132"
22,0.355,0.8,"highest_nmax_s12_0132"
1,0,1,"fastest_strain_s12_0141"
2,0,1,"fastest_strain_s12_0141"
3,0.003,1,"fastest_strain_s12_0141"
4,0.022,1,"fastest_strain_s12_0141"
5,0.043,1,"fastest_strain_s12_0141"
6,0.066,1,"fastest_strain_s12_0141"
7,0.085,1,"fastest_strain_s12_0141"
8,0.106,1,"fastest_strain_s12_0141"
9,0.124,1,"fastest_strain_s12_0141"
10,0.155,1,"fastest_strain_s12_0141"
11,0.176,1,"fastest_strain_s12_0141"
12,0.199,1,"fastest_strain_s12_0141"
13,0.227,1,"fastest_strain_s12_0141"
14,0.245,1,"fastest_strain_s12_0141"
15,0.256,1,"fastest_strain_s12_0141"
16,0.277,1,"fastest_strain_s12_0141"
17,0.295,1,"fastest_strain_s12_0141"
18,0.304,1,"fastest_strain_s12_0141"
19,0.32,1,"fastest_strain_s12_0141"
20,0.337,1,"fastest_strain_s12_0141"
21,0.349,1,"fastest_strain_s12_0141"
22,0.362,1,"fastest_strain_s12_0141"
1,0,1,"highest_nmax_s12_0132"
2,0,1,"highest_nmax_s12_0132"
