"day","prop_spoiled","adj","param"
1,0,0.4,"lag"
2,0.005,0.4,"lag"
3,0.024,0.4,"lag"
4,0.052,0.4,"lag"
5,0.074,0.4,"lag"
6,0.098,0.4,"lag"
7,0.123,0.4,"lag"
8,0.151,0.4,"lag"
9,0.172,0.4,"lag"
10,0.198,0.4,"lag"
11,0.221,0.4,"lag"
12,0.244,0.4,"lag"
13,0.268,0.4,"lag"
14,0.29,0.4,"lag"
15,0.306,0.4,"lag"
16,0.32,0.4,"lag"
17,0.331,0.4,"lag"
18,0.346,0.4,"lag"
19,0.364,0.4,"lag"
20,0.373,0.4,"lag"
21,0.387,0.4,"lag"
22,0.398,0.4,"lag"
1,0,0.6,"lag"
2,0,0.6,"lag"
3,0.019,0.6,"lag"
4,0.046,0.6,"lag"
5,0.073,0.6,"lag"
6,0.091,0.6,"lag"
7,0.114,0.6,"lag"
8,0.139,0.6,"lag"
9,0.158,0.6,"lag"
10,0.189,0.6,"lag"
11,0.21,0.6,"lag"
12,0.231,0.6,"lag"
13,0.253,0.6,"lag"
14,0.275,0.6,"lag"
15,0.296,0.6,"lag"
16,0.311,0.6,"lag"
17,0.324,0.6,"lag"
18,0.333,0.6,"lag"
19,0.349,0.6,"lag"
20,0.365,0.6,"lag"
21,0.379,0.6,"lag"
22,0.382,0.6,"lag"
1,0,0.8,"lag"
2,0,0.8,"lag"
3,0.016,0.8,"lag"
4,0.038,0.8,"lag"
5,0.063,0.8,"lag"
6,0.079,0.8,"lag"
7,0.105,0.8,"lag"
8,0.13,0.8,"lag"
9,0.151,0.8,"lag"
10,0.176,0.8,"lag"
11,0.201,0.8,"lag"
12,0.221,0.8,"lag"
13,0.246,0.8,"lag"
14,0.264,0.8,"lag"
15,0.285,0.8,"lag"
16,0.304,0.8,"lag"
17,0.317,0.8,"lag"
18,0.329,0.8,"lag"
19,0.34,0.8,"lag"
20,0.354,0.8,"lag"
21,0.371,0.8,"lag"
22,0.379,0.8,"lag"
1,0,1,"lag"
2,0,1,"lag"
3,0.007,1,"lag"
4,0.032,1,"lag"
5,0.053,1,"lag"
6,0.076,1,"lag"
7,0.099,1,"lag"
8,0.124,1,"lag"
9,0.145,1,"lag"
10,0.161,1,"lag"
11,0.19,1,"lag"
12,0.212,1,"lag"
13,0.236,1,"lag"
14,0.258,1,"lag"
15,0.276,1,"lag"
16,0.295,1,"lag"
17,0.314,1,"lag"
18,0.323,1,"lag"
19,0.333,1,"lag"
20,0.347,1,"lag"
21,0.36,1,"lag"
22,0.372,1,"lag"
1,0,1.2,"lag"
2,0,1.2,"lag"
3,0.004,1.2,"lag"
4,0.027,1.2,"lag"
5,0.049,1.2,"lag"
6,0.072,1.2,"lag"
7,0.089,1.2,"lag"
8,0.113,1.2,"lag"
9,0.136,1.2,"lag"
10,0.155,1.2,"lag"
11,0.179,1.2,"lag"
12,0.206,1.2,"lag"
13,0.229,1.2,"lag"
14,0.247,1.2,"lag"
15,0.267,1.2,"lag"
16,0.284,1.2,"lag"
17,0.31,1.2,"lag"
18,0.319,1.2,"lag"
19,0.328,1.2,"lag"
20,0.338,1.2,"lag"
21,0.354,1.2,"lag"
22,0.369,1.2,"lag"
1,0,1.4,"lag"
2,0,1.4,"lag"
3,0.002,1.4,"lag"
4,0.023,1.4,"lag"
5,0.042,1.4,"lag"
6,0.066,1.4,"lag"
7,0.08,1.4,"lag"
8,0.11,1.4,"lag"
9,0.131,1.4,"lag"
10,0.15,1.4,"lag"
11,0.168,1.4,"lag"
12,0.195,1.4,"lag"
13,0.216,1.4,"lag"
14,0.24,1.4,"lag"
15,0.258,1.4,"lag"
16,0.276,1.4,"lag"
17,0.299,1.4,"lag"
18,0.316,1.4,"lag"
19,0.324,1.4,"lag"
20,0.335,1.4,"lag"
21,0.345,1.4,"lag"
22,0.362,1.4,"lag"
1,0,1.6,"lag"
2,0,1.6,"lag"
3,0.002,1.6,"lag"
4,0.02,1.6,"lag"
5,0.035,1.6,"lag"
6,0.058,1.6,"lag"
7,0.078,1.6,"lag"
8,0.1,1.6,"lag"
9,0.125,1.6,"lag"
10,0.142,1.6,"lag"
11,0.161,1.6,"lag"
12,0.182,1.6,"lag"
13,0.211,1.6,"lag"
14,0.234,1.6,"lag"
15,0.249,1.6,"lag"
16,0.268,1.6,"lag"
17,0.287,1.6,"lag"
18,0.311,1.6,"lag"
19,0.321,1.6,"lag"
20,0.332,1.6,"lag"
21,0.34,1.6,"lag"
22,0.358,1.6,"lag"
