"day","prop_spoiled","adj","param"
1,0,0.4,"lag_tmin"
2,0,0.4,"lag_tmin"
3,0.005,0.4,"lag_tmin"
4,0.03,0.4,"lag_tmin"
5,0.053,0.4,"lag_tmin"
6,0.076,0.4,"lag_tmin"
7,0.096,0.4,"lag_tmin"
8,0.123,0.4,"lag_tmin"
9,0.144,0.4,"lag_tmin"
10,0.159,0.4,"lag_tmin"
11,0.189,0.4,"lag_tmin"
12,0.212,0.4,"lag_tmin"
13,0.236,0.4,"lag_tmin"
14,0.257,0.4,"lag_tmin"
15,0.276,0.4,"lag_tmin"
16,0.295,0.4,"lag_tmin"
17,0.314,0.4,"lag_tmin"
18,0.324,0.4,"lag_tmin"
19,0.333,0.4,"lag_tmin"
20,0.345,0.4,"lag_tmin"
21,0.361,0.4,"lag_tmin"
22,0.372,0.4,"lag_tmin"
1,0,0.6,"lag_tmin"
2,0,0.6,"lag_tmin"
3,0.006,0.6,"lag_tmin"
4,0.03,0.6,"lag_tmin"
5,0.053,0.6,"lag_tmin"
6,0.076,0.6,"lag_tmin"
7,0.097,0.6,"lag_tmin"
8,0.124,0.6,"lag_tmin"
9,0.144,0.6,"lag_tmin"
10,0.159,0.6,"lag_tmin"
11,0.19,0.6,"lag_tmin"
12,0.212,0.6,"lag_tmin"
13,0.236,0.6,"lag_tmin"
14,0.257,0.6,"lag_tmin"
15,0.276,0.6,"lag_tmin"
16,0.295,0.6,"lag_tmin"
17,0.314,0.6,"lag_tmin"
18,0.324,0.6,"lag_tmin"
19,0.333,0.6,"lag_tmin"
20,0.346,0.6,"lag_tmin"
21,0.361,0.6,"lag_tmin"
22,0.372,0.6,"lag_tmin"
1,0,0.8,"lag_tmin"
2,0,0.8,"lag_tmin"
3,0.006,0.8,"lag_tmin"
4,0.03,0.8,"lag_tmin"
5,0.053,0.8,"lag_tmin"
6,0.076,0.8,"lag_tmin"
7,0.098,0.8,"lag_tmin"
8,0.124,0.8,"lag_tmin"
9,0.144,0.8,"lag_tmin"
10,0.159,0.8,"lag_tmin"
11,0.19,0.8,"lag_tmin"
12,0.212,0.8,"lag_tmin"
13,0.236,0.8,"lag_tmin"
14,0.257,0.8,"lag_tmin"
15,0.276,0.8,"lag_tmin"
16,0.295,0.8,"lag_tmin"
17,0.314,0.8,"lag_tmin"
18,0.323,0.8,"lag_tmin"
19,0.333,0.8,"lag_tmin"
20,0.347,0.8,"lag_tmin"
21,0.361,0.8,"lag_tmin"
22,0.372,0.8,"lag_tmin"
1,0,1,"lag_tmin"
2,0,1,"lag_tmin"
3,0.007,1,"lag_tmin"
4,0.032,1,"lag_tmin"
5,0.053,1,"lag_tmin"
6,0.076,1,"lag_tmin"
7,0.099,1,"lag_tmin"
8,0.124,1,"lag_tmin"
9,0.145,1,"lag_tmin"
10,0.161,1,"lag_tmin"
11,0.19,1,"lag_tmin"
12,0.212,1,"lag_tmin"
13,0.236,1,"lag_tmin"
14,0.258,1,"lag_tmin"
15,0.276,1,"lag_tmin"
16,0.295,1,"lag_tmin"
17,0.314,1,"lag_tmin"
18,0.323,1,"lag_tmin"
19,0.333,1,"lag_tmin"
20,0.347,1,"lag_tmin"
21,0.36,1,"lag_tmin"
