"day","mean","sd_total_count","mode","median","adj","param"
1,5.14197866462833,0.0813088085848283,"5.1",5.1402521285547,0.4,"mumax"
2,5.18120867744871,0.109551640851396,"5.2",5.17185811853723,0.4,"mumax"
3,5.24998266680287,0.233143949950728,"5.2",5.20507286371446,0.4,"mumax"
4,5.33791146213581,0.37652912556887,"5.2",5.23855935306027,0.4,"mumax"
5,5.43558241771584,0.496479000701498,"5.3",5.28604944581792,0.4,"mumax"
6,5.54021284690733,0.589419984082992,"5.3",5.34131338793286,0.4,"mumax"
7,5.6526864181045,0.657825058128102,"5.3",5.41514825848048,0.4,"mumax"
8,5.77484229653038,0.70520489299755,"5.5",5.5220261336589,0.4,"mumax"
9,5.90748485294995,0.735207793139962,"5.6",5.65406069087298,0.4,"mumax"
10,6.0491854544197,0.751805702839521,"5.7",5.80724507004504,0.4,"mumax"
11,6.19630840257863,0.75926425372885,"5.9",5.98396797903059,0.4,"mumax"
12,6.34414183202243,0.761560206244874,"6.1",6.16270373070355,0.4,"mumax"
13,6.48819629910379,0.761750584045595,"6.3",6.34350760848316,0.4,"mumax"
14,6.62492975058997,0.761680795024906,"6.5",6.51614843357543,0.4,"mumax"
15,6.75198268313692,0.762193078645665,"6.6",6.67824601875605,0.4,"mumax"
16,6.86811829974188,0.763508812858194,"6.8",6.82709343996376,0.4,"mumax"
17,6.97296396354418,0.765494199597253,"6.9",6.96343525306484,0.4,"mumax"
18,7.06673262194862,0.767839476496993,"7",7.0821703584251,0.4,"mumax"
19,7.15001506437413,0.770201558588957,"7.1",7.18690642011709,0.4,"mumax"
20,7.22362585567868,0.772300283369342,"7.2",7.27535675283086,0.4,"mumax"
21,7.28848710327948,0.773953962556984,"7.3",7.3509234559409,0.4,"mumax"
22,7.34554600253259,0.775071647848011,"7.4",7.41833220025659,0.4,"mumax"
1,5.13262065640945,0.089616770614838,"5.1",5.12859894888673,0.6,"mumax"
2,5.1885560730854,0.159103373981998,"5.1",5.1664451004201,0.6,"mumax"
