"day","prop_spoiled","adj","param"
1,0,0.4,"mumax"
2,0,0.4,"mumax"
3,0,0.4,"mumax"
4,0,0.4,"mumax"
5,0.005,0.4,"mumax"
6,0.012,0.4,"mumax"
7,0.021,0.4,"mumax"
8,0.028,0.4,"mumax"
9,0.042,0.4,"mumax"
10,0.052,0.4,"mumax"
11,0.064,0.4,"mumax"
12,0.073,0.4,"mumax"
13,0.075,0.4,"mumax"
14,0.09,0.4,"mumax"
15,0.098,0.4,"mumax"
16,0.104,0.4,"mumax"
17,0.118,0.4,"mumax"
18,0.128,0.4,"mumax"
19,0.141,0.4,"mumax"
20,0.151,0.4,"mumax"
21,0.156,0.4,"mumax"
22,0.164,0.4,"mumax"
1,0,0.6,"mumax"
2,0,0.6,"mumax"
3,0,0.6,"mumax"
4,0.005,0.6,"mumax"
5,0.019,0.6,"mumax"
6,0.032,0.6,"mumax"
7,0.051,0.6,"mumax"
8,0.066,0.6,"mumax"
9,0.075,0.6,"mumax"
10,0.091,0.6,"mumax"
11,0.104,0.6,"mumax"
12,0.12,0.6,"mumax"
13,0.133,0.6,"mumax"
14,0.151,0.6,"mumax"
15,0.158,0.6,"mumax"
16,0.174,0.6,"mumax"
17,0.192,0.6,"mumax"
18,0.207,0.6,"mumax"
19,0.219,0.6,"mumax"
20,0.231,0.6,"mumax"
21,0.245,0.6,"mumax"
22,0.26,0.6,"mumax"
1,0,0.8,"mumax"
2,0,0.8,"mumax"
3,0.003,0.8,"mumax"
4,0.02,0.8,"mumax"
5,0.038,0.8,"mumax"
6,0.058,0.8,"mumax"
7,0.074,0.8,"mumax"
8,0.091,0.8,"mumax"
9,0.108,0.8,"mumax"
10,0.13,0.8,"mumax"
11,0.151,0.8,"mumax"
12,0.162,0.8,"mumax"
13,0.187,0.8,"mumax"
14,0.207,0.8,"mumax"
15,0.221,0.8,"mumax"
16,0.24,0.8,"mumax"
17,0.261,0.8,"mumax"
18,0.273,0.8,"mumax"
19,0.288,0.8,"mumax"
20,0.304,0.8,"mumax"
21,0.315,0.8,"mumax"
22,0.324,0.8,"mumax"
1,0,1,"mumax"
2,0,1,"mumax"
3,0.007,1,"mumax"
4,0.032,1,"mumax"
5,0.053,1,"mumax"
6,0.076,1,"mumax"
7,0.099,1,"mumax"
8,0.124,1,"mumax"
9,0.145,1,"mumax"
10,0.161,1,"mumax"
11,0.19,1,"mumax"
12,0.212,1,"mumax"
13,0.236,1,"mumax"
14,0.258,1,"mumax"
15,0.276,1,"mumax"
16,0.295,1,"mumax"
17,0.314,1,"mumax"
18,0.323,1,"mumax"
19,0.333,1,"mumax"
20,0.347,1,"mumax"
21,0.36,1,"mumax"
22,0.372,1,"mumax"
1,0,1.2,"mumax"
2,0,1.2,"mumax"
3,0.02,1.2,"mumax"
4,0.044,1.2,"mumax"
5,0.072,1.2,"mumax"
6,0.094,1.2,"mumax"
7,0.126,1.2,"mumax"
8,0.151,1.2,"mumax"
9,0.171,1.2,"mumax"
10,0.206,1.2,"mumax"
11,0.233,1.2,"mumax"
12,0.256,1.2,"mumax"
13,0.278,1.2,"mumax"
14,0.306,1.2,"mumax"
15,0.319,1.2,"mumax"
16,0.331,1.2,"mumax"
17,0.345,1.2,"mumax"
18,0.362,1.2,"mumax"
19,0.377,1.2,"mumax"
20,0.387,1.2,"mumax"
21,0.401,1.2,"mumax"
22,0.417,1.2,"mumax"
1,0,1.4,"mumax"
2,0.002,1.4,"mumax"
3,0.026,1.4,"mumax"
4,0.057,1.4,"mumax"
5,0.08,1.4,"mumax"
6,0.114,1.4,"mumax"
7,0.145,1.4,"mumax"
8,0.17,1.4,"mumax"
9,0.21,1.4,"mumax"
10,0.24,1.4,"mumax"
11,0.267,1.4,"mumax"
12,0.293,1.4,"mumax"
13,0.318,1.4,"mumax"
14,0.332,1.4,"mumax"
15,0.345,1.4,"mumax"
16,0.368,1.4,"mumax"
17,0.382,1.4,"mumax"
18,0.396,1.4,"mumax"
19,0.413,1.4,"mumax"
20,0.427,1.4,"mumax"
21,0.436,1.4,"mumax"
22,0.44,1.4,"mumax"
1,0,1.6,"mumax"
2,0.002,1.6,"mumax"
3,0.032,1.6,"mumax"
4,0.068,1.6,"mumax"
5,0.1,1.6,"mumax"
6,0.134,1.6,"mumax"
7,0.165,1.6,"mumax"
8,0.204,1.6,"mumax"
9,0.239,1.6,"mumax"
10,0.268,1.6,"mumax"
11,0.301,1.6,"mumax"
12,0.321,1.6,"mumax"
13,0.338,1.6,"mumax"
14,0.361,1.6,"mumax"
15,0.382,1.6,"mumax"
16,0.395,1.6,"mumax"
17,0.416,1.6,"mumax"
18,0.428,1.6,"mumax"
19,0.436,1.6,"mumax"
20,0.446,1.6,"mumax"
21,0.453,1.6,"mumax"
22,0.463,1.6,"mumax"
