"day","mean","sd_total_count","mode","median","adj","param"
1,5.08648213924647,0.102497231539861,"5.1",5.08069917893008,1,"no_of_strains"
2,5.14657701374852,0.220169561058887,"5.1",5.12008423413981,1,"no_of_strains"
3,5.25769019114136,0.47082995473936,"5",5.13235698146445,1,"no_of_strains"
4,5.36906189177986,0.62535708653422,"5.1",5.16339248149931,1,"no_of_strains"
5,5.50226885818346,0.722760158219116,"5.1",5.26860605641475,1,"no_of_strains"
6,5.67001390277149,0.801071346204624,"5",5.39836603545735,1,"no_of_strains"
7,5.84962543481573,0.892750170945,"5",5.4802679255236,1,"no_of_strains"
8,6.01077019425126,0.993071832283411,"5",5.59129448907198,1,"no_of_strains"
9,6.13891125814093,1.08074898075665,"5",5.70611484052528,1,"no_of_strains"
10,6.23639362867989,1.14526517634029,"7.4",5.83155971739358,1,"no_of_strains"
11,6.31414538361791,1.18759933412731,"7.5",5.97429819259645,1,"no_of_strains"
12,6.37991074108124,1.2116967412691,"7.6",6.13150240368766,1,"no_of_strains"
13,6.44113052397586,1.21996831435599,"7.7",6.31772017064367,1,"no_of_strains"
14,6.50280528479821,1.21405547136223,"7.7",6.52833391790018,1,"no_of_strains"
15,6.5658514782348,1.19858123630755,"7.7",6.62516158231882,1,"no_of_strains"
16,6.62825417267594,1.17885855047953,"7.7",6.66775644441672,1,"no_of_strains"
17,6.68793330161272,1.15808461109141,"7.7",6.77689091943692,1,"no_of_strains"
18,6.74371844939408,1.13765424076938,"7.7",6.91734347792816,1,"no_of_strains"
19,6.79522489840925,1.11805037378321,"7.7",7.01428243431638,1,"no_of_strains"
20,6.84252315609352,1.09940439400937,"7.7",7.15963602288128,1,"no_of_strains"
21,6.88589393391507,1.08172521970542,"7.7",7.29902403124127,1,"no_of_strains"
22,6.92569056346495,1.06498261891597,"7.7",7.40764110149868,1,"no_of_strains"
1,5.10240618263633,0.0853014598617578,"5.1",5.09821693586711,2,"no_of_strains"
2,5.17543515438357,0.201720867453024,"5.1",5.14361068327815,2,"no_of_strains"
3,5.33675032250308,0.500031274973558,"5.2",5.20118975175713,2,"no_of_strains"
4,5.50112071238884,0.687872761360361,"5.2",5.25060655935521,2,"no_of_strains"
5,5.67498327548278,0.794306152135003,"5.3",5.3355547322295,2,"no_of_strains"
6,5.88694024862181,0.842688960825132,"5.3",5.57736715792407,2,"no_of_strains"
7,6.14080010134672,0.864337519337466,"5.2",6.00440345929383,2,"no_of_strains"
8,6.39614274821027,0.896813791981308,"6.5",6.47284765396066,2,"no_of_strains"
9,6.61503151360721,0.941443714304734,"6.9",6.87346514905174,2,"no_of_strains"
10,6.78641277667714,0.981981306230374,"7.2",7.16535773320416,2,"no_of_strains"
11,6.91497454544486,1.01100528410618,"7.4",7.36953364650717,2,"no_of_strains"
12,7.01089926464056,1.02892121136182,"7.5",7.50817549687311,2,"no_of_strains"
13,7.08372530579818,1.03807843744801,"7.6",7.5962218937721,2,"no_of_strains"
14,7.14070613827551,1.04102958554277,"7.7",7.65084537766576,2,"no_of_strains"
15,7.18662302848997,1.03964541578002,"7.7",7.68426880844353,2,"no_of_strains"
16,7.22501230343188,1.035448362994,"7.7",7.70484866504673,2,"no_of_strains"
17,7.25832483463316,1.02951006247692,"7.7",7.7174404814626,2,"no_of_strains"
18,7.28830568156922,1.0224707097875,"7.7",7.72471817442616,2,"no_of_strains"
19,7.31604058192453,1.0146855829129,"7.7",7.72880243564156,2,"no_of_strains"
20,7.34212024788277,1.00632511457819,"7.7",7.73121187363724,2,"no_of_strains"
21,7.36684558245798,0.997504017687977,"7.7",7.73293175064626,2,"no_of_strains"
22,7.39037779999395,0.988315623200597,"7.7",7.73530654029953,2,"no_of_strains"
1,5.10569291265243,0.0852709623857648,"5.1",5.10343735821216,3,"no_of_strains"
2,5.18190981926142,0.199447480732029,"5.1",5.14953386202321,3,"no_of_strains"
3,5.36803037165232,0.528506032798022,"5.2",5.20252065716562,3,"no_of_strains"
4,5.55977220849419,0.739088950154958,"5.2",5.24937281015099,3,"no_of_strains"
5,5.75249686603803,0.859366384638992,"5.2",5.34585674478331,3,"no_of_strains"
6,5.98359648997228,0.902289950187624,"5.4",5.56395550103217,3,"no_of_strains"
7,6.28387460122294,0.872750838818259,"5.8",5.94986434666042,3,"no_of_strains"
8,6.61383393097176,0.81662081581204,"6.3",6.40616442664493,3,"no_of_strains"
9,6.90862455255228,0.777048040245984,"6.8",6.80695454626343,3,"no_of_strains"
10,7.1417122021318,0.755668714278844,"7.1",7.1181599798498,3,"no_of_strains"
11,7.31489071557278,0.74301388247303,"7.3",7.33808319910515,3,"no_of_strains"
12,7.43923841851452,0.734301700883678,"7.5",7.48676907030133,3,"no_of_strains"
13,7.52763081390832,0.72713354643634,"7.6",7.58252030766485,3,"no_of_strains"
14,7.59103399444316,0.720679223502721,"7.6",7.64289582902734,3,"no_of_strains"
15,7.63751408320469,0.714474792119158,"7.7",7.68006791496273,3,"no_of_strains"
16,7.67263401238241,0.708213473261841,"7.7",7.70326100760253,3,"no_of_strains"
17,7.70024738091857,0.701847208451297,"7.7",7.72042461067172,3,"no_of_strains"
18,7.72298059826404,0.695431554450787,"7.7",7.73316897439592,3,"no_of_strains"
19,7.74255086920264,0.689019569615722,"7.7",7.7454528302346,3,"no_of_strains"
20,7.76002189956405,0.682619828421194,"7.7",7.75634695774782,3,"no_of_strains"
21,7.77603210159817,0.67621811623285,"7.7",7.76462942627584,3,"no_of_strains"
22,7.79096273919893,0.669809915631578,"7.7",7.76771179279097,3,"no_of_strains"
1,5.12655140001405,0.104375564192886,"5.1",5.11821001927431,4,"no_of_strains"
2,5.21486567946086,0.248304693239393,"5.1",5.16476782024555,4,"no_of_strains"
3,5.40445940609658,0.556539584034955,"5.2",5.21409419665709,4,"no_of_strains"
4,5.59863788466575,0.766015421315643,"5.2",5.26951539285392,4,"no_of_strains"
5,5.79034903062171,0.888070459570031,"5.3",5.35968295404776,4,"no_of_strains"
6,6.01691934525651,0.933064324414099,"5.4",5.5588804476867,4,"no_of_strains"
7,6.32344957537929,0.888094825415567,"5.8",5.9037784676329,4,"no_of_strains"
8,6.68464585354782,0.778330524541912,"6.3",6.33475928057654,4,"no_of_strains"
9,7.02177055635315,0.662630367100014,"6.7",6.73838435921534,4,"no_of_strains"
10,7.29283962046333,0.57009310542971,"7",7.05880932715971,4,"no_of_strains"
11,7.49466602599415,0.503645413972197,"7.3",7.29305371001172,4,"no_of_strains"
12,7.63915016161931,0.459177084850107,"7.4",7.45511814281572,4,"no_of_strains"
13,7.74066832495922,0.431092046217369,"7.5",7.56314494309428,4,"no_of_strains"
14,7.81198487223396,0.414576758039854,"7.6",7.63833122604587,4,"no_of_strains"
