"day","prop_spoiled","variance","adj","param"
1,0,0.0167993249295935,1,"no_of_strains"
2,0,0.0395186350368453,1,"no_of_strains"
3,0,0.0907754470111835,1,"no_of_strains"
4,0.001,0.182447585832698,1,"no_of_strains"
5,0.001,0.332511155080045,1,"no_of_strains"
6,0.002,0.543349201872215,1,"no_of_strains"
7,0.026,0.770082864769026,1,"no_of_strains"
8,0.061,0.969424103839927,1,"no_of_strains"
9,0.08,1.101144862968,1,"no_of_strains"
10,0.154,1.17294277717815,1,"no_of_strains"
11,0.21,1.19837763895597,1,"no_of_strains"
12,0.25,1.18882443879599,1,"no_of_strains"
13,0.308,1.15547621157382,1,"no_of_strains"
14,0.347,1.11057573636854,1,"no_of_strains"
15,0.389,1.05699469915917,1,"no_of_strains"
16,0.449,0.996139739571056,1,"no_of_strains"
17,0.508,0.935586257521631,1,"no_of_strains"
18,0.556,0.88929389442499,1,"no_of_strains"
19,0.599,0.860994269525835,1,"no_of_strains"
20,0.633,0.842701347712725,1,"no_of_strains"
21,0.665,0.827034341658732,1,"no_of_strains"
22,0.687,0.811157309439369,1,"no_of_strains"
1,0,0.00864162949800708,2,"no_of_strains"
2,0,0.0204627705449277,2,"no_of_strains"
3,0,0.0630181518147538,2,"no_of_strains"
4,0.003,0.152352434900647,2,"no_of_strains"
5,0.003,0.298082600093709,2,"no_of_strains"
6,0.004,0.513994828096202,2,"no_of_strains"
7,0.055,0.791081421539853,2,"no_of_strains"
8,0.135,1.05147094821273,2,"no_of_strains"
9,0.184,1.23196140361174,2,"no_of_strains"
10,0.23,1.336785599282,2,"no_of_strains"
11,0.274,1.36407751066165,2,"no_of_strains"
12,0.315,1.32296110707914,2,"no_of_strains"
13,0.359,1.22706592992065,2,"no_of_strains"
14,0.398,1.09384232436852,2,"no_of_strains"
15,0.45,0.940462934913639,2,"no_of_strains"
16,0.5,0.779676181100377,2,"no_of_strains"
17,0.572,0.624372173717088,2,"no_of_strains"
18,0.641,0.493810256421645,2,"no_of_strains"
19,0.712,0.40505642780942,2,"no_of_strains"
20,0.776,0.354838917151973,2,"no_of_strains"
21,0.829,0.328351949198321,2,"no_of_strains"
22,0.871,0.313626681759279,2,"no_of_strains"
1,0,0.00853340908002231,3,"no_of_strains"
2,0,0.0271383236701121,3,"no_of_strains"
3,0,0.0923521782522683,3,"no_of_strains"
4,0.01,0.211807480642091,3,"no_of_strains"
5,0.017,0.374620763359428,3,"no_of_strains"
6,0.025,0.588347283887356,3,"no_of_strains"
7,0.048,0.856965129135924,3,"no_of_strains"
8,0.159,1.12419273948476,3,"no_of_strains"
