"day","prop_spoiled","variance","adj","param"
1,0,0.0105056824733358,1,"no_of_strains"
2,0,0.0484746356168631,1,"no_of_strains"
3,0.007,0.221680846279868,1,"no_of_strains"
4,0.015,0.391071485678568,1,"no_of_strains"
5,0.031,0.522382246308921,1,"no_of_strains"
6,0.039,0.641715301710088,1,"no_of_strains"
7,0.049,0.797002867722327,1,"no_of_strains"
8,0.062,0.986191664074732,1,"no_of_strains"
9,0.072,1.16801835940654,1,"no_of_strains"
10,0.083,1.31163232413776,1,"no_of_strains"
11,0.093,1.41039217841963,1,"no_of_strains"
12,0.105,1.46820899280216,1,"no_of_strains"
13,0.109,1.4883226880326,1,"no_of_strains"
14,0.118,1.47393068754456,1,"no_of_strains"
15,0.122,1.43659698002854,1,"no_of_strains"
16,0.129,1.3897074820387,1,"no_of_strains"
17,0.137,1.34115996644675,1,"no_of_strains"
18,0.139,1.29425717154055,1,"no_of_strains"
19,0.142,1.25003663831677,1,"no_of_strains"
20,0.144,1.2086900215671,1,"no_of_strains"
21,0.152,1.17012945094674,1,"no_of_strains"
22,0.159,1.13418797859311,1,"no_of_strains"
1,0,0.00727633905454707,2,"no_of_strains"
2,0,0.0406913083660006,2,"no_of_strains"
3,0.007,0.250031275951682,2,"no_of_strains"
4,0.019,0.473168935821529,2,"no_of_strains"
5,0.041,0.630922263319515,2,"no_of_strains"
6,0.06,0.71012468469654,2,"no_of_strains"
7,0.078,0.747079347334445,2,"no_of_strains"
8,0.087,0.804274977487892,2,"no_of_strains"
9,0.112,0.886316267203894,2,"no_of_strains"
10,0.124,0.964287285785911,2,"no_of_strains"
11,0.146,1.02213168449062,2,"no_of_strains"
12,0.161,1.05867885919027,2,"no_of_strains"
13,0.179,1.0776068422945,2,"no_of_strains"
14,0.197,1.08374259797536,2,"no_of_strains"
15,0.212,1.08086259055241,2,"no_of_strains"
16,0.222,1.07215331242695,2,"no_of_strains"
17,0.233,1.05989096874123,2,"no_of_strains"
18,0.252,1.04544635237335,2,"no_of_strains"
19,0.268,1.02958683217128,2,"no_of_strains"
20,0.285,1.01269023623081,2,"no_of_strains"
21,0.292,0.995014265303656,2,"no_of_strains"
22,0.302,0.976767771062384,2,"no_of_strains"
1,0,0.00727113702619452,3,"no_of_strains"
2,0,0.039779297570353,3,"no_of_strains"
3,0.005,0.279318626703904,3,"no_of_strains"
4,0.027,0.546252476241158,3,"no_of_strains"
5,0.052,0.738510583047492,3,"no_of_strains"
6,0.072,0.814127154209585,3,"no_of_strains"
7,0.098,0.761694026657975,3,"no_of_strains"
8,0.119,0.666869556817522,3,"no_of_strains"
9,0.147,0.603803656850125,3,"no_of_strains"
10,0.169,0.571035205739841,3,"no_of_strains"
11,0.199,0.552069629547645,3,"no_of_strains"
12,0.218,0.539198987920663,3,"no_of_strains"
13,0.243,0.528723194353089,3,"no_of_strains"
14,0.264,0.519378543188485,3,"no_of_strains"
15,0.283,0.510474228573714,3,"no_of_strains"
16,0.301,0.5015663237096,3,"no_of_strains"
17,0.314,0.492589504010879,3,"no_of_strains"
18,0.327,0.483625046925839,3,"no_of_strains"
19,0.347,0.474747967313434,3,"no_of_strains"
20,0.36,0.465969830153781,3,"no_of_strains"
21,0.373,0.457270940721504,3,"no_of_strains"
22,0.384,0.448645323078382,3,"no_of_strains"
1,0,0.0108942584005832,4,"no_of_strains"
2,0,0.0616552206847091,4,"no_of_strains"
3,0.007,0.3097363085978,4,"no_of_strains"
4,0.031,0.586779625693382,4,"no_of_strains"
5,0.058,0.788669141160926,4,"no_of_strains"
6,0.078,0.870609033494339,4,"no_of_strains"
