"day","prop_spoiled","adj","param"
1,0,0.6,"fastest_strain_s12_0141"
2,0,0.6,"fastest_strain_s12_0141"
3,0.001,0.6,"fastest_strain_s12_0141"
4,0.007,0.6,"fastest_strain_s12_0141"
5,0.016,0.6,"fastest_strain_s12_0141"
6,0.058,0.6,"fastest_strain_s12_0141"
7,0.097,0.6,"fastest_strain_s12_0141"
8,0.131,0.6,"fastest_strain_s12_0141"
9,0.182,0.6,"fastest_strain_s12_0141"
10,0.304,0.6,"fastest_strain_s12_0141"
11,0.635,0.6,"fastest_strain_s12_0141"
12,0.877,0.6,"fastest_strain_s12_0141"
13,0.884,0.6,"fastest_strain_s12_0141"
14,0.891,0.6,"fastest_strain_s12_0141"
15,0.893,0.6,"fastest_strain_s12_0141"
16,0.894,0.6,"fastest_strain_s12_0141"
17,0.898,0.6,"fastest_strain_s12_0141"
18,0.9,0.6,"fastest_strain_s12_0141"
19,0.902,0.6,"fastest_strain_s12_0141"
20,0.903,0.6,"fastest_strain_s12_0141"
21,0.905,0.6,"fastest_strain_s12_0141"
22,0.906,0.6,"fastest_strain_s12_0141"
1,0,0.6,"highest_nmax_s12_0132"
2,0,0.6,"highest_nmax_s12_0132"
3,0.001,0.6,"highest_nmax_s12_0132"
4,0.007,0.6,"highest_nmax_s12_0132"
5,0.014,0.6,"highest_nmax_s12_0132"
6,0.054,0.6,"highest_nmax_s12_0132"
7,0.091,0.6,"highest_nmax_s12_0132"
8,0.117,0.6,"highest_nmax_s12_0132"
9,0.168,0.6,"highest_nmax_s12_0132"
10,0.323,0.6,"highest_nmax_s12_0132"
11,0.689,0.6,"highest_nmax_s12_0132"
12,0.94,0.6,"highest_nmax_s12_0132"
13,0.944,0.6,"highest_nmax_s12_0132"
14,0.949,0.6,"highest_nmax_s12_0132"
15,0.952,0.6,"highest_nmax_s12_0132"
16,0.952,0.6,"highest_nmax_s12_0132"
17,0.953,0.6,"highest_nmax_s12_0132"
18,0.954,0.6,"highest_nmax_s12_0132"
19,0.957,0.6,"highest_nmax_s12_0132"
20,0.958,0.6,"highest_nmax_s12_0132"
21,0.959,0.6,"highest_nmax_s12_0132"
22,0.96,0.6,"highest_nmax_s12_0132"
1,0,0.8,"fastest_strain_s12_0141"
2,0,0.8,"fastest_strain_s12_0141"
3,0.001,0.8,"fastest_strain_s12_0141"
4,0.007,0.8,"fastest_strain_s12_0141"
5,0.014,0.8,"fastest_strain_s12_0141"
6,0.055,0.8,"fastest_strain_s12_0141"
7,0.095,0.8,"fastest_strain_s12_0141"
8,0.129,0.8,"fastest_strain_s12_0141"
9,0.181,0.8,"fastest_strain_s12_0141"
10,0.316,0.8,"fastest_strain_s12_0141"
11,0.663,0.8,"fastest_strain_s12_0141"
12,0.908,0.8,"fastest_strain_s12_0141"
13,0.914,0.8,"fastest_strain_s12_0141"
14,0.921,0.8,"fastest_strain_s12_0141"
15,0.921,0.8,"fastest_strain_s12_0141"
16,0.922,0.8,"fastest_strain_s12_0141"
17,0.925,0.8,"fastest_strain_s12_0141"
18,0.927,0.8,"fastest_strain_s12_0141"
19,0.928,0.8,"fastest_strain_s12_0141"
20,0.929,0.8,"fastest_strain_s12_0141"
21,0.93,0.8,"fastest_strain_s12_0141"
22,0.931,0.8,"fastest_strain_s12_0141"
1,0,0.8,"highest_nmax_s12_0132"
2,0,0.8,"highest_nmax_s12_0132"
3,0.001,0.8,"highest_nmax_s12_0132"
4,0.007,0.8,"highest_nmax_s12_0132"
5,0.014,0.8,"highest_nmax_s12_0132"
6,0.056,0.8,"highest_nmax_s12_0132"
7,0.096,0.8,"highest_nmax_s12_0132"
8,0.125,0.8,"highest_nmax_s12_0132"
9,0.176,0.8,"highest_nmax_s12_0132"
10,0.33,0.8,"highest_nmax_s12_0132"
11,0.692,0.8,"highest_nmax_s12_0132"
12,0.939,0.8,"highest_nmax_s12_0132"
13,0.941,0.8,"highest_nmax_s12_0132"
14,0.947,0.8,"highest_nmax_s12_0132"
15,0.95,0.8,"highest_nmax_s12_0132"
16,0.95,0.8,"highest_nmax_s12_0132"
17,0.95,0.8,"highest_nmax_s12_0132"
18,0.951,0.8,"highest_nmax_s12_0132"
19,0.954,0.8,"highest_nmax_s12_0132"
20,0.956,0.8,"highest_nmax_s12_0132"
21,0.957,0.8,"highest_nmax_s12_0132"
22,0.958,0.8,"highest_nmax_s12_0132"
1,0,1,"fastest_strain_s12_0141"
2,0,1,"fastest_strain_s12_0141"
3,0.001,1,"fastest_strain_s12_0141"
4,0.007,1,"fastest_strain_s12_0141"
5,0.016,1,"fastest_strain_s12_0141"
6,0.058,1,"fastest_strain_s12_0141"
7,0.099,1,"fastest_strain_s12_0141"
