"day","mean","sd_total_count","mode","median","adj","param"
1,5.13801789849827,0.126142547188884,"5.1",5.12759421107038,0.4,"fastest_strain_s12_0141"
2,5.23679971467123,0.304187968362517,"5.2",5.17710839189752,0.4,"fastest_strain_s12_0141"
3,5.41368127689323,0.575621718980999,"5.2",5.2301661383237,0.4,"fastest_strain_s12_0141"
4,5.5955800310173,0.772658710280716,"5.2",5.28350478479212,0.4,"fastest_strain_s12_0141"
5,5.77176208452109,0.896277793880019,"5.2",5.36017442500838,0.4,"fastest_strain_s12_0141"
6,5.96487423600603,0.960633587505332,"5.3",5.532155389017,0.4,"fastest_strain_s12_0141"
7,6.20108044932398,0.974358839086375,"5.7",5.86137140597426,0.4,"fastest_strain_s12_0141"
8,6.46648613149534,0.966998603561872,"6.3",6.2826323994027,0.4,"fastest_strain_s12_0141"
9,6.71559864671885,0.968647024083962,"6.7",6.69128670066242,0.4,"fastest_strain_s12_0141"
10,6.92217762911531,0.979830235161194,"7",7.01602571991088,0.4,"fastest_strain_s12_0141"
11,7.08431145005266,0.990483102744442,"7.2",7.2605026749548,0.4,"fastest_strain_s12_0141"
12,7.20682194764418,0.999290507824153,"7.4",7.43428702644279,0.4,"fastest_strain_s12_0141"
13,7.29801781928203,1.00347423925519,"7.5",7.55041385497488,0.4,"fastest_strain_s12_0141"
14,7.36798222827658,1.00211112672835,"7.6",7.62487834416759,0.4,"fastest_strain_s12_0141"
15,7.42361714056371,0.996328773606955,"7.7",7.6752747813876,0.4,"fastest_strain_s12_0141"
16,7.46932931960721,0.987398125709345,"7.7",7.70576539690952,0.4,"fastest_strain_s12_0141"
17,7.5081510297837,0.976917900717487,"7.7",7.72681172334244,0.4,"fastest_strain_s12_0141"
18,7.54203189761244,0.966072818154219,"7.7",7.74401701809401,0.4,"fastest_strain_s12_0141"
19,7.57221352227902,0.955428858764558,"7.7",7.75520969322081,0.4,"fastest_strain_s12_0141"
20,7.59954723545469,0.945160978050307,"7.8",7.76199309268511,0.4,"fastest_strain_s12_0141"
21,7.62463760063542,0.935272865635437,"7.8",7.76698047257003,0.4,"fastest_strain_s12_0141"
22,7.64792084192672,0.925709143775234,"7.8",7.77188259138253,0.4,"fastest_strain_s12_0141"
1,5.12566952289941,0.127726552147817,"5.1",5.11349314547755,0.4,"highest_nmax_s12_0132"
2,5.20603041975492,0.295056906203288,"5.1",5.15177216163337,0.4,"highest_nmax_s12_0132"
3,5.34461607379259,0.522040829444309,"5.2",5.19894006068738,0.4,"highest_nmax_s12_0132"
4,5.50185112341854,0.702733704757665,"5.2",5.24748853663348,0.4,"highest_nmax_s12_0132"
5,5.67624981198545,0.817730421607637,"5.2",5.34395715631945,0.4,"highest_nmax_s12_0132"
6,5.89767235730287,0.86885293216579,"5.4",5.56299760090794,0.4,"highest_nmax_s12_0132"
7,6.19030674245206,0.861745266843843,"5.7",5.91073334899906,0.4,"highest_nmax_s12_0132"
8,6.52115435627343,0.828451978683958,"6.3",6.34235701645832,0.4,"highest_nmax_s12_0132"
9,6.82445320957681,0.807624314255,"6.7",6.74812458727096,0.4,"highest_nmax_s12_0132"
10,7.06745106336854,0.804077718125384,"7",7.07298196780366,0.4,"highest_nmax_s12_0132"
11,7.25076974192547,0.80668039666364,"7.3",7.30745600128709,0.4,"highest_nmax_s12_0132"
12,7.38549112589705,0.808172330619846,"7.4",7.46494709224744,0.4,"highest_nmax_s12_0132"
13,7.48217908523127,0.807671167213021,"7.6",7.56955807022965,0.4,"highest_nmax_s12_0132"
14,7.55360521119432,0.801758710404413,"7.6",7.63811836434123,0.4,"highest_nmax_s12_0132"
15,7.60850891765617,0.790590804934938,"7.7",7.68154032418281,0.4,"highest_nmax_s12_0132"
16,7.65179899133224,0.777661637813597,"7.7",7.71022604773061,0.4,"highest_nmax_s12_0132"
17,7.68675355691396,0.76545540942894,"7.7",7.72880518629442,0.4,"highest_nmax_s12_0132"
18,7.71577095805632,0.754478515239187,"7.7",7.74604967845856,0.4,"highest_nmax_s12_0132"
19,7.74059379393622,0.744461341510478,"7.7",7.75619996144616,0.4,"highest_nmax_s12_0132"
20,7.76244669618826,0.735093778400107,"7.8",7.76268074042925,0.4,"highest_nmax_s12_0132"
21,7.78215493694424,0.726182861051577,"7.7",7.76664199270864,0.4,"highest_nmax_s12_0132"
22,7.80025025775517,0.717649881207959,"7.7",7.77082876336653,0.4,"highest_nmax_s12_0132"
1,5.13355427341379,0.122287795859554,"5.1",5.12142549528268,0.6,"fastest_strain_s12_0141"
2,5.23061449761151,0.297848433664645,"5.2",5.17090011578318,0.6,"fastest_strain_s12_0141"
3,5.40537281266495,0.573693818759882,"5.2",5.22499882113864,0.6,"fastest_strain_s12_0141"
4,5.58552385803894,0.769543502404338,"5.2",5.27403148247962,0.6,"fastest_strain_s12_0141"
5,5.76483996475517,0.890219575144837,"5.2",5.35924103251855,0.6,"fastest_strain_s12_0141"
6,5.97026700132917,0.947493296544643,"5.3",5.55393569473275,0.6,"fastest_strain_s12_0141"
7,6.22911699908635,0.948616623196571,"5.9",5.89333966746988,0.6,"fastest_strain_s12_0141"
8,6.52057903093881,0.925713975893795,"6.3",6.31444856373271,0.6,"fastest_strain_s12_0141"
9,6.79058672489499,0.914649395244869,"6.7",6.72062792773115,0.6,"fastest_strain_s12_0141"
10,7.0099504355115,0.918786737772262,"7",7.04694037588637,0.6,"fastest_strain_s12_0141"
11,7.17820123338515,0.926294579875426,"7.3",7.2840140755874,0.6,"fastest_strain_s12_0141"
12,7.30273161980812,0.933898126379639,"7.4",7.44835723433938,0.6,"fastest_strain_s12_0141"
13,7.39374392121869,0.937441606590876,"7.5",7.55924471277634,0.6,"fastest_strain_s12_0141"
14,7.46258663905108,0.935164472961776,"7.6",7.63463193174801,0.6,"fastest_strain_s12_0141"
15,7.51657823433166,0.92823206146513,"7.7",7.68084906168519,0.6,"fastest_strain_s12_0141"
16,7.56024656710566,0.918073341331356,"7.7",7.71058506318123,0.6,"fastest_strain_s12_0141"
17,7.59682127404538,0.906460313070488,"7.7",7.73014885606683,0.6,"fastest_strain_s12_0141"
18,7.6283330879455,0.894768282926345,"7.7",7.74678668544535,0.6,"fastest_strain_s12_0141"
19,7.65606117771233,0.883632189851962,"7.7",7.75678267310134,0.6,"fastest_strain_s12_0141"
20,7.68091411278888,0.873172497533783,"7.8",7.76354805055999,0.6,"fastest_strain_s12_0141"
21,7.70355191138551,0.86330426194399,"7.7",7.76906479393672,0.6,"fastest_strain_s12_0141"
22,7.72444075103213,0.853905136312998,"7.8",7.77616705055193,0.6,"fastest_strain_s12_0141"
1,5.12810647618911,0.122923570570227,"5.1",5.1151045227023,0.6,"highest_nmax_s12_0132"
2,5.21126318637861,0.287156622809491,"5.1",5.15993293426049,0.6,"highest_nmax_s12_0132"
3,5.35868133507725,0.528934469866629,"5.2",5.20572931048374,0.6,"highest_nmax_s12_0132"
4,5.5223794681809,0.715263478743526,"5.2",5.25284943437383,0.6,"highest_nmax_s12_0132"
5,5.69956903756212,0.833062292456843,"5.3",5.34623805428446,0.6,"highest_nmax_s12_0132"
6,5.91956843846184,0.885731528524032,"5.4",5.56576234357945,0.6,"highest_nmax_s12_0132"
7,6.20762399026342,0.878594414285596,"5.7",5.91039520250997,0.6,"highest_nmax_s12_0132"
8,6.53310179205203,0.843861773354657,"6.3",6.34131586006185,0.6,"highest_nmax_s12_0132"
9,6.83179064250369,0.821093164387865,"6.7",6.74637638825908,0.6,"highest_nmax_s12_0132"
10,7.07144230569093,0.81579266649919,"7",7.07025991844205,0.6,"highest_nmax_s12_0132"
11,7.25264729084463,0.817040471419853,"7.3",7.30424192328458,0.6,"highest_nmax_s12_0132"
