day,prop_spoiled,adj,param
1,0,0.4,fastest_strain_s12_0141
2,0,0.4,fastest_strain_s12_0141
3,0.009,0.4,fastest_strain_s12_0141
4,0.033,0.4,fastest_strain_s12_0141
5,0.054,0.4,fastest_strain_s12_0141
6,0.078,0.4,fastest_strain_s12_0141
7,0.101,0.4,fastest_strain_s12_0141
8,0.128,0.4,fastest_strain_s12_0141
9,0.148,0.4,fastest_strain_s12_0141
10,0.166,0.4,fastest_strain_s12_0141
11,0.192,0.4,fastest_strain_s12_0141
12,0.216,0.4,fastest_strain_s12_0141
13,0.24,0.4,fastest_strain_s12_0141
14,0.262,0.4,fastest_strain_s12_0141
15,0.279,0.4,fastest_strain_s12_0141
16,0.302,0.4,fastest_strain_s12_0141
17,0.321,0.4,fastest_strain_s12_0141
18,0.331,0.4,fastest_strain_s12_0141
19,0.342,0.4,fastest_strain_s12_0141
20,0.353,0.4,fastest_strain_s12_0141
21,0.367,0.4,fastest_strain_s12_0141
22,0.378,0.4,fastest_strain_s12_0141
1,0,0.4,highest_nmax_s12_0166
2,0,0.4,highest_nmax_s12_0166
3,0.005,0.4,highest_nmax_s12_0166
4,0.028,0.4,highest_nmax_s12_0166
5,0.05,0.4,highest_nmax_s12_0166
6,0.073,0.4,highest_nmax_s12_0166
7,0.096,0.4,highest_nmax_s12_0166
8,0.12,0.4,highest_nmax_s12_0166
9,0.139,0.4,highest_nmax_s12_0166
10,0.156,0.4,highest_nmax_s12_0166
11,0.186,0.4,highest_nmax_s12_0166
12,0.206,0.4,highest_nmax_s12_0166
13,0.227,0.4,highest_nmax_s12_0166
14,0.249,0.4,highest_nmax_s12_0166
15,0.269,0.4,highest_nmax_s12_0166
16,0.289,0.4,highest_nmax_s12_0166
17,0.307,0.4,highest_nmax_s12_0166
18,0.315,0.4,highest_nmax_s12_0166
19,0.327,0.4,highest_nmax_s12_0166
20,0.338,0.4,highest_nmax_s12_0166
21,0.351,0.4,highest_nmax_s12_0166
22,0.362,0.4,highest_nmax_s12_0166
1,0,0.6,fastest_strain_s12_0141
2,0,0.6,fastest_strain_s12_0141
3,0.008,0.6,fastest_strain_s12_0141
4,0.033,0.6,fastest_strain_s12_0141
5,0.053,0.6,fastest_strain_s12_0141
6,0.077,0.6,fastest_strain_s12_0141
7,0.1,0.6,fastest_strain_s12_0141
8,0.126,0.6,fastest_strain_s12_0141
9,0.147,0.6,fastest_strain_s12_0141
10,0.164,0.6,fastest_strain_s12_0141
11,0.191,0.6,fastest_strain_s12_0141
12,0.214,0.6,fastest_strain_s12_0141
13,0.236,0.6,fastest_strain_s12_0141
14,0.259,0.6,fastest_strain_s12_0141
15,0.277,0.6,fastest_strain_s12_0141
16,0.297,0.6,fastest_strain_s12_0141
17,0.317,0.6,fastest_strain_s12_0141
18,0.327,0.6,fastest_strain_s12_0141
19,0.338,0.6,fastest_strain_s12_0141
20,0.351,0.6,fastest_strain_s12_0141
21,0.364,0.6,fastest_strain_s12_0141
22,0.376,0.6,fastest_strain_s12_0141
1,0,0.6,highest_nmax_s12_0166
2,0,0.6,highest_nmax_s12_0166
3,0.005,0.6,highest_nmax_s12_0166
4,0.029,0.6,highest_nmax_s12_0166
5,0.05,0.6,highest_nmax_s12_0166
6,0.073,0.6,highest_nmax_s12_0166
7,0.097,0.6,highest_nmax_s12_0166
8,0.123,0.6,highest_nmax_s12_0166
9,0.143,0.6,highest_nmax_s12_0166
10,0.16,0.6,highest_nmax_s12_0166
11,0.189,0.6,highest_nmax_s12_0166
12,0.209,0.6,highest_nmax_s12_0166
13,0.231,0.6,highest_nmax_s12_0166
14,0.252,0.6,highest_nmax_s12_0166
15,0.272,0.6,highest_nmax_s12_0166
16,0.291,0.6,highest_nmax_s12_0166
17,0.309,0.6,highest_nmax_s12_0166
18,0.317,0.6,highest_nmax_s12_0166
19,0.329,0.6,highest_nmax_s12_0166
20,0.341,0.6,highest_nmax_s12_0166
21,0.354,0.6,highest_nmax_s12_0166
22,0.365,0.6,highest_nmax_s12_0166
1,0,0.8,fastest_strain_s12_0141
2,0,0.8,fastest_strain_s12_0141
3,0.008,0.8,fastest_strain_s12_0141
4,0.033,0.8,fastest_strain_s12_0141
5,0.053,0.8,fastest_strain_s12_0141
6,0.076,0.8,fastest_strain_s12_0141
7,0.099,0.8,fastest_strain_s12_0141
8,0.125,0.8,fastest_strain_s12_0141
9,0.146,0.8,fastest_strain_s12_0141
10,0.162,0.8,fastest_strain_s12_0141
11,0.189,0.8,fastest_strain_s12_0141
12,0.213,0.8,fastest_strain_s12_0141
13,0.235,0.8,fastest_strain_s12_0141
14,0.259,0.8,fastest_strain_s12_0141
15,0.277,0.8,fastest_strain_s12_0141
16,0.296,0.8,fastest_strain_s12_0141
17,0.313,0.8,fastest_strain_s12_0141
18,0.323,0.8,fastest_strain_s12_0141
19,0.334,0.8,fastest_strain_s12_0141
20,0.348,0.8,fastest_strain_s12_0141
21,0.361,0.8,fastest_strain_s12_0141
22,0.373,0.8,fastest_strain_s12_0141
1,0,0.8,highest_nmax_s12_0166
2,0,0.8,highest_nmax_s12_0166
3,0.006,0.8,highest_nmax_s12_0166
4,0.032,0.8,highest_nmax_s12_0166
5,0.052,0.8,highest_nmax_s12_0166
6,0.076,0.8,highest_nmax_s12_0166
7,0.099,0.8,highest_nmax_s12_0166
8,0.124,0.8,highest_nmax_s12_0166
9,0.145,0.8,highest_nmax_s12_0166
10,0.162,0.8,highest_nmax_s12_0166
11,0.191,0.8,highest_nmax_s12_0166
12,0.212,0.8,highest_nmax_s12_0166
13,0.235,0.8,highest_nmax_s12_0166
14,0.255,0.8,highest_nmax_s12_0166
15,0.274,0.8,highest_nmax_s12_0166
16,0.293,0.8,highest_nmax_s12_0166
17,0.312,0.8,highest_nmax_s12_0166
18,0.321,0.8,highest_nmax_s12_0166
19,0.331,0.8,highest_nmax_s12_0166
20,0.343,0.8,highest_nmax_s12_0166
21,0.356,0.8,highest_nmax_s12_0166
22,0.368,0.8,highest_nmax_s12_0166
1,0,1,fastest_strain_s12_0141
2,0,1,fastest_strain_s12_0141
3,0.007,1,fastest_strain_s12_0141
4,0.032,1,fastest_strain_s12_0141
5,0.053,1,fastest_strain_s12_0141
6,0.076,1,fastest_strain_s12_0141
7,0.099,1,fastest_strain_s12_0141
8,0.124,1,fastest_strain_s12_0141
9,0.145,1,fastest_strain_s12_0141
10,0.161,1,fastest_strain_s12_0141
11,0.19,1,fastest_strain_s12_0141
12,0.212,1,fastest_strain_s12_0141
13,0.236,1,fastest_strain_s12_0141
14,0.258,1,fastest_strain_s12_0141
15,0.276,1,fastest_strain_s12_0141
16,0.295,1,fastest_strain_s12_0141
17,0.314,1,fastest_strain_s12_0141
18,0.323,1,fastest_strain_s12_0141
19,0.333,1,fastest_strain_s12_0141
20,0.347,1,fastest_strain_s12_0141
21,0.36,1,fastest_strain_s12_0141
22,0.372,1,fastest_strain_s12_0141
1,0,1,highest_nmax_s12_0166
2,0,1,highest_nmax_s12_0166
3,0.007,1,highest_nmax_s12_0166
4,0.032,1,highest_nmax_s12_0166
5,0.053,1,highest_nmax_s12_0166
6,0.076,1,highest_nmax_s12_0166
7,0.099,1,highest_nmax_s12_0166
8,0.124,1,highest_nmax_s12_0166
9,0.145,1,highest_nmax_s12_0166
10,0.161,1,highest_nmax_s12_0166
11,0.19,1,highest_nmax_s12_0166
12,0.212,1,highest_nmax_s12_0166
13,0.236,1,highest_nmax_s12_0166
14,0.258,1,highest_nmax_s12_0166
15,0.276,1,highest_nmax_s12_0166
16,0.295,1,highest_nmax_s12_0166
17,0.314,1,highest_nmax_s12_0166
