"day","prop_spoiled","adj","param"
1,0,0.4,"fastest_strain_s12_0141"
2,0,0.4,"fastest_strain_s12_0141"
3,0.009,0.4,"fastest_strain_s12_0141"
4,0.033,0.4,"fastest_strain_s12_0141"
5,0.054,0.4,"fastest_strain_s12_0141"
6,0.078,0.4,"fastest_strain_s12_0141"
7,0.101,0.4,"fastest_strain_s12_0141"
8,0.128,0.4,"fastest_strain_s12_0141"
9,0.148,0.4,"fastest_strain_s12_0141"
10,0.166,0.4,"fastest_strain_s12_0141"
11,0.192,0.4,"fastest_strain_s12_0141"
12,0.216,0.4,"fastest_strain_s12_0141"
13,0.24,0.4,"fastest_strain_s12_0141"
14,0.262,0.4,"fastest_strain_s12_0141"
15,0.279,0.4,"fastest_strain_s12_0141"
16,0.302,0.4,"fastest_strain_s12_0141"
17,0.321,0.4,"fastest_strain_s12_0141"
18,0.331,0.4,"fastest_strain_s12_0141"
19,0.342,0.4,"fastest_strain_s12_0141"
20,0.353,0.4,"fastest_strain_s12_0141"
21,0.367,0.4,"fastest_strain_s12_0141"
22,0.378,0.4,"fastest_strain_s12_0141"
1,0,0.4,"highest_nmax_s12_0132"
2,0,0.4,"highest_nmax_s12_0132"
3,0.008,0.4,"highest_nmax_s12_0132"
4,0.026,0.4,"highest_nmax_s12_0132"
5,0.039,0.4,"highest_nmax_s12_0132"
6,0.057,0.4,"highest_nmax_s12_0132"
7,0.076,0.4,"highest_nmax_s12_0132"
8,0.098,0.4,"highest_nmax_s12_0132"
9,0.116,0.4,"highest_nmax_s12_0132"
10,0.13,0.4,"highest_nmax_s12_0132"
11,0.154,0.4,"highest_nmax_s12_0132"
12,0.174,0.4,"highest_nmax_s12_0132"
13,0.198,0.4,"highest_nmax_s12_0132"
14,0.213,0.4,"highest_nmax_s12_0132"
15,0.224,0.4,"highest_nmax_s12_0132"
16,0.242,0.4,"highest_nmax_s12_0132"
17,0.257,0.4,"highest_nmax_s12_0132"
18,0.268,0.4,"highest_nmax_s12_0132"
19,0.287,0.4,"highest_nmax_s12_0132"
20,0.295,0.4,"highest_nmax_s12_0132"
21,0.309,0.4,"highest_nmax_s12_0132"
22,0.326,0.4,"highest_nmax_s12_0132"
1,0,0.6,"fastest_strain_s12_0141"
2,0,0.6,"fastest_strain_s12_0141"
3,0.008,0.6,"fastest_strain_s12_0141"
4,0.033,0.6,"fastest_strain_s12_0141"
5,0.053,0.6,"fastest_strain_s12_0141"
6,0.077,0.6,"fastest_strain_s12_0141"
7,0.1,0.6,"fastest_strain_s12_0141"
8,0.126,0.6,"fastest_strain_s12_0141"
9,0.147,0.6,"fastest_strain_s12_0141"
10,0.164,0.6,"fastest_strain_s12_0141"
11,0.191,0.6,"fastest_strain_s12_0141"
12,0.214,0.6,"fastest_strain_s12_0141"
13,0.236,0.6,"fastest_strain_s12_0141"
14,0.259,0.6,"fastest_strain_s12_0141"
15,0.277,0.6,"fastest_strain_s12_0141"
16,0.297,0.6,"fastest_strain_s12_0141"
17,0.317,0.6,"fastest_strain_s12_0141"
18,0.327,0.6,"fastest_strain_s12_0141"
19,0.338,0.6,"fastest_strain_s12_0141"
20,0.351,0.6,"fastest_strain_s12_0141"
21,0.364,0.6,"fastest_strain_s12_0141"
22,0.376,0.6,"fastest_strain_s12_0141"
1,0,0.6,"highest_nmax_s12_0132"
2,0,0.6,"highest_nmax_s12_0132"
3,0.007,0.6,"highest_nmax_s12_0132"
4,0.027,0.6,"highest_nmax_s12_0132"
5,0.041,0.6,"highest_nmax_s12_0132"
6,0.06,0.6,"highest_nmax_s12_0132"
7,0.081,0.6,"highest_nmax_s12_0132"
8,0.104,0.6,"highest_nmax_s12_0132"
9,0.125,0.6,"highest_nmax_s12_0132"
10,0.139,0.6,"highest_nmax_s12_0132"
11,0.163,0.6,"highest_nmax_s12_0132"
12,0.186,0.6,"highest_nmax_s12_0132"
13,0.21,0.6,"highest_nmax_s12_0132"
14,0.226,0.6,"highest_nmax_s12_0132"
15,0.238,0.6,"highest_nmax_s12_0132"
16,0.257,0.6,"highest_nmax_s12_0132"
17,0.273,0.6,"highest_nmax_s12_0132"
18,0.283,0.6,"highest_nmax_s12_0132"
19,0.299,0.6,"highest_nmax_s12_0132"
20,0.309,0.6,"highest_nmax_s12_0132"
21,0.324,0.6,"highest_nmax_s12_0132"
22,0.34,0.6,"highest_nmax_s12_0132"
1,0,0.8,"fastest_strain_s12_0141"
2,0,0.8,"fastest_strain_s12_0141"
3,0.008,0.8,"fastest_strain_s12_0141"
4,0.033,0.8,"fastest_strain_s12_0141"
5,0.053,0.8,"fastest_strain_s12_0141"
6,0.076,0.8,"fastest_strain_s12_0141"
7,0.099,0.8,"fastest_strain_s12_0141"
8,0.125,0.8,"fastest_strain_s12_0141"
9,0.146,0.8,"fastest_strain_s12_0141"
10,0.162,0.8,"fastest_strain_s12_0141"
11,0.189,0.8,"fastest_strain_s12_0141"
12,0.213,0.8,"fastest_strain_s12_0141"
13,0.235,0.8,"fastest_strain_s12_0141"
14,0.259,0.8,"fastest_strain_s12_0141"
15,0.277,0.8,"fastest_strain_s12_0141"
16,0.296,0.8,"fastest_strain_s12_0141"
17,0.313,0.8,"fastest_strain_s12_0141"
18,0.323,0.8,"fastest_strain_s12_0141"
19,0.334,0.8,"fastest_strain_s12_0141"
20,0.348,0.8,"fastest_strain_s12_0141"
21,0.361,0.8,"fastest_strain_s12_0141"
22,0.373,0.8,"fastest_strain_s12_0141"
1,0,0.8,"highest_nmax_s12_0132"
2,0,0.8,"highest_nmax_s12_0132"
3,0.005,0.8,"highest_nmax_s12_0132"
4,0.026,0.8,"highest_nmax_s12_0132"
5,0.042,0.8,"highest_nmax_s12_0132"
6,0.063,0.8,"highest_nmax_s12_0132"
7,0.083,0.8,"highest_nmax_s12_0132"
8,0.107,0.8,"highest_nmax_s12_0132"
9,0.127,0.8,"highest_nmax_s12_0132"
10,0.142,0.8,"highest_nmax_s12_0132"
11,0.17,0.8,"highest_nmax_s12_0132"
12,0.194,0.8,"highest_nmax_s12_0132"
13,0.217,0.8,"highest_nmax_s12_0132"
14,0.239,0.8,"highest_nmax_s12_0132"
15,0.255,0.8,"highest_nmax_s12_0132"
16,0.278,0.8,"highest_nmax_s12_0132"
17,0.294,0.8,"highest_nmax_s12_0132"
18,0.302,0.8,"highest_nmax_s12_0132"
19,0.319,0.8,"highest_nmax_s12_0132"
20,0.332,0.8,"highest_nmax_s12_0132"
21,0.344,0.8,"highest_nmax_s12_0132"
22,0.358,0.8,"highest_nmax_s12_0132"
1,0,1,"fastest_strain_s12_0141"
2,0,1,"fastest_strain_s12_0141"
3,0.007,1,"fastest_strain_s12_0141"
4,0.032,1,"fastest_strain_s12_0141"
5,0.053,1,"fastest_strain_s12_0141"
6,0.076,1,"fastest_strain_s12_0141"
7,0.099,1,"fastest_strain_s12_0141"
8,0.124,1,"fastest_strain_s12_0141"
9,0.145,1,"fastest_strain_s12_0141"
10,0.161,1,"fastest_strain_s12_0141"
11,0.19,1,"fastest_strain_s12_0141"
12,0.212,1,"fastest_strain_s12_0141"
13,0.236,1,"fastest_strain_s12_0141"
14,0.258,1,"fastest_strain_s12_0141"
15,0.276,1,"fastest_strain_s12_0141"
16,0.295,1,"fastest_strain_s12_0141"
17,0.314,1,"fastest_strain_s12_0141"
18,0.323,1,"fastest_strain_s12_0141"
19,0.333,1,"fastest_strain_s12_0141"
20,0.347,1,"fastest_strain_s12_0141"
21,0.36,1,"fastest_strain_s12_0141"
22,0.372,1,"fastest_strain_s12_0141"
1,0,1,"highest_nmax_s12_0132"
2,0,1,"highest_nmax_s12_0132"
