"day","prop_spoiled","adj","param"
1,0,0.4,"lag"
2,0,0.4,"lag"
3,0,0.4,"lag"
4,0,0.4,"lag"
5,0.006,0.4,"lag"
6,0.046,0.4,"lag"
7,0.069,0.4,"lag"
8,0.092,0.4,"lag"
9,0.11,0.4,"lag"
10,0.129,0.4,"lag"
11,0.15,0.4,"lag"
12,0.168,0.4,"lag"
13,0.192,0.4,"lag"
14,0.211,0.4,"lag"
15,0.238,0.4,"lag"
16,0.264,0.4,"lag"
17,0.306,0.4,"lag"
18,0.369,0.4,"lag"
19,0.513,0.4,"lag"
20,0.751,0.4,"lag"
21,0.908,0.4,"lag"
22,0.947,0.4,"lag"
1,0,0.6,"lag"
2,0,0.6,"lag"
3,0,0.6,"lag"
4,0,0.6,"lag"
5,0,0.6,"lag"
6,0.008,0.6,"lag"
7,0.039,0.6,"lag"
8,0.078,0.6,"lag"
9,0.098,0.6,"lag"
10,0.12,0.6,"lag"
11,0.14,0.6,"lag"
12,0.159,0.6,"lag"
13,0.179,0.6,"lag"
14,0.2,0.6,"lag"
15,0.223,0.6,"lag"
16,0.249,0.6,"lag"
17,0.276,0.6,"lag"
18,0.319,0.6,"lag"
19,0.359,0.6,"lag"
20,0.431,0.6,"lag"
21,0.551,0.6,"lag"
22,0.718,0.6,"lag"
1,0,0.8,"lag"
2,0,0.8,"lag"
3,0,0.8,"lag"
4,0,0.8,"lag"
5,0,0.8,"lag"
6,0.007,0.8,"lag"
7,0.013,0.8,"lag"
8,0.029,0.8,"lag"
9,0.086,0.8,"lag"
10,0.107,0.8,"lag"
11,0.129,0.8,"lag"
12,0.147,0.8,"lag"
13,0.172,0.8,"lag"
14,0.189,0.8,"lag"
15,0.211,0.8,"lag"
16,0.235,0.8,"lag"
17,0.262,0.8,"lag"
18,0.29,0.8,"lag"
19,0.328,0.8,"lag"
20,0.355,0.8,"lag"
21,0.409,0.8,"lag"
22,0.492,0.8,"lag"
1,0,1,"lag"
2,0,1,"lag"
3,0,1,"lag"
4,0,1,"lag"
5,0,1,"lag"
6,0.005,1,"lag"
7,0.011,1,"lag"
8,0.015,1,"lag"
9,0.032,1,"lag"
10,0.094,1,"lag"
11,0.117,1,"lag"
12,0.138,1,"lag"
13,0.161,1,"lag"
14,0.183,1,"lag"
15,0.201,1,"lag"
16,0.223,1,"lag"
17,0.247,1,"lag"
18,0.276,1,"lag"
19,0.308,1,"lag"
20,0.333,1,"lag"
21,0.358,1,"lag"
22,0.397,1,"lag"
1,0,1.2,"lag"
2,0,1.2,"lag"
3,0,1.2,"lag"
4,0,1.2,"lag"
5,0,1.2,"lag"
6,0.003,1.2,"lag"
7,0.009,1.2,"lag"
8,0.014,1.2,"lag"
9,0.021,1.2,"lag"
10,0.037,1.2,"lag"
11,0.101,1.2,"lag"
12,0.127,1.2,"lag"
13,0.148,1.2,"lag"
14,0.176,1.2,"lag"
15,0.19,1.2,"lag"
16,0.211,1.2,"lag"
17,0.238,1.2,"lag"
18,0.261,1.2,"lag"
19,0.287,1.2,"lag"
20,0.319,1.2,"lag"
21,0.337,1.2,"lag"
22,0.359,1.2,"lag"
1,0,1.4,"lag"
2,0,1.4,"lag"
3,0,1.4,"lag"
4,0,1.4,"lag"
5,0,1.4,"lag"
6,0.001,1.4,"lag"
7,0.008,1.4,"lag"
8,0.013,1.4,"lag"
9,0.02,1.4,"lag"
10,0.028,1.4,"lag"
11,0.045,1.4,"lag"
12,0.11,1.4,"lag"
13,0.135,1.4,"lag"
14,0.164,1.4,"lag"
15,0.185,1.4,"lag"
16,0.204,1.4,"lag"
17,0.225,1.4,"lag"
18,0.249,1.4,"lag"
19,0.276,1.4,"lag"
20,0.304,1.4,"lag"
21,0.324,1.4,"lag"
22,0.34,1.4,"lag"
1,0,1.6,"lag"
2,0,1.6,"lag"
3,0,1.6,"lag"
4,0,1.6,"lag"
5,0,1.6,"lag"
6,0,1.6,"lag"
7,0.007,1.6,"lag"
8,0.012,1.6,"lag"
9,0.019,1.6,"lag"
10,0.027,1.6,"lag"
11,0.033,1.6,"lag"
12,0.059,1.6,"lag"
13,0.12,1.6,"lag"
14,0.149,1.6,"lag"
15,0.178,1.6,"lag"
16,0.191,1.6,"lag"
17,0.214,1.6,"lag"
18,0.241,1.6,"lag"
19,0.264,1.6,"lag"
20,0.285,1.6,"lag"
21,0.309,1.6,"lag"
22,0.328,1.6,"lag"
