"day","prop_spoiled","adj","param"
1,0,0.4,"lag_tmin"
2,0,0.4,"lag_tmin"
3,0.016,0.4,"lag_tmin"
4,0.038,0.4,"lag_tmin"
5,0.06,0.4,"lag_tmin"
6,0.077,0.4,"lag_tmin"
7,0.101,0.4,"lag_tmin"
8,0.126,0.4,"lag_tmin"
9,0.151,0.4,"lag_tmin"
10,0.165,0.4,"lag_tmin"
11,0.19,0.4,"lag_tmin"
12,0.214,0.4,"lag_tmin"
13,0.236,0.4,"lag_tmin"
14,0.259,0.4,"lag_tmin"
15,0.276,0.4,"lag_tmin"
16,0.294,0.4,"lag_tmin"
17,0.313,0.4,"lag_tmin"
18,0.32,0.4,"lag_tmin"
19,0.334,0.4,"lag_tmin"
20,0.346,0.4,"lag_tmin"
21,0.359,0.4,"lag_tmin"
22,0.373,0.4,"lag_tmin"
1,0,0.6,"lag_tmin"
2,0,0.6,"lag_tmin"
3,0.01,0.6,"lag_tmin"
4,0.033,0.6,"lag_tmin"
5,0.059,0.6,"lag_tmin"
6,0.077,0.6,"lag_tmin"
7,0.1,0.6,"lag_tmin"
8,0.125,0.6,"lag_tmin"
9,0.146,0.6,"lag_tmin"
10,0.162,0.6,"lag_tmin"
11,0.19,0.6,"lag_tmin"
12,0.214,0.6,"lag_tmin"
13,0.236,0.6,"lag_tmin"
14,0.258,0.6,"lag_tmin"
15,0.276,0.6,"lag_tmin"
16,0.295,0.6,"lag_tmin"
17,0.314,0.6,"lag_tmin"
18,0.32,0.6,"lag_tmin"
19,0.334,0.6,"lag_tmin"
20,0.347,0.6,"lag_tmin"
21,0.36,0.6,"lag_tmin"
22,0.372,0.6,"lag_tmin"
1,0,0.8,"lag_tmin"
2,0,0.8,"lag_tmin"
3,0.01,0.8,"lag_tmin"
4,0.033,0.8,"lag_tmin"
5,0.056,0.8,"lag_tmin"
6,0.076,0.8,"lag_tmin"
7,0.099,0.8,"lag_tmin"
8,0.124,0.8,"lag_tmin"
9,0.145,0.8,"lag_tmin"
10,0.161,0.8,"lag_tmin"
11,0.19,0.8,"lag_tmin"
12,0.214,0.8,"lag_tmin"
13,0.236,0.8,"lag_tmin"
14,0.258,0.8,"lag_tmin"
15,0.276,0.8,"lag_tmin"
16,0.295,0.8,"lag_tmin"
17,0.314,0.8,"lag_tmin"
18,0.322,0.8,"lag_tmin"
19,0.332,0.8,"lag_tmin"
20,0.347,0.8,"lag_tmin"
21,0.36,0.8,"lag_tmin"
22,0.371,0.8,"lag_tmin"
1,0,1,"lag_tmin"
2,0,1,"lag_tmin"
3,0.007,1,"lag_tmin"
4,0.032,1,"lag_tmin"
5,0.053,1,"lag_tmin"
6,0.076,1,"lag_tmin"
7,0.099,1,"lag_tmin"
8,0.124,1,"lag_tmin"
9,0.145,1,"lag_tmin"
10,0.161,1,"lag_tmin"
11,0.19,1,"lag_tmin"
12,0.212,1,"lag_tmin"
13,0.236,1,"lag_tmin"
14,0.258,1,"lag_tmin"
15,0.276,1,"lag_tmin"
16,0.295,1,"lag_tmin"
17,0.314,1,"lag_tmin"
18,0.323,1,"lag_tmin"
19,0.333,1,"lag_tmin"
20,0.347,1,"lag_tmin"
21,0.36,1,"lag_tmin"
